ac,track,tier,species,threshold,n_positive,n_spatial_groups,cv_f1_mean,cv_f1_median,cv_f1_std,cv_prauc_mean,cv_prauc_median,cv_prauc_std
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,300,1303,399,0.45938,0.50225,0.18972,0.53167,0.52235,0.12653
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,300,1303,399,0.51018,0.55347,0.21564,0.60415,0.61145,0.17429
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,500,2091,399,0.36222,0.24991,0.26469,0.38784,0.29928,0.26864
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,500,2091,399,0.40165,0.38871,0.14631,0.47477,0.44303,0.23381
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,500,255,399,0.0,0.0,0.0,0.05691,0.02463,0.07038
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,500,255,399,0.0,0.0,0.0,0.05515,0.03884,0.04107
ACOLITE,ACOLITE_only,closure,Karenia,5000,1212,399,0.59373,0.64276,0.13413,0.68596,0.71592,0.11129
ACOLITE,ACOLITE_roms,closure,Karenia,5000,1212,399,0.65292,0.71841,0.19042,0.71776,0.7384,0.12312
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,13000,378,399,0.34868,0.34815,0.18757,0.47452,0.50781,0.20171
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,13000,378,399,0.46101,0.5,0.20572,0.54922,0.60112,0.22975
Baseline,Baseline_only,closure,Alexandrium_catenella,300,1303,399,0.39514,0.44542,0.16479,0.51522,0.53963,0.12299
Baseline,Baseline_roms,closure,Alexandrium_catenella,300,1303,399,0.49934,0.52649,0.22041,0.60399,0.63671,0.18883
Baseline,Baseline_only,closure,Dinophysis_acuminata,500,2091,399,0.34895,0.2,0.26423,0.38673,0.26859,0.27417
Baseline,Baseline_roms,closure,Dinophysis_acuminata,500,2091,399,0.33758,0.29743,0.14477,0.4426,0.40482,0.23289
Baseline,Baseline_only,closure,Dinophysis_norvegica,500,255,399,0.0,0.0,0.0,0.05521,0.03181,0.05533
Baseline,Baseline_roms,closure,Dinophysis_norvegica,500,255,399,0.0,0.0,0.0,0.04617,0.03253,0.04281
Baseline,Baseline_only,closure,Karenia,5000,1212,399,0.50462,0.49213,0.12665,0.61977,0.6372,0.12289
Baseline,Baseline_roms,closure,Karenia,5000,1212,399,0.60788,0.66007,0.1427,0.69478,0.69567,0.11131
Baseline,Baseline_only,closure,Pseudo-nitzschia,13000,378,399,0.25508,0.28039,0.17443,0.43773,0.43753,0.21685
Baseline,Baseline_roms,closure,Pseudo-nitzschia,13000,378,399,0.40709,0.46135,0.2125,0.55141,0.61584,0.22652
C2RCC,C2RCC_only,closure,Alexandrium_catenella,300,1303,399,0.36709,0.4069,0.14766,0.46808,0.47658,0.1262
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,300,1303,399,0.51016,0.54934,0.21654,0.59968,0.6358,0.17119
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,500,2091,399,0.30554,0.2391,0.20385,0.34504,0.27455,0.27457
