feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.14609,0.02669,0.12891,0.01463,0.04439,0.01567,0.1714,0.02675,0.06669,0.01674
doy_cos,0.12182,0.0417,0.04204,0.00979,0.02733,0.01892,0.14033,0.02777,0.07398,0.019
A_GLH,-0.03137,0.02305,0.03512,0.0136,0.04378,0.01795,0.01762,0.01457,0.17724,0.02527
A_MCI,0.05263,0.03331,0.01476,0.00783,0.0238,0.02675,0.05595,0.01413,0.03757,0.01447
A_BlueGreen_Ratio,0.01178,0.02339,0.0224,0.0109,0.02951,0.02999,0.03983,0.022,0.03058,0.01225
A_rrs_412,0.02553,0.01796,0.00925,0.00876,0.04645,0.02613,0.01844,0.01213,0.01498,0.00931
A_DINI,0.01838,0.01117,0.01593,0.00461,0.02193,0.00894,0.02341,0.01314,0.02857,0.01636
A_KBBI,0.02208,0.01578,0.00828,0.00387,0.02686,0.02108,0.02347,0.01136,0.02098,0.0075
A_FLH_665,0.00734,0.01104,0.02479,0.00645,0.0126,0.02373,0.02074,0.01923,0.0285,0.01235
A_RBD,0.00021,0.00725,0.00728,0.00584,0.02597,0.01642,0.01802,0.015,0.02732,0.00745
A_NDCI,-0.00522,0.01168,0.00503,0.0046,0.02633,0.01914,0.00812,0.00813,0.04182,0.01393
A_Green_Red_Ratio,-0.02175,0.01079,0.00727,0.00578,0.04448,0.01516,0.01566,0.00777,0.02367,0.01356
A_FLHmax,-0.00664,0.00801,0.00849,0.00489,0.01745,0.02041,0.00778,0.00915,0.03854,0.01241
A_BLH,0.00778,0.01345,0.00243,0.00541,0.02827,0.0264,0.011,0.00911,0.01337,0.01111
A_RedEdge_Ratio,0.00155,0.01716,0.00353,0.00597,0.01536,0.0201,-0.00129,0.01128,0.04167,0.01393
A_GBI,-0.00216,0.00723,0.00771,0.00442,0.01743,0.01408,0.01961,0.0066,0.0153,0.01018
A_rrs_709,0.00599,0.01035,-0.00272,0.00599,0.04168,0.02467,0.01079,0.01172,-0.00114,0.00848
A_NDWI,-0.00862,0.0154,0.00745,0.00747,0.03383,0.02514,0.00748,0.01034,0.00736,0.01015
A_NDNI,0.00296,0.01761,0.00191,0.00872,0.01784,0.02804,-0.00248,0.01116,0.02707,0.01023
A_Red_NIR_Ratio,0.0091,0.01779,0.00542,0.00528,0.00747,0.01538,0.01156,0.0112,0.01157,0.00926
A_rrs_490,-0.01164,0.00963,0.01364,0.00908,0.01657,0.02586,-0.00357,0.00897,0.02741,0.0101
A_FLH_681,-0.00761,0.00579,0.007,0.00636,0.00378,0.02381,0.00795,0.00853,0.02783,0.00687
A_rrs_665,0.00411,0.00969,-0.00847,0.00409,0.02297,0.01697,0.01308,0.00679,0.00549,0.00881
A_rrs_682,-0.01,0.01184,0.0106,0.00472,0.0148,0.0171,0.00358,0.00923,0.01627,0.00895
A_rrs_865,-0.022,0.00621,0.002,0.00412,0.01574,0.02307,0.00748,0.00789,0.03195,0.00988
A_CI,0.0025,0.016,0.00658,0.00712,0.00328,0.02478,0.00807,0.00853,0.01095,0.01108
A_Blue_Red_Ratio,-0.01853,0.00997,0.00111,0.00501,0.0281,0.02183,0.01987,0.01258,-0.00205,0.01242
A_EBI,-0.00037,0.00354,-0.00038,0.00217,0.01025,0.01461,0.0097,0.00602,0.00688,0.00591
A_rrs_560,-0.01379,0.00882,-0.00463,0.00657,-0.00784,0.01898,0.00198,0.0099,0.04078,0.01125
A_Fluorescence_Peak,-0.01526,0.00846,0.00679,0.00623,0.01437,0.01738,-0.00673,0.00954,0.01679,0.00888
A_rrs_754,-0.0021,0.01429,-0.00321,0.00395,0.0145,0.01458,-0.00949,0.00979,0.00678,0.00841
