feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.06691,0.02199,0.16953,0.04135,0.0,0.0,0.1441,0.0361,0.23868,0.05679
roms_salt_sur,0.03669,0.01942,0.02133,0.0381,0.0,0.0,0.24928,0.03352,0.27874,0.08991
doy_cos,0.0942,0.03153,0.10785,0.03772,0.0,0.0,0.05907,0.02739,0.16922,0.05549
roms_temp_sur,0.01561,0.02086,0.05717,0.02522,0.0,0.0,0.06979,0.02201,0.23139,0.04936
roms_zeta,0.09674,0.04631,0.03571,0.03136,0.0,0.0,0.02525,0.01131,0.17224,0.07227
A_MCI,-0.0204,0.01162,0.00454,0.00901,0.0,0.0,0.00817,0.01379,0.20011,0.06166
A_BlueGreen_Ratio,-0.03497,0.01348,0.01947,0.02157,0.0,0.0,0.10994,0.05677,0.03397,0.03986
roms_wind_speed,-0.009,0.0113,0.02679,0.02233,0.0,0.0,0.01004,0.01448,0.08651,0.04345
roms_v_sur,-0.0239,0.02275,0.09467,0.0215,0.0,0.0,-0.01329,0.00433,0.02377,0.02033
A_Red_NIR_Ratio,0.00685,0.01679,0.02194,0.01044,0.0,0.0,0.00257,0.00959,0.02155,0.02168
A_NDWI,0.00555,0.01405,0.01658,0.01584,0.0,0.0,0.03083,0.01669,-0.00063,0.01381
A_Blue_Red_Ratio,0.00163,0.01222,0.01189,0.01641,0.0,0.0,-0.0013,0.00552,0.03718,0.02394
roms_Uwind,-0.02539,0.01678,0.01958,0.01806,0.0,0.0,0.00471,0.00928,0.049,0.03792
A_NDNI,0.00216,0.00779,0.01072,0.00876,0.0,0.0,0.0077,0.01028,0.02084,0.02057
roms_current_speed,0.00528,0.01813,0.04948,0.02948,0.0,0.0,-0.00726,0.00561,-0.00713,0.02251
roms_Pair,-0.01467,0.01682,0.01553,0.01778,0.0,0.0,0.02223,0.01147,0.01451,0.03459
A_FLH_665,0.00824,0.00818,0.01272,0.01155,0.0,0.0,0.00284,0.01226,0.01053,0.01524
A_FLHmax,-0.00916,0.01116,0.0049,0.01043,0.0,0.0,-0.00213,0.00369,0.03107,0.03155
A_Green_Red_Ratio,-0.00325,0.01057,0.02523,0.01798,0.0,0.0,-3e-05,0.00461,0.00103,0.01568
roms_wind_dir,-0.0028,0.01243,0.0233,0.00942,0.0,0.0,0.0,0.0,-0.00028,0.02644
A_KBBI,0.00758,0.01438,0.02364,0.01524,0.0,0.0,0.00249,0.00466,-0.01506,0.01628
A_rrs_412,-0.0122,0.01875,0.02127,0.01364,0.0,0.0,-0.00213,0.00369,0.00876,0.02641
roms_current_dir,-0.00783,0.016,0.02154,0.01793,0.0,0.0,0.00207,0.00449,-0.00085,0.02931
A_DINI,-0.01471,0.01037,0.01279,0.01419,0.0,0.0,0.00515,0.0071,0.01095,0.02721
roms_Vwind,-0.00626,0.01014,0.00803,0.0152,0.0,0.0,0.00058,0.00925,0.01078,0.01895
A_GBI,-0.0089,0.00944,0.01681,0.01795,0.0,0.0,-0.00215,0.00526,0.00224,0.008
A_FLH_681,0.00266,0.01244,0.01552,0.01391,0.0,0.0,0.01134,0.0079,-0.02572,0.01072
A_rrs_665,0.01002,0.01229,-0.01709,0.01042,0.0,0.0,-0.00468,0.00423,0.01369,0.02398
A_EBI,0.01942,0.00566,0.00282,0.00255,0.0,0.0,0.00121,0.00611,-0.02226,0.00481
A_BLH,-0.00938,0.01157,0.00955,0.01722,0.0,0.0,-0.0017,0.0034,-0.00227,0.01824
A_rrs_865,0.00114,0.01263,-0.01854,0.00451,0.0,0.0,-0.00723,0.00304,0.01985,0.01723
A_rrs_709,-0.00234,0.00681,-0.00226,0.0131,0.0,0.0,0.00292,0.00397,-0.00528,0.0285
A_CI,-0.00098,0.01349,0.0077,0.01161,0.0,0.0,-0.00513,0.00631,-0.00861,0.00818
A_NDCI,-0.00799,0.01268,-0.00218,0.01065,0.0,0.0,-0.00427,0.00567,0.00667,0.02013
A_rrs_682,-0.00807,0.01296,0.00922,0.01157,0.0,0.0,-0.00256,0.00527,-0.01404,0.02193
A_GLH,-0.03946,0.01188,0.00741,0.01795,0.0,0.0,0.02687,0.01691,-0.01389,0.03627
A_rrs_560,-0.01095,0.01478,-0.00312,0.01362,0.0,0.0,-0.00127,0.00647,-0.0041,0.03379
A_rrs_490,-0.01634,0.01418,0.00939,0.01117,0.0,0.0,-0.00299,0.00485,-0.00963,0.02179
roms_u_sur,-0.0104,0.00865,-0.01797,0.01787,0.0,0.0,0.00208,0.00361,0.00563,0.01526
A_RedEdge_Ratio,-0.00588,0.01551,-0.00995,0.00644,0.0,0.0,-0.00214,0.00454,-0.00467,0.01704
A_Fluorescence_Peak,0.00299,0.01259,-0.00103,0.00982,0.0,0.0,-0.00172,0.00507,-0.02489,0.01989
A_rrs_754,-0.0008,0.01063,-0.01839,0.0101,0.0,0.0,0.00291,0.00479,-0.00848,0.00555
A_RBD,-0.00253,0.01174,0.00522,0.00793,0.0,0.0,-0.00383,0.00423,-0.02566,0.02252
