feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.06531,0.02371,0.03947,0.01201,0.0155,0.01899,0.16792,0.02412,0.07459,0.02307
roms_salt_sur,0.02746,0.01834,-0.00113,0.00765,0.01173,0.01858,0.11754,0.01754,0.0378,0.01356
doy_cos,0.02126,0.0193,-0.00185,0.00638,-0.00093,0.00071,0.06463,0.00839,0.06553,0.01529
roms_zeta,0.02177,0.02187,0.0111,0.00636,-0.01965,0.03094,0.05392,0.01527,0.05336,0.01762
roms_temp_sur,-0.0109,0.0246,-0.00315,0.00952,0.02301,0.01753,0.05008,0.01579,0.06054,0.01995
B_GLH,-0.02099,0.01411,0.02408,0.01154,-0.00425,0.00784,0.02349,0.00954,0.06023,0.01022
B_BlueGreen_Ratio,-0.00299,0.01048,0.01226,0.00878,0.00534,0.01459,0.01432,0.01006,0.05126,0.01278
roms_wind_dir,0.00468,0.0095,0.01754,0.00926,-0.00043,0.00044,0.01966,0.00784,0.01407,0.00695
roms_Vwind,-0.02409,0.01788,0.01409,0.00927,-0.0007,0.00036,0.03831,0.00934,0.02613,0.00986
roms_current_speed,0.02282,0.01155,-0.00214,0.00792,-0.00508,0.01616,0.02613,0.01045,0.00872,0.01056
B_FLH_681,0.02458,0.01006,-0.00442,0.00499,-0.0021,0.00084,0.016,0.00738,0.01313,0.00824
roms_wind_speed,0.0029,0.00885,-0.00164,0.0053,0.00074,0.00776,0.0146,0.00964,0.02711,0.00986
B_RBD,0.00709,0.01301,0.00382,0.00522,-0.00545,0.01204,0.02485,0.00761,0.01308,0.00724
roms_v_sur,-0.00321,0.01164,-0.00761,0.00657,0.00248,0.01877,0.02144,0.00608,0.02685,0.00967
B_FLHmax,0.00475,0.01157,0.00079,0.00481,-0.0016,0.00077,0.01413,0.00485,0.02142,0.01208
B_DINI,-0.01605,0.01389,0.00817,0.00719,-0.00759,0.01273,0.03508,0.00899,0.01899,0.01037
roms_Pair,-0.0221,0.00865,0.00288,0.00566,0.00181,0.00751,0.03669,0.01128,0.01905,0.01187
roms_u_sur,0.01065,0.01229,-0.00028,0.00598,-0.00581,0.01309,0.01217,0.00741,0.01652,0.00801
roms_current_dir,0.00308,0.0156,-0.00495,0.00742,0.01163,0.01678,0.01494,0.00683,0.00786,0.00764
roms_Uwind,-0.02129,0.01545,0.00027,0.00469,-0.00127,0.00059,0.02486,0.00886,0.02859,0.01199
B_GBI,-0.01892,0.01298,0.00566,0.00773,-0.00944,0.01427,0.01356,0.00721,0.03647,0.01607
B_KBBI,-0.00585,0.0127,-0.01593,0.00536,-0.0012,0.00043,0.02743,0.00916,0.01409,0.00689
B_NDCI,0.00923,0.01261,0.00227,0.00625,-0.00134,0.00074,0.00128,0.00538,0.00697,0.01119
B_CI,-0.00508,0.01071,0.00425,0.00626,-0.00134,0.00069,0.02086,0.00726,-0.00031,0.00815
B_EBI,0.00982,0.00543,-0.00294,0.00389,-0.00043,0.00039,0.01059,0.00496,-0.00021,0.00524
B_Fluorescence_Peak,0.00159,0.00912,0.00011,0.00505,-0.00121,0.00069,0.00961,0.00689,0.00582,0.01125
B_Blue_Red_Ratio,-0.00317,0.00874,0.00992,0.00553,-0.00033,0.00041,-0.0004,0.00639,0.00832,0.0079
B_MCI,0.00622,0.01437,-0.01572,0.00292,0.01305,0.0175,0.00381,0.00489,0.00516,0.00722
B_rrs_490,-0.01589,0.01371,0.00145,0.00383,-0.00334,0.00075,0.01197,0.00685,0.01806,0.00751
B_rrs_560,-0.03692,0.02022,0.01252,0.01063,-0.00267,0.00062,0.01392,0.0059,0.02514,0.01655
B_rrs_709,-0.01934,0.00893,0.01482,0.00585,-0.00055,0.00043,0.00138,0.00691,0.01517,0.00747
B_rrs_754,0.00014,0.01577,0.01076,0.00616,-0.00982,0.01511,0.00383,0.00733,0.00411,0.0098
B_NDWI,0.00327,0.01106,-0.01121,0.00515,-0.00157,0.00086,0.00734,0.00424,0.0076,0.00828
B_BLH,-0.00118,0.0104,-0.01031,0.00696,-0.00108,0.00058,0.00364,0.01139,0.01247,0.0097
B_NDNI,0.00229,0.01555,-0.00353,0.00351,-0.00083,0.00067,0.01158,0.00777,-0.00607,0.00638
B_rrs_665,-0.02297,0.00915,0.00652,0.00519,-0.0013,0.00035,0.00599,0.00711,0.01394,0.00713
B_Red_NIR_Ratio,-0.00093,0.00968,-0.00442,0.00739,-0.00226,0.00075,0.01151,0.00884,-0.00281,0.00713
B_rrs_865,0.00529,0.00992,-0.00157,0.00466,-0.00024,0.0004,0.00125,0.00421,-0.00517,0.00681
B_RedEdge_Ratio,-0.00869,0.01034,0.00104,0.0056,-0.00172,0.00054,0.00938,0.00537,-0.00055,0.00961
B_rrs_412,-0.01279,0.01433,-0.01092,0.00438,-0.00137,0.00056,0.01021,0.00831,0.00832,0.0063
B_FLH_665,-0.00909,0.00931,-0.01198,0.00732,-0.0015,0.00052,0.01774,0.00709,-0.00279,0.00963
B_rrs_673,-0.01379,0.00913,-0.00495,0.00407,-0.00101,0.00041,-8e-05,0.00709,0.00854,0.00804
B_rrs_682,-0.01019,0.01059,-0.01311,0.00488,-0.00058,0.00046,0.01596,0.00865,-0.00388,0.00857
B_Green_Red_Ratio,-0.00553,0.01345,-0.0107,0.00257,-0.00933,0.01467,0.00523,0.0046,0.0031,0.00808
