feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.18307,0.03376,0.12598,0.03579,0.0,0.0,0.24356,0.03584,0.24854,0.08357
doy_cos,0.21428,0.03349,0.06027,0.02121,0.0,0.0,0.21906,0.03896,0.26981,0.08102
A_MCI,0.07095,0.03514,0.03384,0.01383,0.0,0.0,0.11782,0.03279,0.26829,0.09221
A_BlueGreen_Ratio,0.11299,0.03497,0.07487,0.03001,0.0,0.0,0.17769,0.04522,0.00183,0.0172
A_GLH,0.09645,0.03127,0.10646,0.04192,0.0,0.0,0.10665,0.04925,-0.00138,0.0293
A_DINI,0.05916,0.02365,0.03436,0.02082,0.0,0.0,0.10432,0.01793,-0.00156,0.02621
A_NDWI,0.08255,0.02168,0.00045,0.01534,0.0,0.0,0.07734,0.02093,-0.00064,0.00279
A_Red_NIR_Ratio,0.04459,0.01982,0.00302,0.01561,0.0,0.0,0.04749,0.02561,0.06341,0.04487
A_FLH_665,0.0642,0.0271,0.02572,0.01773,0.0,0.0,0.0611,0.02177,-0.0006,0.03802
A_NDCI,0.08604,0.01901,0.01237,0.00982,0.0,0.0,0.04355,0.02088,0.00527,0.01903
A_BLH,0.05195,0.01956,0.0259,0.01548,0.0,0.0,0.05609,0.02065,0.00306,0.01928
A_RedEdge_Ratio,0.07574,0.02018,0.00894,0.01099,0.0,0.0,0.04598,0.01386,-0.00555,0.01642
A_CI,0.07244,0.01865,0.00122,0.02855,0.0,0.0,0.03987,0.01712,-0.00192,0.00457
A_Green_Red_Ratio,0.06967,0.02347,0.00421,0.01952,0.0,0.0,0.03946,0.02098,-0.00231,0.01628
A_GBI,0.03003,0.01082,0.00365,0.01632,0.0,0.0,0.05896,0.02177,0.00535,0.02385
A_RBD,0.03775,0.01338,0.03423,0.0134,0.0,0.0,0.02668,0.03049,-0.00307,0.02804
A_NDNI,0.02546,0.01718,0.01201,0.0132,0.0,0.0,0.05634,0.02148,0.0,0.0
A_Fluorescence_Peak,0.04146,0.02032,0.02488,0.01597,0.0,0.0,0.0261,0.0178,0.00092,0.0145
A_rrs_412,0.04824,0.01833,0.01604,0.01483,0.0,0.0,0.03261,0.02049,-0.0048,0.01454
A_rrs_865,0.05071,0.0166,-0.00185,0.01037,0.0,0.0,0.03595,0.01475,0.0,0.0
A_rrs_490,0.03383,0.02336,0.02279,0.0116,0.0,0.0,0.0329,0.02176,-0.00708,0.00764
A_Blue_Red_Ratio,0.04394,0.02279,0.0031,0.01452,0.0,0.0,0.03904,0.02264,-0.00384,0.00587
A_FLH_681,0.00222,0.01311,0.02935,0.01005,0.0,0.0,0.04246,0.01897,0.0,0.0
A_FLHmax,0.04819,0.01635,0.00694,0.00752,0.0,0.0,0.01234,0.0149,-0.00066,0.01739
A_rrs_665,0.02651,0.02054,0.00562,0.0152,0.0,0.0,0.03272,0.01626,-0.00505,0.01365
A_rrs_682,0.03143,0.0135,-0.00274,0.00941,0.0,0.0,0.02531,0.01484,0.00092,0.0145
A_rrs_754,0.05077,0.01757,-0.01393,0.01377,0.0,0.0,0.01712,0.01692,0.0,0.0
A_rrs_709,0.02154,0.01618,0.00333,0.00632,0.0,0.0,0.01888,0.01448,0.0,0.0
A_rrs_560,0.03504,0.02265,0.00517,0.01801,0.0,0.0,0.0049,0.01342,-0.00842,0.01985
A_EBI,0.02291,0.01504,0.00491,0.00752,0.0,0.0,0.00655,0.01074,0.0,0.0
A_KBBI,0.06385,0.01731,0.00769,0.01307,0.0,0.0,-0.04906,0.03039,-0.01024,0.01668
