feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.14177,0.02963,0.08427,0.01533,0.0,0.0,0.3203,0.0429,0.20547,0.02782
doy_cos,0.17444,0.04295,0.0081,0.00883,0.0,0.0,0.18599,0.02429,0.11531,0.02512
A_BlueGreen_Ratio,-0.01428,0.01459,0.09371,0.01647,0.0,0.0,0.11792,0.01791,0.05945,0.01832
A_MCI,0.03594,0.02028,0.0044,0.00651,0.0,0.0,0.04628,0.01809,0.10971,0.01838
A_GLH,-0.01206,0.01477,0.0838,0.02277,-0.01085,0.01658,0.0377,0.02417,0.08669,0.01951
A_FLH_665,0.00802,0.01079,0.01301,0.00765,0.0,0.0,0.05393,0.01339,0.03685,0.01205
A_rrs_412,0.0137,0.01866,0.00343,0.00869,0.0,0.0,0.0399,0.01503,0.03427,0.0146
A_RedEdge_Ratio,0.0041,0.01018,0.00552,0.00995,0.0,0.0,0.05405,0.01309,0.02503,0.01251
A_GBI,0.02641,0.01216,-0.0013,0.00606,0.0,0.0,0.02634,0.01219,0.0333,0.00948
A_Green_Red_Ratio,0.02452,0.01393,0.0017,0.0074,0.0,0.0,0.02091,0.00956,0.02147,0.00981
A_CI,0.00238,0.01348,-0.00992,0.00729,-0.00367,0.01101,0.03751,0.01091,0.04065,0.01117
A_Red_NIR_Ratio,0.03476,0.02164,-0.00115,0.00442,0.0,0.0,0.01604,0.00744,0.01464,0.01226
A_NDNI,0.00921,0.01104,-0.00758,0.00632,0.0,0.0,0.03995,0.00998,0.02073,0.00892
A_DINI,0.02218,0.01522,0.01413,0.00971,0.0,0.0,0.0141,0.00506,0.00905,0.01285
A_KBBI,0.00539,0.0135,0.0109,0.0069,0.0,0.0,0.0299,0.00839,0.01153,0.0081
A_RBD,0.00962,0.01175,-0.00128,0.00408,0.0,0.0,0.03064,0.01391,0.01857,0.01151
A_FLH_681,0.01739,0.01359,0.00662,0.00399,0.0,0.0,0.01937,0.00688,0.01237,0.01065
A_NDCI,0.00837,0.01607,-0.00582,0.00764,-0.00175,0.00765,0.02239,0.00693,0.03196,0.01265
A_rrs_490,0.01934,0.01113,0.01463,0.00571,0.0,0.0,0.01531,0.00804,0.00468,0.01091
A_rrs_560,0.00668,0.011,-0.00043,0.00725,-0.0171,0.0171,0.0275,0.0138,0.03499,0.0164
A_BLH,-0.0081,0.01124,0.00249,0.00759,0.0,0.0,0.02843,0.00962,0.02459,0.01098
A_FLHmax,0.01085,0.01407,0.00648,0.00447,0.0,0.0,0.01884,0.00827,0.01079,0.00748
A_NDWI,0.00623,0.01309,0.00127,0.00563,-0.0089,0.01541,0.04859,0.01533,-0.00105,0.00936
A_rrs_682,0.01428,0.01298,0.009,0.00436,0.0,0.0,0.0204,0.00712,0.00014,0.00922
A_Blue_Red_Ratio,-0.01118,0.00544,0.00195,0.00733,0.0,0.0,0.02894,0.01161,0.02101,0.00974
A_rrs_709,0.00884,0.00945,-0.00055,0.0052,0.0,0.0,0.0178,0.00769,0.01375,0.0099
A_EBI,-0.00053,0.00263,0.00042,0.00158,0.0,0.0,0.01096,0.00597,0.01685,0.00637
A_rrs_754,0.01303,0.00899,0.00356,0.00571,0.0,0.0,0.00406,0.00756,0.00684,0.00672
A_Fluorescence_Peak,0.01241,0.00682,0.00802,0.00495,0.0,0.0,0.00209,0.00591,0.00355,0.00762
A_rrs_665,0.00281,0.00771,0.00741,0.00714,0.0,0.0,0.00865,0.00699,0.00328,0.00916
A_rrs_865,0.00341,0.01183,-0.00141,0.00429,-0.01413,0.01731,0.01303,0.00727,0.01105,0.00864
