feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.09633,0.03441,0.13687,0.03073,0.0,0.0,0.36951,0.06233,0.22662,0.07482
roms_zeta,0.15878,0.0366,0.07997,0.02302,0.0,0.0,0.27944,0.03646,0.17816,0.06831
roms_salt_sur,0.0222,0.02383,0.055,0.03124,0.0,0.0,0.31759,0.04093,0.24339,0.07008
roms_temp_sur,0.06248,0.03063,0.06668,0.01679,0.0,0.0,0.19179,0.04168,0.18583,0.07257
doy_cos,0.0514,0.01741,0.11056,0.03415,0.0,0.0,0.18521,0.02476,0.15647,0.08598
A_MCI,0.02857,0.01563,0.01915,0.01198,0.0,0.0,0.14023,0.03841,0.28753,0.08135
A_BlueGreen_Ratio,0.05598,0.02741,0.07674,0.02737,0.0,0.0,0.18925,0.03514,0.0188,0.02185
A_GLH,0.04442,0.02857,0.09089,0.01949,0.0,0.0,0.17709,0.03195,0.004,0.01503
roms_Pair,0.02028,0.02224,0.02785,0.01295,0.0,0.0,0.13575,0.0377,0.05796,0.01911
roms_v_sur,0.02826,0.01724,0.06173,0.01968,0.0,0.0,0.08665,0.03157,0.01502,0.0
A_NDWI,0.04094,0.02107,0.00313,0.01409,0.0,0.0,0.11596,0.02837,0.0206,0.02946
roms_current_dir,0.02966,0.0202,0.02711,0.01597,0.0,0.0,0.08672,0.03118,0.02794,0.02443
roms_Uwind,0.06207,0.01701,0.02118,0.01163,0.0,0.0,0.05663,0.01945,0.01545,0.02261
roms_wind_speed,0.02094,0.01031,0.03341,0.01444,0.0,0.0,0.07949,0.02606,0.01904,0.02969
roms_wind_dir,0.0257,0.01634,0.02214,0.01604,0.0,0.0,0.0646,0.0216,0.04017,0.02745
A_DINI,0.01544,0.01485,0.00309,0.01161,0.0,0.0,0.10315,0.01883,0.02912,0.02008
A_rrs_865,0.02976,0.01546,0.0405,0.01343,0.0,0.0,0.02268,0.01732,0.03626,0.02643
A_GBI,0.01951,0.00762,0.02118,0.01412,0.0,0.0,0.05776,0.01254,0.0303,0.02448
A_rrs_754,0.00881,0.01408,0.05094,0.01975,0.0,0.0,0.04426,0.01999,0.02466,0.01604
A_FLH_665,0.01604,0.01548,0.01556,0.01402,0.0,0.0,0.04539,0.02499,0.05034,0.02472
A_Red_NIR_Ratio,0.02667,0.01785,0.02214,0.01408,0.0,0.0,0.03848,0.01696,0.02972,0.0331
A_rrs_412,0.02375,0.01561,0.02565,0.01179,0.0,0.0,0.01925,0.01382,0.04796,0.02846
A_RBD,0.0183,0.01127,0.03855,0.00835,0.0,0.0,0.03285,0.01327,0.01615,0.03137
roms_Vwind,0.01786,0.01833,0.03084,0.01915,0.0,0.0,0.02933,0.01339,0.02647,0.02434
A_Green_Red_Ratio,0.02163,0.01796,0.03334,0.02064,0.0,0.0,0.0239,0.01458,0.02114,0.03528
A_CI,0.04288,0.02374,0.01063,0.0196,0.0,0.0,0.02861,0.01506,0.01762,0.02681
A_Fluorescence_Peak,0.02575,0.01094,0.03221,0.00942,0.0,0.0,0.01362,0.01368,0.02476,0.02022
roms_u_sur,0.03598,0.01133,0.00719,0.01311,0.0,0.0,0.04011,0.01977,0.01289,0.01979
A_BLH,-0.01298,0.01231,0.04986,0.01665,0.0,0.0,0.04965,0.02019,0.00809,0.02442
A_rrs_665,0.01193,0.01061,0.05547,0.01667,0.0,0.0,0.01262,0.01768,0.01214,0.01896
A_FLHmax,0.01665,0.01226,0.00287,0.01389,0.0,0.0,0.05102,0.01247,0.02035,0.02956
A_FLH_681,0.01614,0.00942,0.02552,0.01424,0.0,0.0,0.03188,0.01631,0.01309,0.02358
A_KBBI,0.01082,0.00802,0.00763,0.0119,0.0,0.0,0.05364,0.01837,0.01246,0.02668
A_Blue_Red_Ratio,0.01952,0.00988,0.03232,0.0153,0.0,0.0,0.02277,0.01117,0.00872,0.02184
roms_current_speed,0.01612,0.0203,0.03251,0.019,0.0,0.0,0.02989,0.01495,0.00413,0.01238
A_RedEdge_Ratio,0.01679,0.01549,0.00058,0.01463,0.0,0.0,0.04277,0.02056,0.02115,0.02124
A_rrs_560,0.01769,0.01866,0.02214,0.02446,0.0,0.0,0.00828,0.01271,0.03289,0.02161
A_NDCI,0.00115,0.01957,0.00537,0.00928,0.0,0.0,0.04813,0.01603,0.02364,0.02373
A_rrs_490,0.00314,0.00915,0.03076,0.01012,0.0,0.0,0.02314,0.01365,0.01392,0.02139
A_rrs_709,0.01847,0.01649,0.01506,0.00564,0.0,0.0,0.01131,0.01085,0.026,0.01264
A_rrs_682,-0.01347,0.02012,0.0141,0.00492,0.0,0.0,0.03342,0.01771,0.03424,0.02626
A_NDNI,0.0173,0.01251,0.00893,0.0106,0.0,0.0,0.03395,0.0264,0.00226,0.0158
A_EBI,-0.00157,0.00214,0.0048,0.0011,0.0,0.0,0.01479,0.01094,0.00635,0.02118
