feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.14586,0.02977,0.10309,0.01901,0.04634,0.03005,0.16708,0.02242,0.06765,0.02271
roms_salt_sur,0.02389,0.02036,0.00954,0.00709,0.01853,0.0263,0.18402,0.02805,0.09598,0.01275
doy_cos,0.11082,0.02247,-0.00633,0.01031,0.0273,0.02064,0.05351,0.01576,0.14143,0.02376
roms_temp_sur,0.05709,0.01789,0.00958,0.00862,0.05054,0.02724,0.03954,0.0122,0.06149,0.01873
roms_zeta,0.07801,0.02417,0.01059,0.00714,0.00784,0.04429,-0.00678,0.00583,0.09427,0.0183
A_BlueGreen_Ratio,-0.00486,0.02415,0.06759,0.01952,0.01145,0.01723,0.01278,0.01008,0.03031,0.01588
A_MCI,0.02587,0.01659,-0.0013,0.00506,0.01959,0.01687,0.01512,0.00762,0.05637,0.01666
A_GLH,0.01454,0.01678,0.02304,0.01618,0.01661,0.01755,0.01073,0.00953,0.04559,0.01167
roms_Pair,0.03423,0.0158,0.00933,0.00786,0.0121,0.01723,0.01012,0.0088,0.01579,0.00763
A_NDCI,0.01649,0.0123,0.00138,0.00417,0.0105,0.0165,0.02262,0.00556,0.02916,0.00879
A_FLH_665,0.01679,0.01134,0.01161,0.0064,0.02058,0.01666,0.0054,0.00981,0.01392,0.01091
A_CI,0.00284,0.01139,0.00506,0.00733,0.0171,0.01734,0.00784,0.00317,0.03201,0.0138
A_NDNI,0.00947,0.00682,0.00324,0.00469,0.01758,0.01726,0.01582,0.00586,0.01539,0.0086
roms_current_dir,0.01086,0.01186,-0.00146,0.00781,0.04568,0.02038,-0.0101,0.00418,0.01478,0.014
roms_current_speed,0.02831,0.01059,-0.00271,0.00811,0.02996,0.01039,-0.00834,0.00539,0.00766,0.00929
A_Blue_Red_Ratio,0.0121,0.01071,0.00365,0.00692,0.02553,0.01461,-0.00098,0.00815,0.01422,0.00788
A_FLHmax,0.00536,0.00493,0.00869,0.0033,0.03152,0.00781,-0.00877,0.00374,0.01546,0.00407
A_rrs_490,0.01004,0.00834,0.00454,0.00492,0.02531,0.01476,0.00106,0.00594,0.00956,0.0107
A_rrs_865,0.01213,0.00809,0.00157,0.00363,0.02291,0.01579,0.00046,0.00472,0.01194,0.00876
roms_v_sur,0.02654,0.01227,-0.00988,0.00751,0.02537,0.01481,-0.01525,0.00683,0.01975,0.01067
A_Red_NIR_Ratio,0.01679,0.0086,0.00084,0.00539,0.01756,0.01687,0.0007,0.00763,0.01041,0.00908
roms_wind_dir,0.01376,0.00987,0.00387,0.00589,0.01238,0.01693,-0.00144,0.00649,0.01724,0.00666
A_NDWI,0.00982,0.01112,0.0012,0.00672,0.02071,0.01648,-0.00731,0.00598,0.01748,0.01038
A_Green_Red_Ratio,-0.00299,0.01033,0.0006,0.00749,0.03156,0.00753,-0.00259,0.00496,0.0153,0.01038
A_rrs_560,0.00149,0.01037,0.00079,0.0055,0.02014,0.01658,-0.00891,0.0049,0.02558,0.01314
A_DINI,0.00154,0.00695,0.00541,0.0086,0.02634,0.01351,-0.01119,0.00501,0.01618,0.01184
A_FLH_681,-0.00455,0.00958,-0.00205,0.00429,0.02909,0.0119,-0.00406,0.00484,0.01596,0.00685
A_BLH,0.01205,0.01124,-0.00176,0.00583,0.00943,0.01575,-0.00528,0.004,0.01984,0.01257
roms_Vwind,0.01389,0.01453,-0.00098,0.00848,0.01451,0.01727,-0.00029,0.00638,0.00689,0.01372
roms_Uwind,0.01376,0.01528,-0.00172,0.00354,0.01278,0.01678,0.00501,0.0072,0.00402,0.00963
A_GBI,0.01096,0.00509,-0.00267,0.00464,0.01506,0.0169,-0.00843,0.00452,0.01886,0.0065
A_rrs_709,0.00119,0.00931,0.00443,0.00428,0.02996,0.01039,-0.00992,0.00461,0.0069,0.00574
A_Fluorescence_Peak,0.00217,0.01123,9e-05,0.00656,0.0071,0.01362,0.00094,0.00754,0.02051,0.00868
A_rrs_754,0.00665,0.00714,0.00437,0.00344,0.00678,0.01355,-0.00454,0.00528,0.01555,0.00715
roms_wind_speed,-0.00463,0.00667,-4e-05,0.00885,0.02242,0.01614,0.00544,0.00785,0.00453,0.00514
A_KBBI,0.008,0.01004,-0.00176,0.00494,0.02845,0.0123,-0.01734,0.0066,0.00916,0.00703
A_rrs_412,0.00131,0.00935,0.00146,0.00287,0.00579,0.01375,0.00144,0.00658,0.01591,0.01111
A_EBI,-0.00371,0.00251,0.00183,0.00309,0.03388,0.0,-0.002,0.00255,-0.00881,0.00403
A_rrs_665,0.00437,0.00917,-0.00294,0.00285,0.02328,0.01578,-0.00463,0.00439,-0.00043,0.00696
A_RedEdge_Ratio,-0.00627,0.00895,-0.00218,0.00632,-0.00197,0.00092,0.00423,0.00497,0.01945,0.00861
roms_u_sur,0.00834,0.01274,-0.00411,0.00617,0.00767,0.01487,-0.00369,0.00678,0.00418,0.00799
A_RBD,-0.00213,0.00755,0.00336,0.00415,0.00963,0.0157,-0.01038,0.00442,0.00252,0.00925
A_rrs_682,0.00142,0.00508,0.00125,0.00544,0.00169,0.00741,-0.00611,0.00414,0.00133,0.00842
