feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.16752,0.04454,0.07112,0.01965,0.0,0.0,0.24928,0.0185,0.20338,0.05679
doy_cos,0.11183,0.03433,0.06711,0.02464,0.0,0.0,0.12608,0.03203,0.21477,0.05198
B_BlueGreen_Ratio,0.02117,0.0306,0.08031,0.03866,0.0,0.0,0.06319,0.02611,-0.00619,0.01468
B_GLH,0.02977,0.02151,0.07255,0.03737,0.0,0.0,0.03015,0.01969,-0.00078,0.02236
B_BLH,0.01248,0.01509,-0.00391,0.01928,0.0,0.0,0.08971,0.01501,0.01132,0.0257
B_DINI,0.01219,0.01676,0.02361,0.02833,0.0,0.0,0.04444,0.03102,-0.00081,0.00242
B_FLH_665,0.03699,0.02454,-0.01014,0.02024,0.0,0.0,0.02171,0.01941,0.03004,0.04875
B_KBBI,0.04822,0.01583,-0.02666,0.01676,0.0,0.0,0.03691,0.02202,0.0079,0.02841
B_NDNI,0.00425,0.01766,0.01593,0.02036,0.0,0.0,0.06148,0.02604,-0.01948,0.00577
B_rrs_709,0.00837,0.01846,0.00855,0.01387,0.0,0.0,0.03212,0.01303,0.00861,0.04133
B_GBI,0.01325,0.01351,0.05621,0.02401,0.0,0.0,-0.01409,0.01656,-0.00797,0.00917
B_FLHmax,0.02971,0.01551,-0.02791,0.01377,0.0,0.0,0.02248,0.01878,0.01684,0.03812
B_MCI,0.00555,0.01476,-0.01394,0.02562,0.0,0.0,0.0241,0.01707,0.025,0.04378
B_FLH_681,0.01637,0.02671,0.02149,0.02041,0.0,0.0,0.00331,0.02016,-0.00048,0.03778
B_Blue_Red_Ratio,0.01112,0.01144,0.00337,0.01285,0.0,0.0,0.02821,0.02252,-0.00242,0.0037
B_rrs_665,0.0034,0.0168,-0.01067,0.01881,0.0,0.0,0.04576,0.01719,0.0,0.0
B_rrs_682,0.00248,0.01549,0.00919,0.02548,0.0,0.0,0.03263,0.02283,-0.00923,0.00933
B_rrs_560,0.01284,0.02009,0.03909,0.01907,0.0,0.0,-0.01641,0.03231,-0.00081,0.00242
B_rrs_490,0.01686,0.01473,0.00559,0.02098,0.0,0.0,0.01227,0.02622,-0.00245,0.00457
B_Green_Red_Ratio,0.0086,0.01891,-0.01739,0.01516,0.0,0.0,0.0467,0.01666,-0.0096,0.00862
B_rrs_754,0.02023,0.01802,-0.00695,0.01378,0.0,0.0,0.01907,0.01948,-0.00737,0.00582
B_Fluorescence_Peak,0.00035,0.01788,0.00174,0.01898,0.0,0.0,0.02435,0.01459,-0.00969,0.00989
B_rrs_412,0.01735,0.01936,-0.0166,0.01275,0.0,0.0,0.01612,0.01727,-0.00081,0.00242
B_NDWI,0.01984,0.0166,-0.00991,0.01458,0.0,0.0,0.0072,0.01991,-0.00202,0.00349
B_RBD,0.01187,0.01074,-0.0254,0.01651,0.0,0.0,0.04119,0.0167,-0.01291,0.00693
B_Red_NIR_Ratio,-0.02789,0.01994,0.01406,0.02748,0.0,0.0,0.02818,0.01467,-0.00121,0.00288
B_EBI,0.00681,0.01044,-0.01559,0.01316,0.0,0.0,0.01222,0.01108,-0.00242,0.0037
B_NDCI,-0.00809,0.0159,0.00017,0.01703,0.0,0.0,0.0258,0.01754,-0.02286,0.00889
B_CI,0.00858,0.00916,-0.06013,0.01286,0.0,0.0,0.05012,0.02537,-0.00489,0.02485
B_rrs_865,-0.00025,0.0115,-0.01036,0.02104,0.0,0.0,0.00147,0.0131,-0.00121,0.00288
B_RedEdge_Ratio,0.01154,0.01559,-0.02816,0.02411,0.0,0.0,0.03271,0.01893,-0.02652,0.00706
B_rrs_673,0.00312,0.0137,-0.02782,0.01471,0.0,0.0,0.01626,0.01616,-0.00753,0.00887
