feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.2281,0.03517,0.08763,0.02462,-0.00741,0.01483,0.19639,0.02637,0.14457,0.03095
doy_cos,0.17012,0.03694,0.02219,0.01445,0.0,0.0,0.11741,0.02059,0.08317,0.0153
B_BlueGreen_Ratio,-0.01337,0.02548,0.03679,0.01235,0.0,0.0,0.06187,0.01673,0.0554,0.01865
B_rrs_560,-0.00377,0.02045,0.03005,0.01253,0.0,0.0,0.02748,0.01038,0.07357,0.01601
B_rrs_490,0.02634,0.0122,0.01571,0.00569,0.0,0.0,0.02486,0.00984,0.04979,0.02564
B_GLH,0.00618,0.02428,0.01041,0.0157,-0.00196,0.00855,0.02401,0.00927,0.07766,0.02313
B_BLH,-0.01173,0.02073,0.03188,0.01358,0.0,0.0,0.03149,0.01338,0.05573,0.02016
B_FLHmax,0.04383,0.02663,0.00016,0.0105,0.0,0.0,0.01937,0.00778,0.03819,0.01605
B_DINI,0.01302,0.01723,0.02377,0.01371,0.0,0.0,0.03121,0.01486,0.02575,0.01824
B_FLH_665,0.03408,0.03402,0.00428,0.00945,0.0,0.0,0.0111,0.00987,0.03423,0.01753
B_MCI,-0.00551,0.01369,0.01804,0.00577,0.0,0.0,0.0258,0.00888,0.03831,0.0128
B_NDWI,-0.0051,0.0167,0.01515,0.0093,0.0,0.0,0.02003,0.00762,0.03485,0.0173
B_GBI,-0.00705,0.02183,-0.00741,0.00992,0.0,0.0,0.01289,0.00766,0.05701,0.02024
B_RBD,-0.00317,0.0154,-0.00034,0.01166,0.0,0.0,0.01386,0.00973,0.0439,0.01518
B_FLH_681,0.00657,0.02385,0.00251,0.0046,0.0,0.0,0.0092,0.00763,0.03463,0.01284
B_CI,-0.02739,0.01721,0.02108,0.00674,0.0,0.0,0.00991,0.0071,0.03829,0.0192
B_rrs_665,-0.0021,0.00917,0.0211,0.01005,0.0,0.0,0.00744,0.01016,0.01159,0.01313
B_Blue_Red_Ratio,-0.0079,0.01382,0.00899,0.00782,0.0,0.0,0.01855,0.00379,0.01023,0.00759
B_rrs_754,0.00033,0.01599,0.01211,0.00986,0.0,0.0,0.00655,0.00812,0.00907,0.01609
B_KBBI,-0.00237,0.01594,0.00789,0.00895,0.0,0.0,0.01151,0.00933,0.01085,0.01865
B_Red_NIR_Ratio,-0.02049,0.01269,0.00539,0.00891,0.0,0.0,0.02205,0.00834,0.01924,0.01546
B_NDCI,-0.01422,0.01434,0.01494,0.00783,0.0,0.0,-0.00035,0.0048,0.01297,0.0119
B_rrs_412,-0.03221,0.01539,0.01046,0.01098,0.0,0.0,0.00416,0.00822,0.02611,0.0153
B_NDNI,-0.00971,0.01209,-0.00253,0.0103,0.0,0.0,0.01744,0.00825,-0.00144,0.01481
B_rrs_709,-0.01727,0.00972,0.00997,0.00768,0.0,0.0,-0.0021,0.0071,0.00848,0.0187
B_rrs_865,-0.00432,0.00326,0.00621,0.00526,0.0,0.0,0.00151,0.00657,-0.00565,0.00994
B_RedEdge_Ratio,-0.0262,0.01319,0.00828,0.01079,0.0,0.0,-0.0091,0.00878,0.02093,0.01453
B_Fluorescence_Peak,-0.00794,0.01831,0.01193,0.01013,0.0,0.0,-0.00216,0.00756,-0.00875,0.01362
B_EBI,-0.0249,0.01157,0.00297,0.00365,0.0,0.0,0.00961,0.00469,0.00437,0.00854
B_rrs_682,-0.00429,0.01243,0.0079,0.00777,0.0,0.0,-0.00112,0.00757,-0.01154,0.01022
B_rrs_673,-0.02229,0.01473,-0.0086,0.00632,0.0,0.0,0.0077,0.00713,0.00304,0.01265
B_Green_Red_Ratio,-0.0172,0.01437,-0.00703,0.01256,-0.00385,0.01154,0.00386,0.00663,-0.01466,0.01626
