feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.07134,0.02128,0.15715,0.03975,0.0,0.0,0.23143,0.02779,0.23177,0.06933
roms_temp_sur,0.03008,0.01764,0.09555,0.02732,0.0,0.0,0.08972,0.03142,0.26598,0.08361
doy_cos,0.0553,0.0172,0.12511,0.03501,0.0,0.0,0.04853,0.02342,0.15811,0.08036
roms_zeta,0.11741,0.03661,0.06832,0.03117,0.0,0.0,0.01258,0.01919,0.11745,0.09444
roms_salt_sur,0.06027,0.02942,0.06271,0.01787,0.0,0.0,-0.00908,0.02245,0.19811,0.08377
roms_v_sur,0.0047,0.02309,0.16298,0.0299,0.0,0.0,0.00792,0.01747,-0.00211,0.02459
B_GLH,0.02415,0.0156,0.08836,0.02813,0.0,0.0,0.00186,0.02323,0.01978,0.03085
roms_Pair,0.03604,0.01937,0.03153,0.01338,0.0,0.0,0.05062,0.02843,0.00553,0.02642
B_FLHmax,0.05023,0.02381,0.0108,0.01647,0.0,0.0,0.014,0.01535,0.03617,0.032
B_FLH_681,0.0391,0.02257,0.05758,0.028,0.0,0.0,0.00928,0.01725,-0.00213,0.03077
B_FLH_665,0.03534,0.01724,0.02375,0.017,0.0,0.0,0.00782,0.01162,0.02872,0.04017
B_rrs_560,0.00705,0.01802,0.06337,0.02511,0.0,0.0,0.02081,0.01439,0.00194,0.02875
roms_Vwind,0.01062,0.008,0.02965,0.02243,0.0,0.0,0.02058,0.00945,0.03199,0.03437
roms_Uwind,0.02024,0.01617,0.03197,0.0163,0.0,0.0,0.00559,0.01169,0.03494,0.03961
B_GBI,0.00935,0.01507,0.02281,0.0301,0.0,0.0,0.00635,0.01534,0.03746,0.03276
roms_wind_dir,0.02148,0.01599,0.01233,0.01234,0.0,0.0,0.01266,0.01822,0.02536,0.03226
roms_u_sur,0.01687,0.01422,0.03593,0.01454,0.0,0.0,0.00061,0.01119,0.00876,0.03214
B_Fluorescence_Peak,0.00822,0.01503,0.02301,0.01822,0.0,0.0,0.01585,0.01828,0.01444,0.03804
B_KBBI,0.0153,0.01787,0.01438,0.0177,0.0,0.0,0.01307,0.01367,0.01753,0.035
B_rrs_673,0.01689,0.01654,0.03116,0.02112,0.0,0.0,-0.00012,0.01263,0.00572,0.03359
roms_wind_speed,-0.00487,0.01162,0.00939,0.01406,0.0,0.0,0.01754,0.02463,0.03056,0.03736
B_Blue_Red_Ratio,-0.00447,0.01108,0.0411,0.02069,0.0,0.0,-0.00517,0.01003,0.01674,0.04137
B_NDCI,0.01219,0.01472,0.03376,0.02226,0.0,0.0,-0.02716,0.00996,0.0284,0.0422
B_DINI,0.02281,0.02524,0.01489,0.02171,0.0,0.0,0.00165,0.02056,0.0071,0.01866
B_rrs_490,0.01397,0.01386,0.01282,0.02163,0.0,0.0,0.01391,0.01911,0.0,0.0
B_RBD,0.00472,0.02226,0.01315,0.02264,0.0,0.0,0.0048,0.01039,0.01724,0.02508
B_BlueGreen_Ratio,-0.00883,0.02349,0.06438,0.01957,0.0,0.0,-0.01279,0.02106,-0.00428,0.03897
B_NDNI,-0.00858,0.02008,0.0223,0.02461,0.0,0.0,-0.01585,0.00932,0.03576,0.04548
B_BLH,0.00692,0.0196,0.01291,0.0193,0.0,0.0,0.00098,0.01728,0.01073,0.04227
B_MCI,-0.011,0.02409,0.02163,0.02635,0.0,0.0,-0.00667,0.01506,0.02596,0.04017
B_rrs_865,0.01243,0.01327,-0.00241,0.00889,0.0,0.0,-0.00308,0.00262,0.02251,0.02497
B_rrs_709,-0.01015,0.0174,0.00795,0.01316,0.0,0.0,-0.0061,0.01394,0.03581,0.04365
B_rrs_412,0.00111,0.00953,0.04272,0.01373,0.0,0.0,-0.01559,0.012,-0.00199,0.01336
roms_current_dir,-0.00291,0.02592,0.05486,0.02168,0.0,0.0,-0.00333,0.01591,-0.02336,0.03551
B_EBI,0.00056,0.00828,0.00335,0.01272,0.0,0.0,0.0003,0.0107,0.02011,0.03456
roms_current_speed,-0.01758,0.01948,0.05027,0.01777,0.0,0.0,-0.01241,0.01084,-0.00027,0.02235
B_NDWI,0.01656,0.01138,0.00452,0.00998,0.0,0.0,-0.00607,0.01266,0.00431,0.03809
B_rrs_665,-0.01479,0.01245,0.02775,0.02306,0.0,0.0,-0.00038,0.00115,0.00142,0.02148
B_rrs_754,0.00765,0.01297,0.01958,0.01235,0.0,0.0,0.003,0.0076,-0.01815,0.0362
B_rrs_682,0.00807,0.01791,-0.0106,0.01419,0.0,0.0,-0.00888,0.00969,0.01695,0.0468
B_Red_NIR_Ratio,0.03543,0.0239,0.01986,0.0193,0.0,0.0,-0.02774,0.01885,-0.02551,0.03914
B_RedEdge_Ratio,-0.0007,0.01569,0.0311,0.01963,0.0,0.0,-0.0151,0.00975,-0.02131,0.03682
B_Green_Red_Ratio,-0.00762,0.00553,0.0081,0.019,0.0,0.0,0.00055,0.00247,-0.02475,0.04284
B_CI,-0.00468,0.01097,-0.00964,0.02349,0.0,0.0,-0.00059,0.00275,-0.01117,0.04086
