feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.21407,0.02468,0.0683,0.0175,0.0,0.0,0.14084,0.02455,0.12624,0.02154
roms_temp_sur,0.11382,0.04371,0.01681,0.01018,0.0,0.0,0.10545,0.02012,0.07756,0.01766
doy_cos,0.16082,0.02559,0.01489,0.00999,0.0,0.0,0.03066,0.01286,0.08951,0.01699
roms_salt_sur,0.02316,0.0219,0.02349,0.01329,-0.00364,0.01091,0.14359,0.02045,0.08996,0.01648
roms_zeta,0.14147,0.03099,0.01313,0.00836,-0.068,0.03102,0.06988,0.01073,0.0738,0.02071
B_rrs_560,0.0444,0.02268,0.01288,0.01066,0.0,0.0,0.06143,0.01486,0.03122,0.01376
B_BlueGreen_Ratio,0.0272,0.01829,0.0342,0.02029,0.0,0.0,0.02751,0.01351,0.03331,0.01337
roms_Pair,0.072,0.01735,0.00808,0.00686,0.0,0.0,0.00606,0.00758,0.02672,0.01201
roms_Vwind,0.05667,0.02788,0.00715,0.00494,0.0,0.0,0.00966,0.00748,0.03656,0.01353
B_BLH,0.0321,0.01756,0.018,0.00623,0.0,0.0,0.04489,0.0162,0.01497,0.01086
roms_Uwind,0.04457,0.02614,0.01091,0.00731,0.0,0.0,0.01772,0.00766,0.02951,0.01649
B_GBI,0.035,0.01509,0.00429,0.00948,-0.01734,0.01734,0.04411,0.00952,0.0339,0.01586
B_DINI,0.051,0.01933,0.0173,0.01043,0.0,0.0,0.01611,0.0068,0.01223,0.01202
B_FLHmax,0.06945,0.01949,0.00911,0.00609,0.0,0.0,0.01694,0.00813,-0.00235,0.01357
B_GLH,0.04129,0.01906,0.01642,0.01802,0.0,0.0,0.01525,0.00918,0.01801,0.01601
B_FLH_665,0.05523,0.02164,0.0098,0.00666,0.0,0.0,0.00019,0.00562,0.0044,0.00792
roms_wind_dir,0.03497,0.02105,0.0071,0.00617,0.0,0.0,0.00261,0.00658,0.02407,0.00848
B_rrs_490,0.00156,0.01211,0.0025,0.00388,0.0,0.0,0.03751,0.01041,0.01989,0.01225
roms_v_sur,0.0463,0.01933,0.00247,0.00702,0.0,0.0,0.00303,0.00548,0.00918,0.01229
roms_wind_speed,0.0124,0.01197,-0.00264,0.00451,-0.0102,0.01559,0.03473,0.01134,0.0209,0.01179
B_Blue_Red_Ratio,0.02434,0.01242,-0.00486,0.00456,0.0,0.0,0.01866,0.01087,0.01487,0.01061
B_FLH_681,0.03892,0.01999,0.00495,0.00577,0.0,0.0,-0.00456,0.00499,0.01306,0.01213
B_rrs_682,0.02108,0.01276,0.01389,0.00558,0.0,0.0,0.00619,0.00584,0.00378,0.00816
B_NDNI,0.02012,0.01272,-0.00309,0.00559,0.0,0.0,0.00974,0.00781,0.01409,0.00866
B_RBD,0.01376,0.01438,0.00407,0.0062,0.0,0.0,0.00052,0.00655,0.01545,0.0107
B_RedEdge_Ratio,-0.00735,0.0091,0.01579,0.00692,0.0,0.0,0.00717,0.00548,0.01467,0.00922
B_KBBI,0.03555,0.01552,0.00581,0.00512,-0.00348,0.01044,-0.00989,0.00585,-0.00023,0.01211
B_NDCI,0.00368,0.01298,-0.01606,0.00819,0.0,0.0,0.03116,0.00991,0.00888,0.00898
B_Fluorescence_Peak,0.00653,0.01317,0.0116,0.00698,0.0,0.0,0.00519,0.00424,0.00415,0.01171
B_CI,0.02334,0.01506,-0.00678,0.00372,0.0,0.0,-0.00078,0.00429,0.00972,0.01213
B_rrs_754,0.0112,0.01046,0.00156,0.00469,0.0,0.0,0.00762,0.00623,0.005,0.01262
roms_current_dir,0.01941,0.01808,-0.00117,0.0051,0.0,0.0,-0.00188,0.00774,0.00753,0.00927
B_rrs_673,-0.01422,0.01014,0.00242,0.00611,0.0,0.0,0.03011,0.00971,0.00498,0.01222
B_MCI,0.01581,0.01649,-0.00843,0.00529,0.0,0.0,0.00561,0.00723,0.00639,0.01062
roms_u_sur,-0.00452,0.01025,0.00346,0.00439,0.0,0.0,0.00692,0.00695,0.01092,0.00935
B_rrs_865,0.0012,0.00491,-0.00095,0.00518,0.0,0.0,0.01105,0.00568,0.00112,0.00924
B_rrs_412,0.02379,0.01695,-0.01251,0.00596,0.0,0.0,0.00504,0.00335,-0.00714,0.0088
B_rrs_665,0.0184,0.01342,-0.01051,0.00479,-0.01754,0.01755,0.00575,0.00552,0.0101,0.01138
B_EBI,-0.01049,0.00631,0.00104,0.00303,0.0,0.0,0.00574,0.00374,0.00931,0.00862
B_Green_Red_Ratio,0.0025,0.01276,-0.00196,0.00661,0.0,0.0,-0.00501,0.00519,0.00886,0.00934
roms_current_speed,0.00234,0.01633,-0.00196,0.00578,0.0,0.0,0.00532,0.00528,-0.00211,0.01108
B_rrs_709,0.00187,0.01156,-0.00117,0.00661,0.0,0.0,-0.00043,0.00241,-4e-05,0.01233
B_Red_NIR_Ratio,0.00833,0.0129,-0.00266,0.00673,0.0,0.0,-0.01276,0.00818,0.00355,0.0152
B_NDWI,0.00568,0.01263,-0.00572,0.00537,0.0,0.0,0.00419,0.00585,-0.01121,0.00753
