feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.16374,0.04118,0.07604,0.02759,0.0,0.0,0.24971,0.04517,0.22789,0.06191
doy_cos,0.1341,0.0309,0.06495,0.02069,0.0,0.0,0.25524,0.04524,0.25805,0.07187
C_rrs_560,0.0318,0.0262,0.0449,0.02649,0.0,0.0,0.09304,0.03127,0.12474,0.05756
C_rrs_490,0.03739,0.02325,0.03395,0.01429,0.0,0.0,0.15508,0.03156,0.02867,0.02767
C_rrs_412,0.02387,0.0262,0.03214,0.01599,0.0,0.0,0.10393,0.02485,0.04852,0.03945
C_BlueGreen_Ratio,-0.00612,0.0153,0.05124,0.01922,0.0,0.0,0.13583,0.02498,-0.02396,0.0431
C_rrs_665,0.04423,0.02362,0.03149,0.02061,0.0,0.0,0.02569,0.01952,0.04397,0.01493
C_BLH,0.03527,0.02237,0.10724,0.02408,0.0,0.0,0.05249,0.03154,-0.054,0.04747
C_Blue_Red_Ratio,0.0407,0.01977,0.03764,0.01897,0.0,0.0,0.02738,0.01746,0.0336,0.02375
C_FLHmax,0.01823,0.02402,0.01733,0.01232,0.0,0.0,0.05889,0.02828,0.04423,0.00464
C_NDWI,0.03136,0.01496,0.02893,0.01649,0.0,0.0,0.02403,0.00716,0.039,0.02824
C_rrs_682,0.04258,0.02091,0.0302,0.01723,0.0,0.0,0.02353,0.0194,0.02491,0.02573
C_Red_NIR_Ratio,0.00671,0.02307,0.01834,0.0126,0.0,0.0,0.038,0.01323,0.05457,0.03604
C_NDNI,0.01587,0.01682,0.03196,0.01573,0.0,0.0,0.01433,0.01073,0.03827,0.01262
C_Fluorescence_Peak,0.03387,0.02189,0.00109,0.01657,0.0,0.0,0.02167,0.01352,0.04154,0.01628
C_Green_Red_Ratio,0.00052,0.01252,0.02156,0.01073,0.0,0.0,0.03071,0.01406,0.04006,0.0175
C_rrs_673,0.01415,0.01935,0.01622,0.01271,0.0,0.0,0.01706,0.01402,0.03833,0.00668
C_KBBI,0.02162,0.02483,0.01005,0.01128,0.0,0.0,0.01628,0.01941,0.0345,0.02184
C_MCI,-0.00282,0.01867,0.01213,0.01434,0.0,0.0,0.0259,0.01468,0.04148,0.01785
C_rrs_709,0.00079,0.01225,0.00814,0.01405,0.0,0.0,0.02399,0.01388,0.04363,0.011
C_CI,-0.01436,0.01036,0.01768,0.02289,0.0,0.0,0.03177,0.01093,0.03413,0.01923
C_RBD,0.00164,0.02149,0.04253,0.01672,0.0,0.0,-0.00963,0.00851,0.0335,0.06562
C_NDCI,0.00099,0.01986,0.00828,0.01565,0.0,0.0,0.01509,0.01264,0.03946,0.01983
C_rrs_754,-0.00361,0.01177,0.02162,0.01674,0.0,0.0,0.01465,0.01329,0.02658,0.02335
C_FLH_665,-0.01291,0.01545,0.0002,0.00899,0.0,0.0,0.02229,0.01803,0.04647,0.01103
C_FLH_681,0.00088,0.01743,0.02699,0.01228,0.0,0.0,0.00802,0.00983,0.0181,0.02894
C_GLH,-0.01052,0.0145,0.04046,0.01912,0.0,0.0,0.04072,0.01492,-0.02214,0.04599
C_DINI,0.0072,0.02293,0.00811,0.01732,0.0,0.0,0.02877,0.0201,0.00314,0.04777
C_rrs_865,0.0026,0.01748,0.03085,0.01933,0.0,0.0,0.01537,0.01315,-0.00428,0.00524
C_RedEdge_Ratio,-0.00464,0.01571,0.01881,0.02119,0.0,0.0,-0.01371,0.00824,0.04164,0.02429
C_EBI,-0.0008,0.00204,0.00081,0.00309,0.0,0.0,0.00073,0.00317,0.00348,0.02455
C_GBI,0.00259,0.01791,0.00462,0.01204,0.0,0.0,0.00747,0.00632,-0.0214,0.03098
