feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.23174,0.03652,0.05929,0.01428,0.0152,0.02187,0.2832,0.02408,0.12139,0.02741
doy_cos,0.18966,0.03818,-0.01047,0.01206,0.02985,0.01045,0.21015,0.0174,0.09463,0.02219
C_rrs_665,0.04303,0.01537,0.0014,0.00512,0.02797,0.01277,0.01015,0.0066,0.03105,0.01246
C_rrs_560,0.04676,0.02684,-0.01332,0.00701,0.02255,0.01648,0.0219,0.01754,0.02801,0.01353
C_rrs_490,0.01973,0.0216,-0.01452,0.00526,0.03155,0.00778,0.01626,0.01023,0.04994,0.01335
C_rrs_673,0.0332,0.0132,-0.01035,0.00425,0.03158,0.00765,0.00066,0.00819,0.03269,0.01067
C_Blue_Red_Ratio,0.02666,0.01867,-0.01663,0.00571,0.03161,0.00752,0.01056,0.00668,0.02966,0.01101
C_rrs_412,0.03192,0.01277,-0.01745,0.01098,0.00208,0.02653,0.02556,0.00648,0.03578,0.01526
C_BlueGreen_Ratio,0.01045,0.01339,-0.01086,0.01013,0.03164,0.00739,0.01626,0.00844,0.0287,0.01518
C_FLH_681,0.01557,0.009,-0.01211,0.00558,0.02985,0.01044,0.01785,0.00918,0.02045,0.01135
C_KBBI,0.0406,0.02045,-0.02464,0.00984,0.00403,0.01233,0.01492,0.00692,0.03181,0.01031
C_rrs_682,0.01336,0.01924,-0.008,0.0042,0.02976,0.01074,-0.00219,0.01188,0.0333,0.01068
C_MCI,0.02274,0.01566,-0.023,0.0087,0.01905,0.0175,0.02079,0.00834,0.02154,0.01416
C_CI,0.0194,0.01662,-0.02286,0.00669,0.02807,0.01253,0.0054,0.01063,0.0306,0.01226
C_BLH,0.01896,0.0119,-0.00999,0.00733,0.00084,0.00085,0.03554,0.01189,0.01401,0.01314
C_DINI,0.01601,0.01598,-0.01672,0.0066,0.02819,0.01224,0.0054,0.00847,0.02324,0.014
C_Green_Red_Ratio,-0.00442,0.00498,-0.01993,0.00932,0.03333,0.0,0.00657,0.00835,0.038,0.0118
C_RBD,0.0137,0.02277,-0.01922,0.00892,0.01243,0.01707,0.01058,0.00982,0.03327,0.01123
C_FLH_665,0.01635,0.01268,-0.01575,0.00564,0.00353,0.01661,0.01213,0.00499,0.03305,0.01413
C_Red_NIR_Ratio,0.00842,0.01322,-0.03882,0.00843,0.03158,0.00765,0.01486,0.00687,0.03255,0.0115
C_rrs_709,0.00545,0.01478,-0.01528,0.00351,0.02976,0.01072,0.00146,0.00794,0.02546,0.0109
C_rrs_865,0.01576,0.01519,-0.02109,0.00542,0.02474,0.01489,-0.00031,0.01156,0.02746,0.00937
C_NDNI,-0.00476,0.01155,-0.02599,0.0038,0.03333,0.0,0.01157,0.00941,0.02713,0.00871
C_NDCI,-0.00093,0.00878,-0.03016,0.00751,0.01358,0.01613,0.02007,0.00766,0.03614,0.01105
C_GLH,0.00385,0.01522,-0.02336,0.00981,0.01959,0.01683,0.00825,0.00774,0.02987,0.01362
C_Fluorescence_Peak,0.00349,0.01203,-0.0193,0.00786,0.02144,0.01621,0.00763,0.00682,0.02253,0.00861
C_FLHmax,0.00616,0.01689,-0.01658,0.00471,0.02144,0.01621,8e-05,0.00617,0.02446,0.0102
C_rrs_754,-0.00078,0.01744,-0.01468,0.00446,0.02271,0.01624,0.00544,0.00681,0.01682,0.00961
C_RedEdge_Ratio,-0.00487,0.0078,-0.02557,0.00824,0.02822,0.01217,0.00324,0.00805,0.02639,0.0095
C_GBI,-0.00284,0.01182,-0.01456,0.00737,0.01082,0.01652,-0.0084,0.01087,0.03774,0.0126
C_EBI,0.00343,0.00345,-0.00509,0.00138,0.00836,0.01442,0.00184,0.00281,-0.00175,0.00233
C_NDWI,-0.02059,0.02017,-0.01727,0.00647,0.01272,0.01684,0.00869,0.0071,0.02227,0.01094
