feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.10732,0.02933,0.07174,0.03169,0.0,0.0,0.2843,0.04675,0.21568,0.05936
roms_salt_sur,0.06884,0.02313,0.04836,0.03178,0.0,0.0,0.32023,0.0326,0.1688,0.06573
roms_temp_sur,0.07792,0.02969,0.00896,0.02035,0.0,0.0,0.16212,0.03401,0.28085,0.0766
doy_cos,0.14304,0.03962,0.04692,0.02505,0.0,0.0,0.10184,0.01751,0.12477,0.08008
roms_zeta,0.13301,0.04098,0.05753,0.02673,0.0,0.0,0.03619,0.01656,0.17604,0.05802
C_rrs_560,0.05976,0.03375,0.00409,0.01846,0.0,0.0,0.0245,0.01628,0.07147,0.04753
roms_v_sur,0.02456,0.01909,0.07643,0.02911,0.0,0.0,-0.00055,0.00801,0.015,0.02044
roms_current_dir,0.03132,0.01578,0.04771,0.02815,0.0,0.0,0.01687,0.01018,0.00647,0.02049
roms_Pair,0.02189,0.02551,0.03745,0.01731,0.0,0.0,0.03519,0.0193,0.00357,0.01346
C_rrs_490,0.02156,0.0181,0.02118,0.01761,0.0,0.0,0.05403,0.01725,-0.00214,0.01061
roms_wind_speed,0.02811,0.01076,0.03306,0.02365,0.0,0.0,0.03101,0.01219,0.00147,0.01279
roms_Vwind,0.02541,0.01394,0.04251,0.01729,0.0,0.0,0.0103,0.00696,0.01298,0.02425
C_NDWI,0.04332,0.02021,0.0213,0.02036,0.0,0.0,0.02133,0.00534,0.0,0.0
C_rrs_673,0.04121,0.01615,0.02485,0.03388,0.0,0.0,0.01088,0.00363,0.0,0.0
C_rrs_709,0.0369,0.01569,0.04172,0.01638,0.0,0.0,-0.00178,0.00423,0.0,0.0
C_Green_Red_Ratio,0.03086,0.01419,0.02744,0.02909,0.0,0.0,0.01459,0.0083,0.0,0.0
C_rrs_682,0.03775,0.00879,0.01633,0.0144,0.0,0.0,0.01517,0.00534,0.0,0.0
C_RBD,0.03021,0.02007,0.01455,0.01556,0.0,0.0,0.00846,0.00554,0.01071,0.01856
roms_wind_dir,0.00584,0.01317,0.01026,0.0122,0.0,0.0,0.03323,0.0081,0.01173,0.02306
C_Red_NIR_Ratio,0.03213,0.01953,0.00663,0.01903,0.0,0.0,0.01396,0.007,0.00429,0.01286
C_GLH,0.0109,0.01222,0.02812,0.01263,0.0,0.0,0.01704,0.00812,0.0,0.0
C_rrs_665,0.03953,0.01841,0.01409,0.01775,0.0,0.0,-0.00059,0.00258,0.0,0.0
C_CI,0.02601,0.01673,0.01747,0.01944,0.0,0.0,0.00852,0.01019,0.0,0.0
roms_Uwind,0.03125,0.01529,0.01361,0.02115,0.0,0.0,0.0055,0.01044,0.00071,0.01057
C_RedEdge_Ratio,0.00785,0.01772,0.02934,0.01348,0.0,0.0,0.01209,0.0,0.0,0.0
C_BlueGreen_Ratio,0.01892,0.01673,0.00454,0.01884,0.0,0.0,0.01891,0.00991,0.00571,0.01591
roms_current_speed,0.02184,0.01418,0.02111,0.02098,0.0,0.0,0.00424,0.00689,0.0,0.0
C_FLHmax,0.02809,0.01743,0.01175,0.01364,0.0,0.0,0.00544,0.00601,0.0,0.0
C_MCI,0.02975,0.01991,0.00342,0.01133,0.0,0.0,0.01209,0.0,0.0,0.0
C_GBI,0.01677,0.01428,0.033,0.0186,0.0,0.0,-0.00771,0.00566,0.0,0.0
C_rrs_754,0.02899,0.01567,0.01159,0.01548,0.0,0.0,0.00066,0.00886,0.0,0.0
roms_u_sur,0.00353,0.01628,0.02535,0.01776,0.0,0.0,0.01217,0.01017,0.0,0.0
C_rrs_865,0.01282,0.01313,-0.00112,0.00939,0.0,0.0,0.01459,0.0083,0.0,0.0
C_Blue_Red_Ratio,0.01702,0.02234,0.00682,0.018,0.0,0.0,0.00121,0.00363,0.0,0.0
C_rrs_412,-0.00843,0.01552,0.02088,0.01631,0.0,0.0,0.00778,0.00962,0.00214,0.00934
C_FLH_681,0.01666,0.01754,0.00964,0.01388,0.0,0.0,-0.00949,0.00474,0.0,0.0
C_NDNI,0.01795,0.01547,0.01933,0.01689,0.0,0.0,-0.02117,0.00466,0.0,0.0
C_KBBI,0.01536,0.02226,-0.00274,0.01709,0.0,0.0,6e-05,0.00852,0.00286,0.014
C_Fluorescence_Peak,0.00852,0.00946,-0.00568,0.02183,0.0,0.0,0.00967,0.00484,0.0,0.0
C_NDCI,-0.00035,0.01447,-0.00395,0.0157,0.0,0.0,0.01582,0.00879,0.0,0.0
C_FLH_665,0.0126,0.01678,0.0185,0.01521,0.0,0.0,0.01831,0.01069,-0.04054,0.0
C_BLH,-0.00285,0.01232,0.0036,0.02379,0.0,0.0,0.0061,0.01049,0.0,0.0
C_EBI,-0.00089,0.00179,0.0046,0.0071,0.0,0.0,-0.00712,0.00581,0.0,0.0
C_DINI,-0.00094,0.01221,0.00546,0.01824,0.0,0.0,0.02529,0.01343,-0.06685,0.0399
