feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.13958,0.04052,0.08403,0.0167,0.03813,0.02812,0.16135,0.01907,0.13344,0.02926
roms_salt_sur,-0.0069,0.02622,0.02911,0.01594,0.04888,0.03013,0.18112,0.02128,0.0254,0.01132
roms_temp_sur,0.05653,0.03167,0.00707,0.01021,0.0565,0.02215,0.09593,0.01805,0.05315,0.01622
doy_cos,0.06186,0.02868,0.00077,0.00657,0.025,0.01922,0.0634,0.01171,0.10274,0.01904
roms_zeta,0.0804,0.02479,0.01643,0.00888,-0.01679,0.03771,0.03306,0.00954,0.09701,0.02631
roms_Pair,0.02804,0.01697,0.00314,0.00719,0.01658,0.02212,0.0252,0.0107,0.03805,0.00933
C_rrs_560,-0.00546,0.01552,0.00843,0.01056,0.05957,0.02105,0.01361,0.00615,0.02774,0.01107
roms_current_dir,0.01989,0.01716,0.01273,0.00875,0.03744,0.04018,0.00406,0.00456,0.01857,0.00757
C_rrs_490,0.01645,0.01362,-0.00171,0.00566,0.02743,0.02738,0.02645,0.00824,0.01786,0.01086
C_rrs_865,-0.00748,0.01081,0.00183,0.0044,0.04511,0.0251,0.00454,0.00347,0.01321,0.00776
C_BlueGreen_Ratio,0.02039,0.01041,-0.00273,0.00777,0.01441,0.03209,0.00071,0.00586,0.02052,0.01014
C_DINI,0.01697,0.01287,-0.00272,0.00566,0.02718,0.01463,0.00166,0.00304,0.00892,0.00973
C_Fluorescence_Peak,0.00939,0.00557,-0.00163,0.00505,0.02381,0.02531,0.01001,0.00424,0.01039,0.00576
roms_wind_speed,0.00504,0.0093,-0.00232,0.00792,0.0036,0.01529,0.01598,0.00565,0.02945,0.00675
roms_Vwind,-0.00875,0.01516,0.01014,0.01019,0.02542,0.02289,4e-05,0.00542,0.02188,0.01016
roms_v_sur,-0.03356,0.02072,0.00688,0.00725,0.04044,0.02745,0.00413,0.00473,0.02475,0.01206
C_BLH,0.00828,0.01522,-0.00577,0.00648,0.00503,0.01453,0.00538,0.00621,0.02599,0.00793
C_CI,-4e-05,0.01516,0.00011,0.00632,0.02202,0.02093,0.0045,0.00385,0.01219,0.00863
roms_Uwind,0.01368,0.01949,-0.00227,0.00468,-0.02133,0.01101,0.03307,0.00738,0.01549,0.00728
C_GLH,-0.00232,0.01059,-0.008,0.007,0.0288,0.01927,0.00722,0.00515,0.01116,0.01404
C_rrs_682,0.01102,0.0114,-0.0094,0.00548,0.0229,0.02584,0.00269,0.00411,0.00817,0.00802
C_FLH_665,-0.01748,0.00935,0.00574,0.00432,0.02376,0.02654,0.00442,0.00321,0.01861,0.00754
C_NDNI,-0.01061,0.00947,-0.01307,0.00557,0.03967,0.02922,0.00123,0.0058,0.01707,0.00897
C_Blue_Red_Ratio,-0.0049,0.00884,-0.00687,0.00601,0.02057,0.02105,0.00886,0.00683,0.0158,0.00621
roms_wind_dir,-0.00043,0.01025,0.01225,0.00793,-0.00117,0.00117,0.00046,0.00762,0.01918,0.01222
C_FLH_681,-0.00646,0.01233,0.00108,0.00672,0.01708,0.02594,0.00318,0.00364,0.01322,0.0084
C_rrs_665,0.00053,0.0149,-0.00766,0.00501,0.01549,0.02115,0.00548,0.00404,0.01135,0.00894
C_NDCI,-0.0182,0.00811,-0.00542,0.00349,0.02085,0.02178,-0.0022,0.00423,0.02874,0.00917
C_rrs_412,-0.01547,0.01224,-0.00358,0.0043,0.02118,0.02489,0.00412,0.00544,0.01232,0.00791
C_MCI,-0.0011,0.01118,-0.00473,0.00583,-0.0005,0.01022,0.00148,0.00461,0.02213,0.00813
C_rrs_673,-0.01978,0.01133,-0.00645,0.00327,0.02347,0.02491,0.00498,0.00596,0.01489,0.0094
C_RBD,-0.00398,0.01718,-0.00578,0.00555,0.01002,0.01825,0.00026,0.00561,0.01262,0.01157
C_Red_NIR_Ratio,0.00121,0.01486,-0.00288,0.00452,-0.0027,0.02391,0.00476,0.0045,0.0106,0.00796
roms_u_sur,-0.04326,0.01859,0.00686,0.00549,0.0351,0.02695,-0.00392,0.00532,0.01522,0.00603
C_FLHmax,-0.00602,0.0098,0.00748,0.00615,-0.01229,0.01212,-0.00242,0.00258,0.01933,0.00972
C_KBBI,-0.00476,0.01795,-0.00458,0.00542,0.00269,0.01649,0.00485,0.00399,0.00525,0.00904
C_rrs_754,-0.01046,0.01013,-0.00414,0.0035,-0.00135,0.0056,0.0068,0.00591,0.01258,0.00874
C_rrs_709,-0.02636,0.01745,-0.00115,0.00521,0.02129,0.02835,0.00294,0.00515,0.00602,0.00627
C_EBI,-0.00065,0.00284,-0.00357,0.00182,-0.00021,0.00049,0.00418,0.0019,0.00292,0.00491
C_NDWI,-0.03067,0.01707,0.003,0.00541,0.01091,0.02111,0.0063,0.00478,0.01299,0.00849
roms_current_speed,-0.03596,0.01064,-0.00084,0.01116,0.01055,0.01942,0.00923,0.00668,0.01954,0.01261
C_GBI,-0.02908,0.00924,-0.00991,0.00798,0.01606,0.03368,0.00491,0.00529,0.01465,0.00826
C_Green_Red_Ratio,-0.01136,0.01212,-0.00857,0.00838,0.01086,0.01739,-0.00294,0.00295,0.00654,0.00861
C_RedEdge_Ratio,-0.02372,0.01005,-0.00446,0.0066,-0.016,0.01195,0.00551,0.00372,0.01158,0.00543
