blocking,ac,track,tier,species,fold,n_positive,f1,prauc
clustering,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,0,58,0.60674,0.66377
clustering,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,1,637,0.02421,0.4253
clustering,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,2,56,0.47191,0.51031
clustering,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,3,57,0.52273,0.51528
clustering,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,4,85,0.32704,0.35496
clustering,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,5,153,0.21577,0.25023
clustering,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,6,65,0.48,0.56447
clustering,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,7,67,0.51376,0.59627
clustering,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,8,66,0.73684,0.76551
clustering,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,9,66,0.45045,0.44414
clustering,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,0,58,0.7551,0.83176
clustering,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,1,637,0.01866,0.46868
clustering,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,2,56,0.50575,0.66925
clustering,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,3,57,0.72549,0.8029
clustering,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,4,85,0.46032,0.44718
clustering,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,5,153,0.21081,0.20608
clustering,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,6,65,0.52,0.63638
clustering,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,7,67,0.60377,0.62435
clustering,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,8,66,0.72072,0.77625
clustering,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,9,66,0.4717,0.5513
clustering,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,0,29,0.02597,0.03176
clustering,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,1,836,0.66476,0.63275
clustering,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,2,23,0.45614,0.26689
clustering,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,3,32,0.22222,0.12519
clustering,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,4,444,0.692,0.63738
clustering,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,5,501,0.83279,0.93109
clustering,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,6,57,0.22059,0.20658
clustering,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,7,57,0.16667,0.23872
clustering,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,8,58,0.34146,0.44593
clustering,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,9,58,0.33684,0.34024
clustering,ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,0,29,0.21053,0.10445
clustering,ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,1,836,0.39623,0.68639
clustering,ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,2,23,0.45,0.34773
clustering,ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,3,32,0.2449,0.21189
clustering,ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,4,444,0.63248,0.69666
clustering,ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,5,501,0.60719,0.90511
