blocking,ac,track,tier,n_samples,n_features,n_folds_used,n_spatial_groups,block_diag_median_m,avg_zero_pos_species_per_fold,avg_train_excluded_species_per_fold,cv_f1_macro_mean,cv_f1_macro_median,cv_f1_macro_std,cv_prauc_macro_mean,cv_prauc_macro_median,cv_prauc_macro_std,cv_hamming_mean,cv_hamming_std,cv_subset_acc_mean,cv_subset_acc_std,cv_jaccard_mean,cv_jaccard_std,random_f1_macro_mean,random_f1_macro_std,leakage_ratio,leakage_gate_pass
clustering,ACOLITE,ACOLITE_only,closure,9283,31,10,363,20928.04136,0.0,0.0,0.32808,0.33901,0.07535,0.40319,0.41074,0.0619,0.08325,0.05359,0.65055,0.19205,0.22663,0.0579,0.6859,0.01721,0.47832,False
clustering,ACOLITE,ACOLITE_roms,closure,9283,43,10,363,20928.04136,0.0,0.0,0.37432,0.41521,0.11449,0.46904,0.45599,0.05911,0.08093,0.06374,0.67806,0.207,0.26703,0.08679,0.68603,0.02639,0.54564,False
clustering,Baseline,Baseline_only,closure,9283,32,10,363,20928.04136,0.0,0.0,0.28295,0.29069,0.06755,0.37319,0.37803,0.07829,0.08461,0.05432,0.65354,0.18371,0.19003,0.05652,0.66902,0.02678,0.42293,False
clustering,Baseline,Baseline_roms,closure,9283,44,10,363,20928.04136,0.0,0.0,0.31506,0.32932,0.10197,0.43807,0.4391,0.05817,0.09034,0.05827,0.63326,0.18151,0.21557,0.07826,0.67207,0.03888,0.4688,False
clustering,C2RCC,C2RCC_only,closure,9283,32,10,363,20928.04136,0.0,0.0,0.24853,0.27565,0.0712,0.33743,0.33928,0.04331,0.10337,0.05159,0.576,0.18958,0.16578,0.04898,0.61608,0.02639,0.40341,False
clustering,C2RCC,C2RCC_roms,closure,9283,44,10,363,20928.04136,0.0,0.0,0.30402,0.31319,0.10724,0.42326,0.4274,0.06443,0.09562,0.06021,0.60872,0.19289,0.21007,0.07794,0.63606,0.03527,0.47798,False
clustering,ACOLITE,ACOLITE_only,warning,9283,31,10,363,20928.04136,0.0,0.0,0.40547,0.41489,0.07159,0.49679,0.51238,0.06059,0.18996,0.07513,0.37438,0.15932,0.28739,0.06159,0.73786,0.01452,0.54953,False
clustering,ACOLITE,ACOLITE_roms,warning,9283,43,10,363,20928.04136,0.0,0.0,0.43403,0.45583,0.08708,0.54923,0.55367,0.0444,0.18532,0.07976,0.38141,0.15105,0.31396,0.07277,0.75145,0.01644,0.57759,False
clustering,Baseline,Baseline_only,warning,9283,32,10,363,20928.04136,0.0,0.0,0.3741,0.37192,0.06544,0.47594,0.48708,0.05772,0.19388,0.07728,0.36268,0.12997,0.25811,0.05914,0.72058,0.01792,0.51916,False
clustering,Baseline,Baseline_roms,warning,9283,44,10,363,20928.04136,0.0,0.0,0.41323,0.43404,0.07675,0.53986,0.55774,0.03776,0.18906,0.07971,0.36605,0.12528,0.29563,0.06456,0.74316,0.01414,0.55605,False
clustering,C2RCC,C2RCC_only,warning,9283,32,10,363,20928.04136,0.0,0.0,0.36593,0.37097,0.08614,0.43934,0.45486,0.08908,0.22619,0.06772,0.29444,0.11275,0.24949,0.06712,0.67736,0.01805,0.54023,False
clustering,C2RCC,C2RCC_roms,warning,9283,44,10,363,20928.04136,0.0,0.0,0.41616,0.44586,0.09791,0.53115,0.53668,0.04768,0.19659,0.08041,0.34302,0.13244,0.29444,0.08065,0.71845,0.01741,0.57925,False
grid,ACOLITE,ACOLITE_only,closure,9188,31,10,399,10000.0,0.0,0.0,0.3528,0.34816,0.063,0.42738,0.42963,0.04547,0.08315,0.05055,0.64971,0.16229,0.24713,0.05066,0.6854,0.02285,0.51474,False
grid,ACOLITE,ACOLITE_roms,closure,9188,43,10,399,10000.0,0.0,0.0,0.40515,0.40461,0.08077,0.48021,0.49302,0.05653,0.08575,0.05985,0.65544,0.16924,0.29224,0.06274,0.68251,0.03136,0.59361,False
grid,Baseline,Baseline_only,closure,9188,32,10,399,10000.0,0.0,0.0,0.30076,0.29108,0.07302,0.40293,0.40531,0.05581,0.08501,0.05158,0.64913,0.15142,0.20249,0.05792,0.6738,0.02573,0.44636,False
grid,Baseline,Baseline_roms,closure,9188,44,10,399,10000.0,0.0,0.0,0.37038,0.38227,0.07484,0.46779,0.48846,0.06051,0.08837,0.06109,0.64687,0.18186,0.25983,0.05581,0.67759,0.01601,0.54661,False
grid,C2RCC,C2RCC_only,closure,9188,32,10,399,10000.0,0.0,0.0,0.28897,0.29584,0.05133,0.37394,0.3792,0.05243,0.10081,0.04904,0.58264,0.15553,0.18952,0.03635,0.61861,0.02904,0.46714,False
grid,C2RCC,C2RCC_roms,closure,9188,44,10,399,10000.0,0.0,0.0,0.38251,0.40038,0.0798,0.46221,0.4741,0.05928,0.08895,0.06248,0.64212,0.18184,0.27054,0.06009,0.64471,0.0205,0.5933,False
grid,ACOLITE,ACOLITE_only,warning,9188,31,10,399,10000.0,0.0,0.0,0.43631,0.4577,0.07804,0.52355,0.53852,0.07724,0.17884,0.07403,0.41612,0.13022,0.31532,0.07117,0.74168,0.01994,0.58827,False
grid,ACOLITE,ACOLITE_roms,warning,9188,43,10,399,10000.0,0.0,0.0,0.4652,0.49769,0.09005,0.56695,0.57422,0.05988,0.17297,0.08552,0.43852,0.15978,0.34448,0.07943,0.7521,0.01848,0.61853,False
grid,Baseline,Baseline_only,warning,9188,32,10,399,10000.0,0.0,0.0,0.40286,0.40272,0.0614,0.49349,0.49583,0.07186,0.17854,0.08555,0.42983,0.14618,0.28731,0.05911,0.72529,0.01341,0.55544,False
grid,Baseline,Baseline_roms,warning,9188,44,10,399,10000.0,0.0,0.0,0.44737,0.45571,0.07923,0.55894,0.56303,0.05277,0.1722,0.0891,0.4391,0.15023,0.3277,0.07303,0.7434,0.017,0.60179,False
grid,C2RCC,C2RCC_only,warning,9188,32,10,399,10000.0,0.0,0.0,0.39039,0.40211,0.09733,0.47147,0.49636,0.08859,0.20523,0.0731,0.36723,0.12242,0.27342,0.08151,0.68306,0.00864,0.57154,False
grid,C2RCC,C2RCC_roms,warning,9188,44,10,399,10000.0,0.0,0.0,0.45012,0.48641,0.09506,0.55109,0.56915,0.06836,0.17799,0.08541,0.41846,0.13563,0.32651,0.08447,0.71917,0.01134,0.62588,False
quadtree_adaptive,ACOLITE,ACOLITE_only,closure,9249,31,10,401,16982.48881,0.0,0.0,0.34584,0.36823,0.07805,0.425,0.4316,0.04116,0.08122,0.05353,0.66047,0.19049,0.24173,0.06677,0.68138,0.03213,0.50756,False
