feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.2328,0.05429,0.09043,0.03678,0.0,0.0,0.39401,0.05411,0.05257,0.03463
doy_sin,0.14004,0.02803,0.12253,0.04206,0.0,0.0,0.23788,0.05319,0.09085,0.04435
A_BlueGreen_Ratio,0.02001,0.03224,0.05032,0.03113,0.0,0.0,0.18299,0.06077,0.08239,0.03116
A_GLH,0.01838,0.02712,0.02061,0.02647,0.0,0.0,0.07762,0.04377,0.09536,0.02074
A_MCI,0.01808,0.02174,0.02118,0.01154,0.0,0.0,0.08311,0.02389,0.05686,0.05856
A_BLH,-0.00542,0.02814,0.01601,0.01418,0.0,0.0,0.03988,0.02348,0.04063,0.04584
A_rrs_412,0.0283,0.0197,0.01065,0.01144,0.0,0.0,-0.00643,0.00955,0.03399,0.03404
A_GBI,0.00065,0.01523,0.04484,0.0145,0.0,0.0,0.01703,0.01338,-0.00441,0.00448
A_FLH_665,0.00381,0.01759,0.00417,0.01164,0.0,0.0,0.07104,0.03266,-0.02198,0.03379
A_FLH_681,0.00856,0.01459,0.04664,0.01718,0.0,0.0,0.01309,0.01265,-0.01249,0.00496
A_Red_NIR_Ratio,0.00047,0.01688,0.01787,0.00979,0.0,0.0,0.00929,0.01833,0.01917,0.03469
A_rrs_665,0.01514,0.01612,-0.00037,0.00567,0.0,0.0,0.01702,0.01039,0.00768,0.02928
A_NDCI,0.03032,0.0259,-0.00364,0.01075,0.0,0.0,0.03548,0.02181,-0.02551,0.0053
A_RedEdge_Ratio,0.01583,0.02509,0.02598,0.01883,0.0,0.0,0.0184,0.01373,-0.02377,0.01259
A_rrs_560,-0.00497,0.02067,-0.0035,0.02474,0.0,0.0,0.00241,0.01369,0.03683,0.04711
A_DINI,0.00838,0.01935,0.01626,0.02028,0.0,0.0,0.0029,0.0106,0.00224,0.02362
A_RBD,-0.00041,0.01817,0.02335,0.01539,0.0,0.0,0.01882,0.01573,-0.01366,0.00652
A_rrs_754,0.00013,0.01201,0.01405,0.01787,0.0,0.0,0.00986,0.01008,-0.00508,0.00427
A_FLHmax,0.00861,0.01227,0.00894,0.01142,0.0,0.0,0.00833,0.01241,-0.01254,0.00588
A_rrs_865,0.02756,0.01759,0.00049,0.0077,0.0,0.0,0.00312,0.01526,-0.02122,0.00668
A_Green_Red_Ratio,0.01349,0.01602,0.00842,0.02037,0.0,0.0,0.01257,0.01116,-0.02669,0.00455
A_rrs_490,0.00276,0.01916,-0.00368,0.00255,0.0,0.0,-0.00627,0.00775,0.01163,0.03486
A_NDNI,0.0126,0.01858,0.01009,0.01137,0.0,0.0,0.00714,0.01583,-0.02788,0.00323
A_rrs_709,0.01562,0.02423,0.00525,0.00871,0.0,0.0,0.00247,0.00804,-0.02354,0.00602
A_NDWI,0.01976,0.02383,-0.0083,0.00796,0.0,0.0,0.019,0.03051,-0.03076,0.02521
A_KBBI,0.00621,0.01885,0.01417,0.01154,0.0,0.0,0.0069,0.01353,-0.0315,0.03627
A_CI,0.01368,0.01667,0.00544,0.02268,0.0,0.0,0.00146,0.01109,-0.02707,0.0037
A_Blue_Red_Ratio,-0.00494,0.01332,-0.00227,0.00353,0.0,0.0,0.00713,0.01,-0.02538,0.0127
A_EBI,0.00036,0.01455,0.0031,0.00773,0.0,0.0,0.00631,0.00674,-0.04725,0.01777
A_rrs_682,-0.01416,0.01468,0.02193,0.01804,0.0,0.0,0.00335,0.00765,-0.05362,0.01805
A_Fluorescence_Peak,0.00107,0.01765,0.00844,0.01621,0.0,0.0,-0.01453,0.00883,-0.05315,0.0174
