feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.03889,0.02366,0.07822,0.01732,0.03925,0.0193,0.16946,0.02613,0.06208,0.01674
roms_salt_sur,0.00387,0.01595,0.01858,0.01022,-0.0033,0.02558,0.16107,0.02094,0.03016,0.0091
doy_cos,0.06117,0.02671,0.01673,0.00815,0.00818,0.01333,0.05573,0.00761,0.02357,0.01447
roms_temp_sur,0.00084,0.02227,0.02018,0.00987,0.03299,0.02036,0.04257,0.00878,0.04104,0.01798
roms_zeta,0.0534,0.03012,0.00392,0.00799,0.02109,0.02793,0.02325,0.0091,0.0201,0.01241
roms_current_dir,-0.00177,0.01304,0.00259,0.00611,0.03701,0.02997,0.0213,0.00499,0.01948,0.01192
roms_Pair,0.02579,0.01407,0.00115,0.00618,0.00083,0.00142,0.03024,0.00798,0.02008,0.00795
A_BlueGreen_Ratio,-0.02115,0.01958,0.03143,0.01289,0.0196,0.01483,0.02507,0.0092,0.0221,0.01115
roms_Uwind,0.01371,0.013,0.01016,0.00615,-0.00025,0.00102,0.02763,0.0079,0.02203,0.00847
A_GLH,-0.02144,0.01709,0.02548,0.01104,0.02341,0.01299,0.01083,0.0067,0.03127,0.00819
A_Blue_Red_Ratio,0.03138,0.00795,-0.0023,0.00455,-0.00089,0.00162,0.02039,0.01018,0.00845,0.00854
roms_u_sur,0.013,0.01444,-0.00324,0.00337,0.00443,0.00179,0.01752,0.0073,0.02029,0.00706
A_rrs_490,0.01744,0.01296,0.00103,0.00453,0.00112,0.00185,0.01725,0.00476,0.01429,0.0055
roms_current_speed,0.01769,0.00882,0.00017,0.00645,0.00711,0.00716,0.01451,0.00621,0.00968,0.00649
A_DINI,0.00499,0.01287,0.00511,0.00819,0.00059,0.00165,0.01465,0.00964,0.01351,0.00866
A_rrs_412,0.00084,0.00869,0.01091,0.00575,0.00052,0.0015,0.01189,0.00947,0.01386,0.00683
roms_wind_speed,-0.00699,0.00953,0.00815,0.00798,0.00247,0.00911,0.02054,0.00614,0.01323,0.00724
roms_Vwind,-0.00233,0.00798,0.00119,0.00909,0.00175,0.00128,0.02362,0.00854,0.01252,0.00599
A_NDNI,-0.00187,0.01027,0.0035,0.00452,2e-05,0.0023,0.02185,0.0088,0.01151,0.00715
A_RBD,0.00358,0.00674,0.00143,0.00472,6e-05,0.00125,0.01688,0.00697,0.01181,0.00577
A_Green_Red_Ratio,-4e-05,0.0185,0.00869,0.00599,0.00093,0.01069,0.01735,0.00456,0.00617,0.0063
A_CI,-0.02582,0.01522,0.00827,0.00581,0.02094,0.01383,0.02678,0.00711,0.00288,0.00708
A_MCI,-0.00114,0.01758,0.00067,0.00563,-0.00018,0.00156,0.02093,0.00807,0.01236,0.00592
A_rrs_754,-0.00648,0.01035,0.00209,0.00371,-0.00073,0.00137,0.01954,0.00555,0.01769,0.00596
A_RedEdge_Ratio,0.00342,0.01007,0.00058,0.00552,0.00075,0.00151,0.009,0.0062,0.01661,0.00696
A_Fluorescence_Peak,0.01128,0.00972,0.00013,0.00383,0.00076,0.00124,0.00495,0.00617,0.0127,0.00793
A_FLH_681,-0.00404,0.01108,0.00113,0.00368,-0.00049,0.00134,0.01934,0.00567,0.0135,0.00818
A_rrs_865,0.0053,0.01294,0.00501,0.00399,-0.00103,0.0009,0.0146,0.00607,0.00496,0.00472
A_NDCI,-0.00396,0.01404,-0.00437,0.0049,-0.0005,0.00175,0.02834,0.00681,0.00785,0.00912
A_FLH_665,0.00932,0.00778,0.00074,0.00567,0.00075,0.00157,0.01478,0.00701,0.00066,0.00558
A_rrs_560,0.0073,0.01414,-0.00508,0.00614,-0.00106,0.0019,0.01521,0.00837,0.00809,0.00913
A_KBBI,-0.00186,0.00731,0.00017,0.00301,-0.0012,0.00111,0.01049,0.00602,0.0153,0.00642
roms_wind_dir,-0.00644,0.01879,0.00151,0.00662,0.01079,0.01522,0.01006,0.00366,0.00541,0.00609
A_NDWI,-0.01118,0.01097,-0.00057,0.00704,0.0061,0.01378,0.02399,0.01079,0.00208,0.00535
A_BLH,0.00723,0.01907,-0.00139,0.00383,0.00066,0.00193,0.01185,0.00583,0.00109,0.00551
A_rrs_665,0.01821,0.01039,-0.00539,0.00448,-0.00073,0.00146,0.00696,0.00349,0.00022,0.00518
A_rrs_682,0.00753,0.01282,0.00264,0.0056,-0.00113,0.00168,0.0101,0.00746,-0.00037,0.00397
A_Red_NIR_Ratio,-0.01418,0.00809,0.00641,0.00593,0.00256,0.00151,0.01284,0.00662,0.00679,0.00735
A_FLHmax,0.00481,0.00574,-0.00434,0.00551,0.0002,0.00185,0.0029,0.00388,0.01085,0.00753
A_rrs_709,-0.01068,0.00859,0.00169,0.00385,0.00052,0.00156,0.00464,0.00472,0.00742,0.00567
A_GBI,-0.00392,0.0101,-0.00294,0.00551,-1e-05,0.0007,0.00378,0.00559,0.0041,0.00639
A_EBI,-0.00931,0.00287,-0.00097,0.00198,-0.00096,0.00117,0.00813,0.00386,0.00185,0.00283
roms_v_sur,-0.02333,0.00973,-0.00145,0.00833,0.00215,0.00249,0.01028,0.0077,0.00327,0.00767
