feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.26916,0.03296,0.07092,0.02606,0.0,0.0,0.24145,0.03341,0.25586,0.05443
doy_cos,0.26501,0.05684,0.0635,0.02054,0.0,0.0,0.18553,0.03529,0.2013,0.0483
B_Red_NIR_Ratio,0.03809,0.01468,0.0253,0.01432,0.0,0.0,0.07821,0.01788,0.02332,0.0313
B_NDCI,0.0216,0.01548,-0.00136,0.00227,0.0,0.0,-0.00278,0.00378,0.14623,0.07078
B_FLH_681,0.07883,0.03112,0.00554,0.01512,0.0,0.0,-0.01122,0.00592,0.05765,0.02915
B_BLH,0.02585,0.01769,0.00483,0.01227,0.0,0.0,0.03824,0.02652,0.0559,0.05461
B_RedEdge_Ratio,0.01038,0.0163,-0.00094,0.00199,0.0,0.0,0.01364,0.00532,0.09523,0.05064
B_FLH_665,0.02517,0.02135,0.00527,0.00636,0.0,0.0,-0.00837,0.00474,0.08745,0.0364
B_FLHmax,0.06455,0.03282,-0.00176,0.00166,0.0,0.0,-0.01159,0.01268,0.05365,0.02035
B_BlueGreen_Ratio,0.03301,0.01652,0.01817,0.01291,0.0,0.0,0.02564,0.01543,0.02601,0.03604
B_rrs_709,0.01297,0.01329,0.00698,0.0144,0.0,0.0,-0.00067,0.0085,0.08335,0.05985
B_Green_Red_Ratio,0.0171,0.01819,-0.00302,0.00182,0.0,0.0,-0.00516,0.00378,0.06073,0.05215
B_CI,0.01939,0.01564,-0.00335,0.00219,0.0,0.0,0.0025,0.01136,0.04989,0.04179
B_rrs_682,0.01125,0.01051,-0.00344,0.00167,0.0,0.0,0.01229,0.0113,0.04828,0.00377
B_MCI,0.02763,0.02308,0.00521,0.00922,0.0,0.0,0.00836,0.01483,0.02697,0.0338
B_GLH,0.01915,0.02397,-0.01331,0.00698,0.0,0.0,0.03792,0.01693,0.0204,0.02725
B_NDWI,-0.00049,0.01156,0.01817,0.01433,0.0,0.0,0.02388,0.0106,0.02072,0.03143
B_Fluorescence_Peak,0.0301,0.01263,-0.00451,0.00169,0.0,0.0,0.01455,0.01121,0.02181,0.02729
B_GBI,0.02585,0.01817,0.01681,0.01179,0.0,0.0,-0.00164,0.0132,0.01568,0.04133
B_rrs_490,0.02687,0.01531,-0.00269,0.00136,0.0,0.0,0.02813,0.02112,0.00335,0.022
B_Blue_Red_Ratio,0.01436,0.01596,-0.00388,0.00236,0.0,0.0,-0.00339,0.01279,0.04524,0.02793
B_rrs_560,0.00036,0.01454,-0.00037,0.01292,0.0,0.0,0.02563,0.02221,0.02206,0.02544
B_KBBI,0.01195,0.01069,0.00088,0.00161,0.0,0.0,-0.01244,0.00972,0.04687,0.0308
B_rrs_412,0.02945,0.01363,0.00363,0.01552,0.0,0.0,-0.00334,0.0114,0.01738,0.02811
B_rrs_754,0.02501,0.01669,-0.00463,0.00223,0.0,0.0,0.00549,0.01374,0.02103,0.02778
B_RBD,0.0107,0.0142,0.00126,0.00718,0.0,0.0,-0.0119,0.01056,0.04632,0.01944
B_rrs_673,0.01234,0.01105,-0.00333,0.00182,0.0,0.0,0.00346,0.0085,0.03264,0.02364
B_NDNI,0.00327,0.01571,-0.00187,0.00186,0.0,0.0,0.00793,0.0063,0.03042,0.03399
B_DINI,-0.00886,0.01641,0.01494,0.0148,0.0,0.0,-0.00588,0.01123,0.03073,0.03433
B_rrs_665,0.01303,0.00753,-0.00105,0.00219,0.0,0.0,0.0055,0.00975,0.01141,0.02431
B_EBI,0.00951,0.00901,0.00028,0.00161,0.0,0.0,-0.01766,0.00791,0.02636,0.036
B_rrs_865,0.00913,0.01542,-0.00476,0.00281,0.0,0.0,0.01156,0.00706,-0.00493,0.00532
