feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.15776,0.03797,0.14909,0.01811,0.01731,0.01654,0.27474,0.02362,0.10283,0.01774
doy_cos,0.14586,0.038,0.05358,0.01092,0.02903,0.00968,0.18588,0.0184,0.07119,0.01954
B_GLH,0.02125,0.01862,0.03968,0.01497,0.02097,0.02085,0.02335,0.01166,0.09045,0.01701
B_BlueGreen_Ratio,0.01554,0.01873,0.02855,0.01476,0.03056,0.00739,0.0293,0.01863,0.0648,0.01729
B_FLHmax,0.03185,0.01287,0.02661,0.00731,0.02901,0.00976,0.0192,0.00851,0.02249,0.01333
B_GBI,0.0352,0.0125,0.00234,0.00716,0.02559,0.01334,-0.00166,0.00708,0.04972,0.01656
B_BLH,0.01811,0.018,0.01905,0.00577,0.03062,0.00715,0.01776,0.01671,0.02536,0.01106
B_FLH_681,0.0466,0.01319,0.00574,0.00685,0.02573,0.01307,0.00839,0.00656,0.0164,0.01105
B_NDNI,0.03192,0.01712,0.0176,0.0087,0.02562,0.01328,0.01523,0.00783,0.01243,0.00812
B_RBD,0.0206,0.0162,0.00974,0.00444,0.01925,0.01593,0.03197,0.00924,0.01482,0.00852
B_RedEdge_Ratio,0.0331,0.02107,0.01128,0.00751,0.03053,0.00752,-0.00031,0.00639,0.02088,0.00834
B_CI,0.02579,0.01354,0.02018,0.00584,0.03226,0.0,0.00103,0.00712,0.015,0.0086
B_DINI,-0.00564,0.01194,0.03898,0.00941,0.0199,0.01685,0.01866,0.01196,0.02191,0.00931
B_rrs_560,0.00278,0.01532,0.01579,0.01003,0.02875,0.01053,0.00777,0.01088,0.0376,0.0162
B_Red_NIR_Ratio,-0.00877,0.01532,0.01441,0.00562,0.03059,0.00726,0.03141,0.01288,0.02311,0.01412
B_MCI,0.01586,0.0165,-0.00394,0.00383,0.02714,0.01217,0.03337,0.01046,0.01474,0.00945
B_NDWI,-0.00542,0.01803,0.01485,0.00939,0.03059,0.00726,0.01446,0.00486,0.02949,0.01091
B_Fluorescence_Peak,0.01527,0.00829,0.01394,0.00469,0.03062,0.00715,-0.00504,0.00643,0.0209,0.01049
B_FLH_665,-0.00245,0.01921,0.02113,0.00912,0.02561,0.0133,0.01185,0.01212,0.01484,0.008
B_rrs_665,7e-05,0.0118,0.01235,0.00586,0.02903,0.00968,0.0017,0.0092,0.02102,0.00641
B_rrs_754,0.01028,0.01794,0.01789,0.00684,0.03226,0.0,-0.00067,0.00875,0.00353,0.00434
B_rrs_709,0.01542,0.01243,0.01216,0.00499,0.02742,0.01152,0.00076,0.00521,0.00564,0.0074
B_rrs_682,0.01537,0.0141,0.00444,0.00636,0.03059,0.00726,0.00559,0.00794,0.00404,0.0066
B_rrs_412,-0.00877,0.0173,0.01583,0.00516,0.03226,0.0,0.00589,0.01155,0.01209,0.01018
B_NDCI,0.01898,0.01293,0.00518,0.00794,0.01073,0.0158,-0.00325,0.00799,0.02066,0.01081
B_Green_Red_Ratio,0.00382,0.01503,0.01574,0.0047,0.03047,0.00778,-0.01091,0.00807,0.01164,0.00729
B_rrs_673,-0.00066,0.01257,0.02192,0.00837,0.02895,0.00993,-0.00657,0.00721,0.00627,0.00368
B_rrs_490,-0.01481,0.01535,0.02626,0.007,0.02548,0.01357,-0.00595,0.00897,0.01798,0.00945
B_KBBI,-0.01894,0.01153,0.01466,0.00651,0.03062,0.00715,0.00448,0.0066,0.00662,0.00635
B_EBI,0.00197,0.00582,0.00631,0.00306,0.02417,0.01401,-0.00365,0.00174,-0.00852,0.00408
B_rrs_865,-0.01945,0.01303,0.00208,0.00484,0.02575,0.01301,-0.00104,0.00445,0.01025,0.00543
B_Blue_Red_Ratio,-0.02088,0.01551,-0.00258,0.00537,0.01922,0.01597,-0.01083,0.01061,0.00157,0.00774
