feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.08235,0.03568,0.17172,0.03452,0.0,0.0,0.14356,0.03096,0.34644,0.04802
doy_cos,0.18114,0.03618,0.11325,0.02659,0.0,0.0,0.155,0.0296,0.18931,0.05961
roms_salt_sur,0.02496,0.02056,0.00717,0.03099,0.0,0.0,0.21616,0.02853,0.29145,0.07416
roms_temp_sur,0.06553,0.01919,0.10393,0.0208,0.0,0.0,0.05141,0.02528,0.31519,0.05595
roms_zeta,0.09761,0.03899,0.03097,0.02605,0.0,0.0,0.02751,0.01475,0.19733,0.06797
roms_v_sur,0.02076,0.01993,0.14107,0.03451,0.0,0.0,-0.0061,0.01251,0.03354,0.03703
roms_wind_speed,0.01211,0.01324,0.01482,0.02273,0.0,0.0,0.03404,0.0163,0.10148,0.03898
roms_current_dir,0.03638,0.01442,0.04623,0.02086,0.0,0.0,-0.01298,0.00957,0.06976,0.02772
roms_wind_dir,0.0236,0.00908,0.0009,0.01414,0.0,0.0,0.02885,0.01464,0.07564,0.03682
B_RedEdge_Ratio,0.00522,0.01677,0.01601,0.01694,0.0,0.0,0.00999,0.00726,0.07503,0.02825
roms_Pair,0.01676,0.01933,0.01705,0.02816,0.0,0.0,0.03159,0.01817,0.03834,0.02816
B_BlueGreen_Ratio,0.02067,0.01892,0.03698,0.02863,0.0,0.0,0.00914,0.01833,0.03673,0.01761
B_NDCI,0.01246,0.0146,0.00991,0.01617,0.0,0.0,-0.0065,0.00855,0.08221,0.03077
B_NDNI,0.00357,0.01419,-0.01715,0.02645,0.0,0.0,0.00727,0.00932,0.08665,0.03456
roms_current_speed,0.00697,0.01242,0.07879,0.02178,0.0,0.0,-0.00553,0.00436,-0.0018,0.02066
B_rrs_560,0.00067,0.01806,0.00305,0.0221,0.0,0.0,-0.00077,0.01149,0.06782,0.02258
roms_Uwind,0.00131,0.00647,0.0253,0.01854,0.0,0.0,0.01191,0.01332,0.03105,0.03078
roms_Vwind,-0.00506,0.01384,0.02954,0.01077,0.0,0.0,0.01841,0.02007,0.02134,0.03566
B_BLH,0.01808,0.01362,0.00742,0.01276,0.0,0.0,0.03989,0.01564,-0.00431,0.04548
B_Blue_Red_Ratio,-0.00298,0.01114,-0.01517,0.02783,0.0,0.0,0.00111,0.00918,0.06696,0.02856
roms_u_sur,-0.0003,0.01394,0.01929,0.02251,0.0,0.0,0.00944,0.0113,0.01763,0.0344
B_DINI,-0.00477,0.01502,0.00545,0.02406,0.0,0.0,-0.00952,0.01286,0.05231,0.03011
B_EBI,0.00888,0.00579,0.00291,0.0055,0.0,0.0,-0.00535,0.00887,0.03542,0.02975
B_rrs_709,0.00695,0.0109,-0.00924,0.02704,0.0,0.0,0.00347,0.01096,0.02975,0.0256
B_GBI,0.00492,0.01094,-0.03507,0.02376,0.0,0.0,0.00483,0.00655,0.05232,0.03071
B_Fluorescence_Peak,-0.00777,0.01521,0.00678,0.01378,0.0,0.0,0.0102,0.00817,0.01727,0.02534
B_FLHmax,0.02324,0.02519,-0.01403,0.01782,0.0,0.0,-0.00084,0.01085,0.01032,0.03167
B_rrs_412,-0.00898,0.01068,0.01364,0.01137,0.0,0.0,-2e-05,0.00904,0.01286,0.01964
B_KBBI,-0.01448,0.01185,0.01046,0.01441,0.0,0.0,0.00093,0.00577,0.01769,0.03197
B_Red_NIR_Ratio,0.00252,0.01472,0.00281,0.02208,0.0,0.0,0.00051,0.01932,0.00654,0.02017
B_rrs_490,0.00092,0.01311,-0.00872,0.03755,0.0,0.0,0.0087,0.01811,0.01071,0.01856
B_rrs_665,-0.01211,0.01254,-0.00134,0.01896,0.0,0.0,0.00038,0.00643,0.02382,0.02922
B_rrs_754,-0.00204,0.0132,0.00728,0.01579,0.0,0.0,0.0,0.0,0.00226,0.01615
B_rrs_682,-0.01251,0.01373,-0.0117,0.00832,0.0,0.0,0.00165,0.009,0.02835,0.03436
B_FLH_681,-0.00068,0.01838,0.00519,0.01819,0.0,0.0,0.00543,0.00978,-0.00707,0.03172
B_Green_Red_Ratio,-0.00461,0.00806,-0.00581,0.01818,0.0,0.0,-0.00643,0.0068,0.01513,0.02489
B_GLH,-0.00919,0.01195,-0.0534,0.02836,0.0,0.0,-0.0071,0.00902,0.06341,0.02712
B_rrs_673,-0.01257,0.01206,-0.05072,0.0178,0.0,0.0,0.00161,0.00907,0.04336,0.02791
B_CI,0.00838,0.01264,-0.05423,0.02246,0.0,0.0,0.00516,0.01181,0.015,0.02044
B_FLH_665,-0.01013,0.01384,-0.03718,0.02511,0.0,0.0,0.00811,0.00771,0.00961,0.03167
B_NDWI,-0.01452,0.01246,-0.02075,0.01456,0.0,0.0,-0.00182,0.00676,0.00643,0.0153
B_MCI,-0.0137,0.01181,-0.00223,0.01568,0.0,0.0,-0.00268,0.01259,-0.0161,0.02392
B_rrs_865,-0.01341,0.0069,-0.02132,0.01223,0.0,0.0,-0.00938,0.01219,0.00429,0.01286
B_RBD,-0.00946,0.01299,-0.01846,0.01712,0.0,0.0,-0.0056,0.00415,-0.00811,0.01622
