feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.18088,0.03661,0.04307,0.02735,0.0,0.0,0.31434,0.04289,0.24462,0.04393
doy_cos,0.15229,0.03123,0.02697,0.02309,0.0,0.0,0.2253,0.03599,0.27384,0.07686
C_BlueGreen_Ratio,0.01711,0.01899,0.01942,0.01651,0.0,0.0,0.09341,0.02591,0.10389,0.0545
C_rrs_412,-0.01334,0.01348,0.01335,0.01752,0.0,0.0,0.09242,0.02386,0.13428,0.06872
C_rrs_490,0.01403,0.01588,0.02129,0.02177,0.0,0.0,0.08375,0.03632,0.05616,0.04716
C_KBBI,0.02383,0.02562,0.021,0.01496,0.0,0.0,0.11165,0.02963,0.01598,0.03628
C_rrs_560,-0.006,0.01077,0.00999,0.029,0.0,0.0,0.08173,0.02624,0.0857,0.0656
C_Blue_Red_Ratio,-0.01569,0.01336,0.03215,0.01522,0.0,0.0,0.05659,0.02373,0.07917,0.058
C_FLH_665,0.00536,0.01268,0.00665,0.01015,0.0,0.0,0.05883,0.02793,0.05353,0.03569
C_RBD,0.01787,0.02611,0.01997,0.01836,0.0,0.0,0.02239,0.02162,0.06198,0.06173
C_rrs_673,0.00496,0.01272,0.00362,0.01628,0.0,0.0,0.05369,0.01532,0.04749,0.04609
C_NDNI,-0.00458,0.00889,0.01826,0.01091,0.0,0.0,0.04018,0.01811,0.05463,0.0328
C_MCI,0.03102,0.01968,0.0009,0.01029,0.0,0.0,0.0427,0.02062,0.0325,0.02591
C_rrs_682,0.01724,0.01394,0.0105,0.01456,0.0,0.0,0.03826,0.02363,0.04022,0.04178
C_DINI,-0.00493,0.01619,0.02282,0.02176,0.0,0.0,0.03674,0.02425,0.05067,0.03789
C_rrs_665,0.01435,0.01972,0.00835,0.01193,0.0,0.0,0.04266,0.0163,0.03388,0.04123
C_FLH_681,0.00789,0.01638,0.02605,0.01671,0.0,0.0,0.03809,0.01938,0.01326,0.03175
C_BLH,-0.00207,0.01344,0.02112,0.02824,0.0,0.0,0.06325,0.02183,-0.00038,0.0459
C_GBI,-0.00252,0.00862,0.00551,0.01688,0.0,0.0,0.03482,0.0214,0.0378,0.04338
C_GLH,-0.02275,0.0131,-0.00467,0.01352,0.0,0.0,0.04486,0.0225,0.05711,0.04517
C_CI,-0.0058,0.01021,0.00482,0.01444,0.0,0.0,0.03493,0.01833,0.03455,0.02976
C_Green_Red_Ratio,-0.00215,0.01366,0.00758,0.01276,0.0,0.0,0.05146,0.01553,0.00562,0.02918
C_rrs_865,0.00185,0.01337,0.0088,0.01193,0.0,0.0,0.01417,0.01997,0.02729,0.02509
C_Fluorescence_Peak,0.0109,0.01146,0.01371,0.01693,0.0,0.0,0.04259,0.01477,-0.01758,0.00585
C_FLHmax,-0.01429,0.01112,0.00595,0.01219,0.0,0.0,0.03205,0.01767,0.02195,0.02408
C_rrs_709,0.01271,0.0155,0.01059,0.01577,0.0,0.0,0.01347,0.01259,0.00841,0.02592
C_Red_NIR_Ratio,0.02083,0.01315,0.02354,0.0102,0.0,0.0,0.00941,0.02198,-0.01005,0.01829
C_NDCI,-0.0103,0.00508,0.0098,0.0155,0.0,0.0,0.01734,0.02275,0.0174,0.03536
C_NDWI,-0.00619,0.01008,0.00726,0.00813,0.0,0.0,-0.00031,0.01918,0.0279,0.03009
C_rrs_754,-0.00133,0.00861,0.01929,0.01644,0.0,0.0,0.0019,0.01331,-0.01059,0.01255
C_RedEdge_Ratio,-0.00549,0.01009,0.00114,0.01063,0.0,0.0,0.01413,0.02046,-0.00059,0.01856
C_EBI,-0.01406,0.00704,-0.00038,0.00433,0.0,0.0,0.00555,0.00848,0.01164,0.02185
