feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.15988,0.03823,0.10424,0.01711,-0.00503,0.01197,0.34162,0.03013,0.10135,0.02216
doy_cos,0.20114,0.04475,-0.00703,0.01111,-0.02323,0.01706,0.28589,0.03039,0.10973,0.02281
C_rrs_560,0.0138,0.01716,-0.00641,0.01001,0.0,0.0,0.06919,0.01479,0.03015,0.01267
C_rrs_490,0.00311,0.01257,0.00377,0.00718,-0.00192,0.00838,0.08536,0.02037,0.00596,0.01183
C_rrs_412,0.00843,0.01762,0.00908,0.00797,-0.00559,0.01331,0.05467,0.01402,0.00452,0.01095
C_RBD,0.02157,0.01828,0.02026,0.01123,0.0,0.0,0.0115,0.01605,0.01642,0.0108
C_KBBI,0.02174,0.01293,0.01086,0.0059,-0.01008,0.01746,0.04677,0.01541,-0.00208,0.00741
C_Blue_Red_Ratio,0.00671,0.01075,-0.00063,0.00627,0.0,0.0,0.03988,0.00823,0.00904,0.00775
C_MCI,0.01307,0.01105,0.02417,0.00918,0.0,0.0,0.01284,0.01237,0.0004,0.0096
C_BlueGreen_Ratio,0.01347,0.01597,-0.01099,0.01093,-0.0093,0.01611,0.04405,0.01195,-0.00145,0.01231
C_rrs_673,0.00354,0.01381,0.00436,0.00968,-0.00179,0.00778,0.03591,0.01276,-0.00685,0.00676
C_rrs_754,0.01009,0.01033,0.00255,0.00592,0.0,0.0,0.02126,0.01596,3e-05,0.00469
C_NDWI,0.00815,0.01279,-0.00058,0.00505,-0.00734,0.01469,0.01919,0.01344,0.00967,0.00654
C_RedEdge_Ratio,0.00851,0.00745,0.014,0.00829,-0.00185,0.00807,0.00769,0.01881,-0.00272,0.00748
C_FLH_665,0.00122,0.00742,0.007,0.00706,-0.01445,0.01771,0.01925,0.00924,0.00659,0.00816
C_FLH_681,0.0045,0.00912,0.00288,0.00613,-0.00351,0.01053,-0.00155,0.01052,0.01601,0.00981
C_NDNI,0.01423,0.00918,0.00486,0.00719,-0.01458,0.01786,0.00037,0.00852,0.00599,0.00766
C_CI,0.00566,0.00845,0.00382,0.00738,-0.01304,0.01777,0.0271,0.0148,-0.01352,0.00703
C_GLH,-0.00725,0.01557,-0.00191,0.00657,-0.02299,0.0202,0.04292,0.01174,-0.00151,0.00901
C_Red_NIR_Ratio,-0.01115,0.0198,0.00395,0.00461,-0.00559,0.01331,0.0088,0.01592,0.0123,0.00797
C_FLHmax,-0.00454,0.00867,0.00012,0.00799,0.0,0.0,0.01512,0.01348,-0.00424,0.00539
C_DINI,-0.00052,0.01614,0.00285,0.00577,-0.0222,0.02137,0.0364,0.01108,-0.01163,0.00946
C_Green_Red_Ratio,0.00607,0.00859,-0.00374,0.00601,-0.01462,0.0179,0.02315,0.01037,-0.00943,0.00625
C_NDCI,-0.01876,0.00961,0.00652,0.00447,0.0,0.0,0.00355,0.01333,0.00674,0.00772
C_rrs_682,0.01037,0.00691,-0.00606,0.00331,-0.00371,0.01113,0.00076,0.01045,-0.00664,0.00688
C_EBI,0.00185,0.00227,0.0006,0.00219,-0.00529,0.0126,-0.00743,0.00277,0.00106,0.00176
C_rrs_665,0.00673,0.01389,0.00427,0.0054,-0.00734,0.01468,-0.01297,0.00809,-0.00552,0.00684
C_BLH,0.00047,0.01126,-0.00284,0.01003,-0.03225,0.02204,0.03076,0.01852,-0.01178,0.00947
C_rrs_709,-0.00435,0.00723,0.00198,0.00632,-0.01856,0.01857,0.00117,0.01584,0.00194,0.00605
C_GBI,-0.00646,0.01065,0.00258,0.00895,-0.01991,0.01801,0.00146,0.01306,0.00339,0.0087
C_rrs_865,-0.02636,0.00924,0.00555,0.00635,-0.00705,0.01794,-0.00049,0.01287,-0.0023,0.0054
C_Fluorescence_Peak,-0.00732,0.00614,-0.01016,0.00493,-0.00903,0.01564,-0.00263,0.01154,-0.01863,0.00702
