feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.08681,0.02296,0.14787,0.032,0.0,0.0,0.20745,0.04301,0.31737,0.07183
roms_salt_sur,0.0819,0.02409,0.0554,0.03134,0.0,0.0,0.24577,0.0245,0.20634,0.06632
roms_temp_sur,0.06669,0.0191,0.07303,0.03128,0.0,0.0,0.11192,0.03033,0.31103,0.07613
roms_zeta,0.16628,0.02987,0.08306,0.02611,0.0,0.0,0.0436,0.01769,0.18734,0.06227
doy_cos,0.1138,0.03633,0.06852,0.023,0.0,0.0,0.05199,0.02126,0.17423,0.06203
C_rrs_490,0.00095,0.00966,0.02294,0.01246,0.0,0.0,0.0834,0.01974,-0.00075,0.00329
C_rrs_560,0.02249,0.01619,0.02227,0.01869,0.0,0.0,0.0133,0.01698,0.04359,0.03535
roms_Uwind,0.02653,0.01563,0.04277,0.01912,0.0,0.0,0.01366,0.00779,0.01643,0.02877
roms_wind_speed,0.02807,0.01177,0.05292,0.01725,0.0,0.0,0.01261,0.01311,0.00168,0.00734
roms_v_sur,0.01516,0.01604,0.08768,0.02982,0.0,0.0,-0.01103,0.01089,-0.00057,0.01644
roms_current_speed,0.02202,0.01139,0.07087,0.02358,0.0,0.0,-0.00196,0.00339,-0.00642,0.01285
roms_Pair,0.00465,0.01691,0.01819,0.00843,0.0,0.0,0.02902,0.01691,0.01215,0.02299
C_BlueGreen_Ratio,0.00757,0.01148,0.0187,0.01141,0.0,0.0,0.01636,0.01123,0.0206,0.02367
roms_current_dir,0.02358,0.01046,0.0393,0.01891,0.0,0.0,-0.00494,0.00488,-0.00371,0.01699
C_rrs_412,0.01396,0.00867,0.01021,0.01249,0.0,0.0,0.00924,0.00868,0.02069,0.03496
C_GBI,0.01689,0.0123,0.03398,0.00795,0.0,0.0,0.00067,0.00293,0.0,0.0
C_NDNI,0.01231,0.00575,0.0212,0.00858,0.0,0.0,0.0103,0.01134,0.00505,0.01203
C_MCI,0.00662,0.00463,0.02434,0.00752,0.0,0.0,0.0149,0.01129,0.0,0.0
C_rrs_865,0.01215,0.00749,0.02142,0.01066,0.0,0.0,0.01212,0.0073,0.0,0.0
C_rrs_665,0.00977,0.0099,0.03386,0.01376,0.0,0.0,0.00635,0.00805,-0.00482,0.01147
C_DINI,0.01457,0.00906,0.02164,0.01418,0.0,0.0,0.00375,0.01438,0.0043,0.01277
C_FLH_681,0.01808,0.00901,0.02138,0.01048,0.0,0.0,0.00269,0.00538,0.0,0.0
C_Fluorescence_Peak,0.00977,0.00509,0.02234,0.01085,0.0,0.0,0.00741,0.00796,0.0,0.0
C_rrs_673,0.0054,0.01579,0.02415,0.01135,0.0,0.0,0.01276,0.00998,-0.00482,0.01147
C_Red_NIR_Ratio,0.00749,0.01577,0.01048,0.00921,0.0,0.0,0.01786,0.00623,0.0,0.0
C_KBBI,0.02474,0.01706,0.00561,0.00916,0.0,0.0,0.00218,0.00704,0.00285,0.02101
C_Green_Red_Ratio,0.01224,0.00435,0.01009,0.01132,0.0,0.0,0.01456,0.00632,-0.00482,0.01147
C_BLH,-0.00674,0.00718,0.02111,0.01489,0.0,0.0,0.01758,0.00873,0.0,0.0
roms_u_sur,0.00846,0.0143,0.0146,0.01226,0.0,0.0,0.0074,0.00978,0.00062,0.01722
C_FLHmax,0.00931,0.01019,0.01959,0.00499,0.0,0.0,0.00202,0.0048,0.0,0.0
C_CI,0.01539,0.00791,0.01317,0.0127,0.0,0.0,0.00466,0.00683,-0.00482,0.01147
C_EBI,0.00787,0.00712,0.01959,0.00499,0.0,0.0,0.0,0.0,0.0,0.0
roms_wind_dir,-0.01672,0.0099,0.01202,0.00986,0.0,0.0,0.01739,0.00622,0.0138,0.02681
C_rrs_754,0.00183,0.00723,0.01691,0.00983,0.0,0.0,0.00095,0.0045,0.00337,0.0101
C_FLH_665,0.00726,0.00531,0.01467,0.01106,0.0,0.0,1e-05,0.00733,-0.00075,0.00329
C_rrs_682,0.01746,0.0091,0.00062,0.00731,0.0,0.0,0.0068,0.00973,-0.00642,0.01285
C_NDWI,0.01307,0.01332,0.00292,0.00875,0.0,0.0,0.00202,0.0048,0.0,0.0
roms_Vwind,-0.00339,0.00959,0.01594,0.01448,0.0,0.0,0.01937,0.00848,-0.01743,0.02037
C_RedEdge_Ratio,0.00573,0.00735,0.01481,0.01292,0.0,0.0,0.00973,0.01002,-0.01606,0.01606
C_GLH,0.00886,0.00985,0.01356,0.01265,0.0,0.0,-0.00549,0.00359,-0.00755,0.00755
C_Blue_Red_Ratio,-0.00987,0.00431,0.01499,0.01223,0.0,0.0,-0.00252,0.00918,0.00176,0.01272
C_rrs_709,4e-05,0.0089,0.00768,0.01039,0.0,0.0,-0.00191,0.00708,-0.00482,0.01147
C_NDCI,0.01022,0.01177,0.00569,0.00866,0.0,0.0,0.0,0.0,-0.01598,0.0192
C_RBD,0.01199,0.01386,0.00841,0.01295,0.0,0.0,0.0,0.0,-0.02277,0.02865
