feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.02174,0.01658,0.08217,0.01743,0.05242,0.02642,0.17023,0.02511,0.07905,0.01898
roms_salt_sur,-0.00533,0.01831,0.02408,0.0082,0.03064,0.0216,0.13527,0.02151,0.03887,0.01194
doy_cos,0.08075,0.0192,0.00412,0.00592,0.0305,0.02166,0.05046,0.01172,0.04605,0.01341
roms_zeta,0.07812,0.03779,0.00583,0.00929,0.02395,0.02827,0.01438,0.01079,0.0514,0.01383
roms_temp_sur,0.01059,0.02044,-0.00033,0.00987,0.00505,0.01341,0.05306,0.01608,0.0689,0.01399
roms_Pair,0.01489,0.00649,0.00054,0.00418,0.00227,0.00725,0.04067,0.0151,0.02864,0.00844
C_rrs_560,0.02018,0.01516,-0.00059,0.00518,0.02607,0.02315,0.00442,0.00741,0.03664,0.00835
C_BlueGreen_Ratio,0.01658,0.01153,0.00571,0.00493,0.02027,0.01896,0.01063,0.00748,0.01707,0.00966
roms_Uwind,-0.00271,0.01591,0.00887,0.00588,0.01674,0.01753,0.01321,0.00783,0.02412,0.00879
C_rrs_412,-0.00305,0.00945,0.00803,0.00484,0.04019,0.02489,-0.00148,0.00445,0.01603,0.00953
roms_u_sur,0.00199,0.01077,0.00198,0.00572,0.00957,0.01821,0.01358,0.00768,0.03172,0.0076
C_rrs_665,0.01389,0.00842,8e-05,0.00536,0.01589,0.01666,0.0004,0.00374,0.02853,0.00634
C_FLH_665,0.01844,0.00867,0.00145,0.00293,0.00855,0.01444,-0.00109,0.00429,0.02917,0.00647
roms_wind_dir,0.00194,0.00827,-0.00191,0.0029,0.02039,0.01652,0.01223,0.00465,0.02271,0.00791
roms_wind_speed,0.00399,0.00768,-0.00394,0.00585,0.01091,0.01908,0.01572,0.00734,0.02804,0.00996
roms_current_dir,-0.00378,0.01573,0.00563,0.00759,0.02342,0.02322,0.00269,0.00718,0.02494,0.00626
C_RBD,0.00793,0.01588,0.00244,0.00469,0.00343,0.01385,0.00581,0.00527,0.03273,0.00798
roms_v_sur,-0.00311,0.01531,-0.00164,0.00879,0.02391,0.01285,-0.00261,0.00769,0.03124,0.00749
C_Blue_Red_Ratio,0.00357,0.00989,0.00394,0.00432,0.01128,0.01673,0.00102,0.00414,0.02774,0.00777
C_FLHmax,-0.00097,0.00517,0.00428,0.00434,0.00998,0.01525,0.00889,0.00382,0.02289,0.00517
C_NDWI,6e-05,0.01507,0.00371,0.00412,0.01571,0.01723,0.00353,0.0032,0.02188,0.00806
C_KBBI,0.0371,0.0137,0.00377,0.00458,-0.00538,0.00763,-0.00033,0.00335,0.00635,0.00467
C_Green_Red_Ratio,-0.00341,0.00771,0.00596,0.00764,0.0084,0.01553,0.00642,0.00387,0.023,0.00697
C_MCI,0.01825,0.01124,0.00478,0.00477,0.00096,0.00722,0.00273,0.00726,0.01356,0.00531
C_rrs_673,0.00938,0.00492,0.00334,0.00347,0.01363,0.01642,0.00359,0.00469,0.01013,0.00594
C_rrs_754,0.00575,0.00296,0.00628,0.00468,0.00643,0.01314,0.00797,0.00518,0.01221,0.00517
C_rrs_865,-0.00135,0.00883,0.00073,0.00521,0.01391,0.01709,0.0028,0.00692,0.02151,0.00453
roms_current_speed,0.01659,0.00904,-0.00577,0.00861,0.00042,0.0221,-0.00874,0.00754,0.03359,0.00859
C_rrs_709,0.00213,0.00656,-0.00143,0.00481,0.00846,0.0145,0.00307,0.00397,0.02314,0.0075
C_NDNI,-0.00444,0.00744,0.00202,0.00623,0.01373,0.01671,0.00092,0.00425,0.02192,0.0063
C_NDCI,-0.00427,0.00823,-0.00386,0.00371,0.00763,0.01939,0.00745,0.00533,0.02646,0.00628
roms_Vwind,-0.0104,0.00875,0.00354,0.00492,0.01625,0.02009,0.00536,0.00425,0.01803,0.00979
C_rrs_682,0.01681,0.01115,-0.00043,0.00534,0.0076,0.01475,-0.00275,0.00539,0.01132,0.00627
C_CI,-0.00609,0.01064,-0.00074,0.00688,0.01241,0.01993,0.00765,0.00445,0.01711,0.00829
C_FLH_681,0.009,0.01099,-0.00169,0.0047,0.01175,0.01609,-0.00224,0.00499,0.01224,0.00654
C_Fluorescence_Peak,0.00402,0.01049,-0.00323,0.00494,-0.00019,0.00112,0.00539,0.00373,0.01992,0.00554
C_RedEdge_Ratio,-0.00593,0.01211,-0.00251,0.00479,0.00225,0.00133,0.00249,0.00288,0.02936,0.0075
C_rrs_490,-0.0124,0.01022,0.00556,0.00562,0.0098,0.02074,3e-05,0.00796,0.02238,0.00946
C_BLH,-0.00094,0.00856,-0.00167,0.00595,0.00457,0.01009,0.00642,0.00441,0.01405,0.00968
C_Red_NIR_Ratio,-0.00081,0.00963,0.00212,0.00406,0.00335,0.00741,0.00102,0.00292,0.01467,0.00833
C_GLH,0.00821,0.01064,-0.00539,0.00641,0.00552,0.00978,-0.00231,0.00627,0.01341,0.00742
C_GBI,-0.02274,0.01006,-0.00077,0.00346,0.02242,0.01924,0.00438,0.00489,0.00264,0.00688
C_DINI,-0.0072,0.01289,-0.00665,0.00673,0.00387,0.00959,0.00085,0.00776,0.01099,0.00681
C_EBI,-0.01503,0.0071,-0.00442,0.00342,0.00216,0.00164,-0.006,0.00115,0.00298,0.00388
