feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.23383,0.03688,0.04309,0.02792,0.0,0.0,0.29603,0.04177,0.28322,0.06653
doy_sin,0.0899,0.02142,0.09325,0.02995,0.0,0.0,0.23922,0.03464,0.38316,0.05277
A_MCI,0.0149,0.0186,0.00637,0.01904,0.0,0.0,0.10672,0.02968,0.34018,0.0668
A_BlueGreen_Ratio,0.01737,0.01652,0.07096,0.02246,0.0,0.0,0.16325,0.05738,0.07076,0.02829
A_GLH,-0.00731,0.01516,0.08274,0.0202,0.0,0.0,0.18408,0.05541,0.01796,0.02637
A_RedEdge_Ratio,0.01671,0.01685,0.00626,0.00166,0.0,0.0,0.12825,0.02553,0.08414,0.05546
A_NDCI,0.01314,0.01171,0.02653,0.00547,0.0,0.0,0.07025,0.02433,0.08854,0.0483
A_rrs_560,0.02525,0.01112,0.0328,0.01945,0.0,0.0,0.02064,0.01997,0.11519,0.03895
A_Red_NIR_Ratio,0.03796,0.018,0.00286,0.00516,0.0,0.0,0.07941,0.01556,0.0156,0.02126
A_DINI,-0.00744,0.0135,0.01657,0.01598,0.0,0.0,0.08363,0.01816,0.04303,0.03397
A_Blue_Red_Ratio,-0.00109,0.01612,0.00478,0.00772,0.0,0.0,0.07346,0.01878,0.05711,0.03876
A_NDWI,0.02501,0.01297,0.01298,0.01464,0.0,0.0,0.07253,0.02993,0.01783,0.02183
A_NDNI,0.0055,0.00986,0.01818,0.01226,0.0,0.0,0.04836,0.01975,0.05503,0.04362
A_CI,-0.00711,0.00953,0.01935,0.01581,0.0,0.0,0.04138,0.01207,0.07119,0.03813
A_FLH_665,-0.00486,0.01428,0.01544,0.01656,0.0,0.0,0.06991,0.02897,0.02615,0.02538
A_GBI,0.00045,0.00876,0.05338,0.00567,0.0,0.0,0.03917,0.0205,0.0,0.0
A_rrs_412,-0.01305,0.01949,0.03709,0.0222,0.0,0.0,0.01708,0.02353,0.04999,0.03538
A_rrs_682,-0.00273,0.01829,0.04877,0.00887,0.0,0.0,0.02905,0.01742,0.0156,0.02126
A_RBD,0.0011,0.00882,0.03823,0.01315,0.0,0.0,0.04608,0.01991,0.00446,0.01337
A_BLH,-0.00513,0.01558,0.04047,0.01906,0.0,0.0,0.04305,0.03069,0.01114,0.0193
A_FLHmax,0.00208,0.01052,0.03096,0.01766,0.0,0.0,0.03938,0.01914,0.0156,0.02126
A_Green_Red_Ratio,0.0011,0.01424,0.01641,0.01433,0.0,0.0,0.0338,0.01694,0.03636,0.0378
A_KBBI,0.01675,0.01138,0.00443,0.00579,0.0,0.0,0.04466,0.02265,0.00891,0.01783
A_rrs_490,0.00511,0.00977,0.01097,0.01351,0.0,0.0,0.00686,0.01592,0.04764,0.03467
A_rrs_709,-0.005,0.01167,0.01661,0.01781,0.0,0.0,0.05381,0.0274,0.00446,0.01337
A_rrs_865,-0.01199,0.01055,0.01606,0.01243,0.0,0.0,0.05663,0.01885,0.00891,0.01783
A_FLH_681,9e-05,0.01035,0.03365,0.01198,0.0,0.0,0.03492,0.01144,0.0,0.0
A_rrs_665,0.02031,0.01364,0.01418,0.01314,0.0,0.0,0.00874,0.01304,0.02019,0.02664
A_Fluorescence_Peak,-0.00951,0.01464,0.0236,0.01018,0.0,0.0,0.03403,0.0166,0.01337,0.02042
A_rrs_754,0.00125,0.01032,0.0,0.0,0.0,0.0,0.01456,0.01352,0.00446,0.01337
A_EBI,-0.00217,0.00512,0.0,0.0,0.0,0.0,-0.00837,0.01542,0.00891,0.01783
