feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.25069,0.04708,0.03565,0.01273,0.0,0.0,0.2214,0.03918,0.1034,0.01871
doy_sin,0.21903,0.04031,0.10309,0.01478,0.0,0.0,0.1533,0.02054,0.09122,0.01874
A_GLH,-0.00342,0.02141,0.03799,0.02038,-0.00549,0.01307,0.02137,0.01358,0.18865,0.01707
A_MCI,0.07521,0.03005,0.00019,0.01184,0.0,0.0,0.03621,0.01306,0.06043,0.01754
A_BlueGreen_Ratio,0.01412,0.02592,0.02004,0.01373,0.0,0.0,0.04555,0.01433,0.06379,0.01734
A_rrs_560,-0.02221,0.00981,-0.01531,0.01229,0.0,0.0,0.01095,0.00558,0.15576,0.02634
A_NDCI,0.01957,0.01555,0.0025,0.00626,0.0,0.0,0.00568,0.00741,0.08559,0.02009
A_RedEdge_Ratio,0.00939,0.01174,0.00261,0.00649,0.0,0.0,0.01035,0.00785,0.08217,0.02339
A_rrs_412,0.01733,0.01402,0.01321,0.01029,0.0,0.0,0.03239,0.01364,0.0328,0.01081
A_rrs_490,0.00717,0.01253,-0.00185,0.00901,0.0,0.0,0.00845,0.00664,0.0796,0.02209
A_NDWI,0.02262,0.01543,0.01139,0.0082,0.0,0.0,0.01701,0.01093,0.04202,0.01052
A_RBD,0.02289,0.01693,-0.00251,0.00702,0.0,0.0,0.01369,0.00564,0.05845,0.0113
A_GBI,-0.00569,0.00835,0.00035,0.00691,0.0,0.0,0.01013,0.00716,0.0694,0.01765
A_FLH_665,0.01609,0.01737,0.00178,0.01102,-0.00474,0.01128,0.01638,0.01447,0.04201,0.0144
A_Green_Red_Ratio,0.01932,0.0111,0.00068,0.00855,0.0,0.0,0.00708,0.00666,0.04162,0.02157
A_Red_NIR_Ratio,0.03541,0.01563,0.00112,0.00918,0.0,0.0,0.00725,0.00748,0.02315,0.01514
A_rrs_754,0.03205,0.01503,-0.00259,0.00809,0.0,0.0,0.00232,0.00453,0.03278,0.01583
A_rrs_865,0.03689,0.01099,-0.00161,0.0069,0.0,0.0,0.00956,0.00453,0.01748,0.01321
A_BLH,0.01881,0.01141,-0.01404,0.01126,0.0,0.0,0.00629,0.00696,0.0499,0.01374
A_DINI,-0.01138,0.01623,-0.00423,0.00728,0.0,0.0,0.01307,0.00393,0.05898,0.01457
A_rrs_709,0.03087,0.01213,0.00164,0.00594,0.0,0.0,-0.00219,0.00584,0.01921,0.00961
A_FLH_681,0.01005,0.0113,0.00823,0.00707,-0.021,0.01541,0.01704,0.00581,0.0328,0.01054
A_KBBI,-0.00167,0.01202,-0.00524,0.00743,-0.00167,0.00726,0.01837,0.00599,0.02919,0.00699
A_rrs_682,0.0025,0.01355,0.00113,0.00601,0.0,0.0,0.01715,0.0068,0.0179,0.00709
A_Fluorescence_Peak,-0.00112,0.01,-0.00323,0.00524,0.0,0.0,0.01972,0.00563,0.02015,0.00917
A_Blue_Red_Ratio,0.00943,0.00863,0.0102,0.00547,0.0,0.0,0.00788,0.0084,0.00191,0.01311
A_FLHmax,0.00073,0.00894,-0.0075,0.00732,0.0,0.0,0.00197,0.0067,0.03143,0.01171
A_rrs_665,0.01157,0.01262,-0.0054,0.00738,0.0,0.0,0.00422,0.00691,0.01623,0.00654
A_NDNI,0.01072,0.01605,-0.01059,0.00639,0.0,0.0,0.0035,0.00553,0.02269,0.0165
A_CI,-0.00406,0.00748,-0.00467,0.00951,0.0,0.0,0.00317,0.00531,0.01791,0.01325
A_EBI,-0.00084,0.00168,-0.00695,0.00568,0.0,0.0,0.00388,0.00285,0.0055,0.00562
