feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.01578,0.01857,-0.00801,0.02731,0.0,0.0,0.29094,0.04753,0.25741,0.06828
doy_sin,-0.0003,0.01559,0.05823,0.02893,0.0,0.0,0.2013,0.03903,0.27613,0.06111
doy_cos,-0.02432,0.01214,0.0327,0.03178,0.0,0.0,0.18205,0.03349,0.1759,0.06082
roms_zeta,0.06408,0.02872,0.02549,0.01785,0.0,0.0,0.04175,0.01725,0.19181,0.09216
roms_temp_sur,0.00874,0.01451,0.01013,0.02035,0.0,0.0,0.08599,0.01886,0.20095,0.0482
A_MCI,-0.00645,0.00899,-0.00647,0.01059,0.0,0.0,0.03542,0.01916,0.15854,0.04126
A_BlueGreen_Ratio,0.0031,0.02189,-0.00603,0.02605,0.0,0.0,0.0853,0.03318,0.06874,0.02222
roms_v_sur,-0.024,0.01199,0.04891,0.02017,0.0,0.0,0.01945,0.01256,0.08966,0.03476
roms_wind_speed,-0.00918,0.00912,0.01389,0.02317,0.0,0.0,0.05174,0.01734,0.03862,0.02494
A_RedEdge_Ratio,0.00537,0.00936,0.01174,0.01362,0.0,0.0,0.03306,0.0168,0.0441,0.02772
A_GLH,0.00701,0.01502,-0.01026,0.02292,0.0,0.0,0.03594,0.01388,0.05696,0.01757
roms_Pair,0.00144,0.01589,-0.05044,0.0151,0.0,0.0,0.0352,0.01678,0.09704,0.02515
roms_Uwind,-0.01848,0.00884,0.01026,0.01413,0.0,0.0,0.00429,0.01251,0.08709,0.03039
A_rrs_490,0.00231,0.00507,0.0076,0.01601,0.0,0.0,-0.00477,0.00899,0.06897,0.02676
A_rrs_665,0.00072,0.0043,0.01594,0.00963,0.0,0.0,0.00817,0.00714,0.04878,0.02849
A_Blue_Red_Ratio,-0.00205,0.003,0.00924,0.01359,0.0,0.0,-0.00154,0.01316,0.06636,0.02751
A_rrs_865,-0.00685,0.00644,-0.00647,0.00206,0.0,0.0,0.00574,0.01073,0.07767,0.03165
A_CI,-0.00077,0.00793,-0.01245,0.0154,0.0,0.0,0.00221,0.01055,0.07888,0.03124
A_rrs_560,-0.01532,0.01165,0.01203,0.00815,0.0,0.0,-0.01138,0.00909,0.08134,0.02689
A_NDNI,0.00349,0.00393,-0.00195,0.00853,0.0,0.0,0.00474,0.01346,0.05849,0.0238
A_FLH_665,-0.01564,0.0065,0.00419,0.00785,0.0,0.0,0.02269,0.01309,0.0511,0.02126
A_Green_Red_Ratio,-0.01271,0.01151,-0.00619,0.0064,0.0,0.0,0.01871,0.01266,0.06224,0.02597
A_GBI,0.00275,0.00338,0.00943,0.0148,0.0,0.0,0.01431,0.01204,0.035,0.01858
A_RBD,0.00126,0.00741,0.0021,0.01073,0.0,0.0,0.00423,0.01156,0.04656,0.01831
roms_u_sur,-0.0072,0.01472,-0.0088,0.01886,0.0,0.0,-3e-05,0.00712,0.06776,0.03346
A_DINI,-0.00178,0.01755,4e-05,0.01438,0.0,0.0,-0.00704,0.00501,0.05085,0.03134
A_NDCI,4e-05,0.00911,-0.00051,0.00807,0.0,0.0,0.01135,0.01479,0.0297,0.02312
roms_Vwind,-0.00963,0.00658,-0.00581,0.02363,0.0,0.0,0.00393,0.01077,0.05157,0.03331
roms_current_speed,-0.00033,0.00939,-0.00386,0.01637,0.0,0.0,0.01362,0.01169,0.02736,0.02593
A_Red_NIR_Ratio,0.0024,0.01395,-0.04563,0.01435,0.0,0.0,0.03304,0.01668,0.04246,0.03135
roms_current_dir,-0.01317,0.01391,-0.01276,0.02256,0.0,0.0,0.0086,0.0202,0.04719,0.0364
A_BLH,-0.00967,0.0084,-0.00385,0.01337,0.0,0.0,-0.00312,0.00623,0.04564,0.02008
A_rrs_709,-0.01422,0.00464,-0.01259,0.01497,0.0,0.0,-0.00664,0.00937,0.06154,0.02781
A_NDWI,-0.00901,0.00969,-0.00968,0.01182,0.0,0.0,0.01996,0.02022,0.02432,0.01949
roms_wind_dir,-0.0151,0.01321,-0.00702,0.01737,0.0,0.0,-0.00405,0.01567,0.05098,0.03732
A_FLH_681,-0.00105,0.00414,0.01976,0.0088,0.0,0.0,-0.00587,0.00833,0.00957,0.01499
A_FLHmax,-0.01087,0.0059,-0.00037,0.00811,0.0,0.0,0.00173,0.01107,0.03161,0.02724
A_KBBI,-0.01065,0.00564,-0.00033,0.00921,0.0,0.0,0.00091,0.01055,0.02806,0.02649
A_rrs_682,-0.01017,0.00833,-0.00218,0.00894,0.0,0.0,-0.00394,0.00582,0.03194,0.03043
A_rrs_754,0.00073,0.00398,-0.00486,0.00209,0.0,0.0,0.00331,0.00928,0.01474,0.01832
A_EBI,-0.00077,0.00183,0.00431,0.01079,0.0,0.0,-0.0036,0.0075,0.00782,0.01588
A_rrs_412,-0.00118,0.00708,0.00711,0.01259,0.0,0.0,-0.0164,0.00838,0.01038,0.01586
A_Fluorescence_Peak,-0.00714,0.01002,-0.0027,0.00247,0.0,0.0,-0.01105,0.00792,0.01933,0.0229
