feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.0263,0.02686,-0.00107,0.00751,0.01719,0.01924,0.20009,0.03526,0.03695,0.01557
doy_sin,0.08401,0.01859,0.04865,0.01864,0.01912,0.01935,0.05876,0.01714,0.06761,0.0253
doy_cos,0.11653,0.02171,0.01379,0.00638,0.00968,0.01662,0.04472,0.01867,0.08226,0.01512
roms_zeta,0.10998,0.03319,0.00383,0.006,-0.00337,0.02658,0.00643,0.00501,0.05799,0.01656
roms_temp_sur,-0.00139,0.01615,-0.00176,0.00945,0.02278,0.01921,0.01017,0.00833,0.02788,0.01851
A_MCI,0.02343,0.01464,0.0003,0.00737,-0.00234,0.00796,0.00326,0.00366,0.03143,0.01298
A_BlueGreen_Ratio,0.0189,0.01283,0.01059,0.00821,-0.00057,0.00033,-0.00785,0.0068,0.02421,0.01749
A_GLH,0.0042,0.01058,0.00733,0.01569,-0.00068,0.00023,0.00046,0.00556,0.02241,0.00798
roms_current_dir,-0.0087,0.01069,0.00248,0.0051,-8e-05,0.00052,0.00462,0.00578,0.02346,0.01324
roms_Vwind,-0.0207,0.013,0.00394,0.00425,0.02507,0.0218,0.0103,0.00576,0.00265,0.00716
A_FLHmax,-0.00239,0.0061,0.00327,0.00195,0.00373,0.01158,0.00184,0.0028,0.0148,0.00766
A_Red_NIR_Ratio,0.00923,0.0104,-0.00023,0.00599,0.00962,0.01665,-0.00268,0.0032,0.00186,0.00787
A_NDNI,0.00689,0.01213,-0.00194,0.00241,0.0,0.0,-0.00068,0.00255,0.00779,0.00879
A_GBI,-0.01134,0.00957,-0.00601,0.00449,0.00962,0.01665,-0.00432,0.00474,0.02148,0.00861
roms_wind_speed,-0.00735,0.00776,0.00444,0.00407,-0.00937,0.0158,-0.00037,0.00429,0.0169,0.01208
A_KBBI,-0.00619,0.01355,0.00323,0.00437,-4e-05,0.00016,-0.00011,0.0032,0.0067,0.00817
A_NDWI,-0.00447,0.00998,-0.00294,0.00238,-0.00064,0.00027,0.00475,0.00461,0.00489,0.0098
roms_v_sur,-0.00014,0.01124,0.00386,0.00635,-0.00208,0.00836,-0.00297,0.00404,0.00277,0.00909
A_NDCI,-0.00252,0.00907,-0.00978,0.00554,-0.00034,0.00038,-0.00126,0.00289,0.01456,0.01215
A_RedEdge_Ratio,-0.00567,0.00727,0.0045,0.00439,-0.00204,0.00803,-0.00332,0.00388,0.0066,0.00901
A_rrs_412,-0.00746,0.0036,0.00198,0.00507,0.00162,0.00846,-0.00137,0.00556,0.00471,0.00878
A_Blue_Red_Ratio,-0.00997,0.00721,0.00295,0.00421,0.00051,0.00033,-0.00367,0.003,0.00862,0.00576
roms_u_sur,-0.00839,0.0098,0.004,0.00436,-8e-05,0.00023,0.01364,0.00536,-0.01075,0.01428
A_rrs_682,-0.01061,0.00976,-0.00463,0.00296,-0.00015,0.0003,0.00479,0.00505,0.00803,0.00758
A_FLH_681,-0.00504,0.00602,0.00201,0.00409,-0.00555,0.01322,0.00377,0.00336,0.00157,0.0059
roms_Uwind,-0.01911,0.01066,-0.00661,0.00764,-0.0037,0.0111,0.00372,0.00507,0.02104,0.01343
roms_Pair,-0.00531,0.01549,-0.0015,0.00571,-0.02406,0.01765,0.00385,0.00511,0.0208,0.00937
A_EBI,-0.00334,0.00505,-0.00475,0.0037,-4e-05,0.00016,-0.0,0.00171,5e-05,0.00405
A_FLH_665,-0.00168,0.01007,-0.00711,0.00538,-0.00607,0.01341,0.00032,0.0068,0.00582,0.00879
A_rrs_865,-0.01457,0.01128,0.00218,0.00273,-0.00057,0.00033,0.00256,0.00374,-0.00141,0.00859
A_Fluorescence_Peak,-0.00902,0.00542,0.00052,0.00304,7e-05,0.00032,-0.00202,0.00513,-0.00307,0.00465
A_rrs_560,-0.00611,0.01347,-0.00717,0.00517,-0.00985,0.01602,-0.00064,0.00462,0.00839,0.01178
A_CI,-0.0068,0.01093,-0.00052,0.00314,-0.00588,0.01369,-0.00975,0.00535,0.00403,0.009
A_rrs_665,-0.00806,0.01618,0.00274,0.00332,-0.02413,0.01771,0.00178,0.00332,0.00857,0.0064
A_RBD,-0.00985,0.00392,-0.00411,0.00356,-0.00925,0.01603,0.00375,0.00411,0.00026,0.00717
A_rrs_490,-0.01835,0.00549,-0.00577,0.00554,-0.00023,0.00035,-0.00246,0.00247,0.00357,0.0079
A_rrs_709,-0.01869,0.00475,0.00043,0.0012,-4e-05,0.00016,-0.00269,0.00459,-0.0032,0.00603
A_BLH,-0.01044,0.01485,-0.00235,0.00442,-0.01662,0.01845,0.00167,0.00349,0.00292,0.008
roms_wind_dir,-0.01969,0.01825,-0.00758,0.00581,0.0,0.0,-0.00188,0.00546,0.00201,0.00783
roms_current_speed,-0.00328,0.00768,-0.00064,0.00511,-0.0309,0.013,0.00109,0.00356,-0.00269,0.01044
A_DINI,-0.01511,0.01408,-0.00727,0.00701,-0.02805,0.0162,-0.00251,0.00377,0.00275,0.0097
A_Green_Red_Ratio,-0.0214,0.00928,-0.00365,0.00468,-0.02272,0.01841,-0.00818,0.00482,0.00433,0.00888
A_rrs_754,-0.01375,0.00465,-0.00404,0.00396,-0.0287,0.01641,-0.00536,0.00227,-0.00194,0.00786
