feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.16686,0.03174,0.03852,0.02117,0.0,0.0,0.27247,0.05614,0.28265,0.03771
doy_cos,0.1072,0.02124,0.02787,0.02022,0.0,0.0,0.17163,0.03117,0.30125,0.05849
B_BlueGreen_Ratio,0.05235,0.01844,0.08689,0.01928,0.0,0.0,0.08669,0.03967,0.02193,0.02512
B_GLH,0.01012,0.02345,0.10646,0.03246,0.0,0.0,0.03698,0.03481,0.04596,0.02016
B_DINI,0.01473,0.01426,0.02648,0.02587,0.0,0.0,0.10081,0.02527,0.03433,0.03804
B_BLH,0.01158,0.01781,0.01262,0.01496,0.0,0.0,0.03995,0.03489,0.06336,0.0394
B_MCI,-0.00346,0.02065,0.00958,0.01295,0.0,0.0,0.00835,0.02429,0.09898,0.05423
B_CI,0.00134,0.01326,0.02229,0.01161,0.0,0.0,-0.00487,0.02919,0.09109,0.04024
B_rrs_709,0.00866,0.01718,0.02663,0.02867,0.0,0.0,0.01504,0.01557,0.05425,0.03663
B_FLH_681,0.01935,0.02763,-0.00049,0.00973,0.0,0.0,0.02624,0.01485,0.05909,0.02908
B_FLHmax,-0.0035,0.01477,-0.00828,0.01297,0.0,0.0,0.04314,0.0192,0.07031,0.04957
B_rrs_490,-0.00066,0.01323,0.01103,0.01966,0.0,0.0,0.0385,0.0268,0.05265,0.025
B_rrs_560,-0.00498,0.01331,0.00824,0.02019,0.0,0.0,0.04451,0.0284,0.05295,0.03318
B_FLH_665,-0.00913,0.0155,-0.01293,0.01324,0.0,0.0,0.0151,0.01724,0.1029,0.05885
B_rrs_865,-0.00399,0.01039,0.01786,0.01265,0.0,0.0,0.03852,0.01462,0.03492,0.01951
B_rrs_412,0.00561,0.01885,0.01438,0.01578,0.0,0.0,0.05155,0.01547,0.0154,0.02423
B_KBBI,0.00477,0.01423,0.00948,0.01402,0.0,0.0,0.01433,0.02812,0.05446,0.03408
B_NDNI,0.00511,0.01119,0.01356,0.01335,0.0,0.0,0.00991,0.01431,0.04978,0.04601
B_RBD,-0.01129,0.01604,0.00619,0.01438,0.0,0.0,0.0255,0.01864,0.05693,0.0294
B_NDCI,0.00941,0.01407,0.01882,0.01748,0.0,0.0,0.03302,0.02086,0.01449,0.02544
B_RedEdge_Ratio,-0.0004,0.01326,0.00414,0.01243,0.0,0.0,0.02821,0.01613,0.02172,0.02527
B_EBI,-0.00822,0.00645,-0.00605,0.01227,0.0,0.0,0.02192,0.01555,0.0448,0.01107
B_rrs_682,0.00463,0.00748,0.00485,0.01251,0.0,0.0,0.00933,0.01402,0.0284,0.01901
B_rrs_673,-0.00077,0.00956,0.01148,0.01337,0.0,0.0,-0.01683,0.02043,0.02797,0.02283
B_GBI,0.02192,0.01905,0.03171,0.02302,0.0,0.0,-0.00038,0.02359,-0.03324,0.0227
B_Fluorescence_Peak,-0.00248,0.01062,0.01312,0.0167,0.0,0.0,-0.03179,0.01414,0.03321,0.01354
B_Red_NIR_Ratio,-0.00427,0.02182,-0.00226,0.00227,0.0,0.0,0.00045,0.02559,0.01775,0.0249
B_NDWI,-0.01712,0.01031,0.006,0.02142,0.0,0.0,-0.00629,0.02106,0.02668,0.02387
B_rrs_754,-0.01302,0.00944,0.01262,0.01329,0.0,0.0,-0.03939,0.02249,0.02963,0.02254
B_Blue_Red_Ratio,-0.02008,0.00708,0.01402,0.01356,0.0,0.0,-0.00932,0.01326,0.00143,0.01981
B_rrs_665,-0.00405,0.01058,-0.0231,0.01981,0.0,0.0,-0.02019,0.01525,0.0285,0.02314
B_Green_Red_Ratio,0.00656,0.01271,-0.0037,0.01891,0.0,0.0,-0.05017,0.01927,0.01257,0.02445
