feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.30485,0.03511,0.05776,0.01168,0.0,0.0,0.29361,0.03743,0.10934,0.01971
doy_sin,0.21972,0.03619,0.1237,0.01695,0.0,0.0,0.23331,0.02877,0.08161,0.02629
B_GLH,0.01509,0.02297,0.02682,0.02124,0.0,0.0,0.0701,0.014,0.05658,0.01962
B_BlueGreen_Ratio,0.01884,0.02455,0.03141,0.01393,0.0,0.0,0.08415,0.01862,0.02677,0.01814
B_FLHmax,0.06933,0.02719,0.00303,0.00703,0.0,0.0,0.02253,0.00901,0.04569,0.01758
B_GBI,0.01983,0.01704,0.00768,0.00853,0.0,0.0,0.03801,0.01086,0.05144,0.01787
B_FLH_681,0.07009,0.02411,-0.01458,0.00722,0.0,0.0,0.03003,0.00962,0.03002,0.012
B_rrs_560,0.01493,0.01133,0.02231,0.0107,0.0,0.0,0.05173,0.00901,0.02344,0.02042
B_DINI,-0.00573,0.01093,0.0013,0.01455,0.0,0.0,0.06841,0.01387,0.02821,0.02182
B_rrs_490,0.0037,0.01601,0.00764,0.00883,0.0,0.0,0.05942,0.0103,0.01983,0.01424
B_MCI,-0.00959,0.01223,0.00076,0.00685,0.0,0.0,0.06658,0.01061,0.02546,0.0085
B_FLH_665,0.01834,0.01297,0.00188,0.00887,0.0,0.0,0.03519,0.01332,0.02529,0.00991
B_BLH,0.01065,0.01057,-0.01196,0.0087,0.0,0.0,0.05951,0.01286,0.02136,0.01102
B_RBD,-0.00179,0.01065,0.00471,0.00655,0.0,0.0,0.02463,0.01165,0.04756,0.0201
B_KBBI,0.00193,0.0153,0.00945,0.00707,0.0,0.0,0.03051,0.01348,0.02429,0.01594
B_Fluorescence_Peak,0.01413,0.01396,-0.01241,0.00852,0.0,0.0,0.03603,0.00879,0.02516,0.01585
B_NDCI,0.01029,0.00875,0.00853,0.0066,0.0,0.0,0.02744,0.00793,0.01657,0.01156
B_RedEdge_Ratio,0.0117,0.01216,-0.00342,0.00597,0.0,0.0,0.02847,0.00725,0.02337,0.01118
B_Green_Red_Ratio,-0.00801,0.00886,-0.01698,0.00889,0.0,0.0,0.04249,0.01098,0.04088,0.01546
B_rrs_682,0.00367,0.01516,0.00141,0.00651,0.0,0.0,0.02446,0.01052,0.02708,0.01228
B_rrs_412,0.01335,0.02385,-0.00409,0.00553,0.0,0.0,0.02272,0.00839,0.01961,0.00983
B_Red_NIR_Ratio,-0.02862,0.01471,0.00136,0.00551,0.0,0.0,0.03992,0.01144,0.03238,0.01674
B_CI,0.00645,0.01291,-0.01258,0.00697,0.0,0.0,0.03762,0.00718,0.0115,0.01282
B_rrs_665,0.01832,0.01043,-0.00394,0.01138,0.0,0.0,0.0175,0.01193,0.01087,0.01334
B_rrs_673,0.01,0.00626,-0.00042,0.00496,0.0,0.0,0.01681,0.00912,0.01367,0.01107
B_rrs_709,0.00714,0.00878,-0.01088,0.00584,0.0,0.0,0.02701,0.00954,0.01131,0.00797
B_NDWI,-0.02516,0.0145,-0.00414,0.00655,0.0,0.0,0.03747,0.00625,0.02309,0.01518
B_Blue_Red_Ratio,0.01287,0.01508,-0.00888,0.00719,0.0,0.0,0.02099,0.00979,0.00241,0.00897
B_NDNI,0.00136,0.00739,-0.00533,0.0069,0.0,0.0,0.01698,0.00746,0.01197,0.01042
B_rrs_754,-0.00288,0.01158,0.00962,0.00918,0.0,0.0,0.01404,0.00811,0.0027,0.01138
B_rrs_865,-0.00196,0.0092,-0.00939,0.00598,0.0,0.0,0.01338,0.00908,0.01537,0.01464
B_EBI,0.00062,0.01008,0.00541,0.00396,0.0,0.0,0.01682,0.01038,-0.01161,0.00794
