feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.08311,0.02631,0.0719,0.03034,0.0,0.0,0.28767,0.04203,0.41248,0.07578
roms_temp_sur,0.06108,0.02083,0.00167,0.01298,0.0,0.0,0.11146,0.02555,0.38977,0.09124
doy_cos,0.08403,0.02053,0.0155,0.02172,0.0,0.0,0.1521,0.02221,0.20263,0.05809
roms_salt_sur,0.02742,0.02169,0.00527,0.01744,0.0,0.0,0.17916,0.02328,0.23599,0.06867
roms_zeta,0.09822,0.03503,0.01061,0.01988,0.0,0.0,0.03277,0.02,0.22134,0.05572
roms_wind_dir,0.0006,0.00599,-0.00508,0.01457,0.0,0.0,0.12002,0.02074,0.06022,0.03681
roms_wind_speed,-0.01002,0.00976,0.00155,0.01432,0.0,0.0,0.07363,0.02037,0.07274,0.03605
roms_Pair,0.02197,0.011,-0.01483,0.018,0.0,0.0,0.03666,0.02594,0.08573,0.04121
roms_v_sur,0.0007,0.0126,0.07399,0.02652,0.0,0.0,-0.07679,0.01967,0.12636,0.04234
B_rrs_490,0.00158,0.00418,-0.00684,0.00365,0.0,0.0,0.04169,0.0198,0.07733,0.02685
roms_u_sur,-0.00189,0.00953,0.00785,0.01173,0.0,0.0,0.04608,0.02631,0.06024,0.02398
B_BLH,0.0039,0.01123,-0.00424,0.01995,0.0,0.0,0.02618,0.02366,0.07789,0.0408
B_BlueGreen_Ratio,-0.01729,0.0186,0.0393,0.02141,0.0,0.0,0.0549,0.02955,0.02317,0.0235
roms_current_speed,0.00106,0.00919,-0.00672,0.01912,0.0,0.0,0.02064,0.01345,0.07588,0.03778
B_rrs_673,0.00237,0.00956,-0.0055,0.00936,0.0,0.0,0.00738,0.01048,0.08313,0.02567
B_GBI,-0.00128,0.00537,0.02175,0.02,0.0,0.0,0.01002,0.02129,0.05661,0.03951
B_NDCI,-0.00364,0.0087,-0.00474,0.00206,0.0,0.0,0.01163,0.01291,0.08283,0.03209
roms_Vwind,-0.0047,0.00556,-0.00123,0.00792,0.0,0.0,0.01782,0.02348,0.07378,0.03067
roms_Uwind,-0.00246,0.00399,-0.00516,0.00379,0.0,0.0,0.00189,0.02139,0.08925,0.03176
B_FLH_665,-0.00463,0.00796,-0.01134,0.01296,0.0,0.0,0.0,0.0,0.09798,0.03936
B_Fluorescence_Peak,-0.00411,0.00483,-0.01781,0.01286,0.0,0.0,0.01487,0.01453,0.0883,0.02259
B_FLH_681,-0.00278,0.01459,-0.00646,0.00351,0.0,0.0,0.00252,0.00586,0.08783,0.02956
B_GLH,0.0016,0.01369,0.02021,0.02291,0.0,0.0,0.00889,0.02566,0.0469,0.02548
B_FLHmax,0.00011,0.02092,-0.00643,0.00264,0.0,0.0,0.00628,0.01473,0.07493,0.0295
B_KBBI,0.00049,0.00744,-0.00514,0.00316,0.0,0.0,-0.00415,0.01865,0.08336,0.02987
B_NDNI,-0.0055,0.00707,-0.01706,0.00416,0.0,0.0,0.01035,0.01116,0.08511,0.03991
B_MCI,-0.00065,0.01397,-0.00292,0.00272,0.0,0.0,-0.02219,0.02368,0.09762,0.04278
B_rrs_560,-0.00957,0.00752,-0.00494,0.01674,0.0,0.0,0.00378,0.01968,0.08104,0.04079
roms_current_dir,-0.00795,0.00442,0.0315,0.02309,0.0,0.0,-0.03403,0.03303,0.07884,0.03612
B_Green_Red_Ratio,-0.00303,0.00964,-0.00304,0.01185,0.0,0.0,-0.00105,0.01321,0.07499,0.0283
B_RedEdge_Ratio,-0.00386,0.00693,-0.00552,0.01645,0.0,0.0,0.00195,0.00835,0.0748,0.02255
B_NDWI,-0.00327,0.00318,-0.00336,0.01251,0.0,0.0,0.0046,0.01121,0.06932,0.02926
B_rrs_709,-0.00435,0.00278,-0.00347,0.00272,0.0,0.0,0.0,0.0,0.07029,0.02993
B_rrs_682,-0.00659,0.00536,0.00108,0.01021,0.0,0.0,-0.01078,0.01429,0.07489,0.02557
B_DINI,0.00152,0.01436,-0.00902,0.01392,0.0,0.0,0.00345,0.02798,0.06139,0.01704
B_EBI,-0.00682,0.0024,-0.00146,0.00243,0.0,0.0,0.01123,0.01088,0.05162,0.02496
B_rrs_412,-0.00308,0.00581,-0.00165,0.00289,0.0,0.0,0.00499,0.02039,0.05139,0.01937
B_Blue_Red_Ratio,-0.00519,0.00406,-0.01341,0.00367,0.0,0.0,0.0057,0.02303,0.05963,0.03242
B_rrs_865,-0.01254,0.00519,-0.00818,0.00411,0.0,0.0,0.01838,0.01539,0.0375,0.02144
B_RBD,-0.0041,0.00418,-0.00148,0.00332,0.0,0.0,0.01217,0.00889,0.02689,0.0277
B_rrs_665,-0.00683,0.00296,-0.00553,0.00401,0.0,0.0,-0.01324,0.01527,0.0521,0.0185
B_CI,-0.01731,0.00672,0.00208,0.01415,0.0,0.0,0.00434,0.01896,0.0268,0.02518
B_Red_NIR_Ratio,-0.00471,0.00869,-0.00683,0.00363,0.0,0.0,-0.02291,0.02105,0.04475,0.01973
B_rrs_754,-0.00933,0.00352,-0.00097,0.01124,0.0,0.0,0.0,0.0,0.00707,0.01415
