feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.04489,0.02186,0.0137,0.01045,0.0,0.0,0.21505,0.02581,0.06374,0.01521
doy_sin,0.07642,0.02879,0.0654,0.0094,-0.02827,0.02326,0.12323,0.02287,0.0765,0.01314
doy_cos,0.08352,0.0223,0.00975,0.00813,0.0,0.0,0.08291,0.01567,0.07749,0.01766
roms_temp_sur,0.04561,0.02409,0.02913,0.0093,0.0,0.0,0.09154,0.01552,0.07113,0.01701
roms_zeta,0.10481,0.03264,0.00779,0.01045,-0.06347,0.04243,0.04077,0.00925,0.03678,0.01046
roms_v_sur,0.05842,0.01777,-0.00914,0.0073,0.0,0.0,0.0132,0.00689,0.03123,0.01495
B_rrs_560,0.01747,0.01208,0.00128,0.00896,0.0,0.0,0.04161,0.01515,0.02617,0.01429
roms_Pair,0.00571,0.00963,-0.0084,0.0053,0.0,0.0,0.02949,0.01046,0.04476,0.01135
roms_Vwind,-0.00646,0.00768,-0.0026,0.00728,0.0,0.0,0.03276,0.00795,0.04531,0.01552
B_FLH_681,0.02302,0.02089,-0.00276,0.00477,0.0,0.0,0.01212,0.00572,0.03653,0.0122
roms_wind_speed,0.00248,0.00463,0.00373,0.00736,0.0,0.0,0.02637,0.00475,0.0312,0.01159
B_GLH,0.00997,0.0117,-0.01029,0.0111,0.0,0.0,0.0161,0.00932,0.0454,0.01276
B_DINI,-0.01077,0.01366,0.00422,0.01365,0.0,0.0,0.03053,0.01205,0.03285,0.01078
roms_wind_dir,0.00781,0.01159,-0.00492,0.00573,0.0,0.0,0.03167,0.00893,0.02169,0.01021
B_BLH,-0.00334,0.00868,-0.00554,0.00691,0.0,0.0,0.04596,0.01588,0.01893,0.00921
B_BlueGreen_Ratio,0.00166,0.00793,-0.00593,0.00661,-0.00192,0.00838,0.02635,0.01162,0.03569,0.01548
roms_Uwind,-0.009,0.01022,-0.00425,0.00597,0.0,0.0,0.02523,0.01104,0.04234,0.01121
B_GBI,0.00189,0.01051,-0.00521,0.00635,0.0,0.0,0.00957,0.00477,0.04482,0.01552
B_MCI,0.00838,0.00739,0.00331,0.00729,0.0,0.0,0.01346,0.00582,0.02523,0.01171
B_CI,-0.00289,0.00894,-0.00494,0.00703,0.0,0.0,0.01476,0.00539,0.04256,0.01237
B_RBD,-0.01326,0.00788,0.00073,0.00504,0.0,0.0,0.02826,0.01175,0.03192,0.00981
B_Blue_Red_Ratio,-0.00618,0.00365,0.0045,0.0068,0.0,0.0,0.02825,0.00983,0.0183,0.00854
roms_current_dir,0.01068,0.01271,-0.00432,0.00437,0.0,0.0,0.01116,0.00768,0.02732,0.01641
B_FLHmax,0.0193,0.01493,-0.00821,0.0073,0.0,0.0,-0.00619,0.00536,0.03509,0.01014
B_KBBI,-0.0105,0.0047,0.01135,0.00811,0.0,0.0,0.01929,0.00586,0.01981,0.01203
B_rrs_490,0.00067,0.01111,-0.00723,0.00322,0.0,0.0,0.01712,0.00635,0.02595,0.00867
B_NDNI,0.0087,0.00775,0.00085,0.00509,0.0,0.0,0.0181,0.00474,0.0044,0.0075
B_rrs_754,0.00156,0.00213,0.00457,0.00628,0.0,0.0,0.00323,0.00703,0.02168,0.00717
B_rrs_412,-0.00649,0.00467,-0.00683,0.00393,0.0,0.0,0.01481,0.00588,0.02687,0.00958
roms_u_sur,-0.00129,0.01031,0.00101,0.00679,0.0,0.0,0.01472,0.01092,0.01204,0.00772
roms_current_speed,-0.00618,0.00364,-0.00066,0.00718,0.0,0.0,0.02225,0.00723,0.01015,0.01039
B_Green_Red_Ratio,-0.00472,0.00468,-0.00683,0.00392,0.0,0.0,0.01813,0.00622,0.01678,0.01044
B_Fluorescence_Peak,-0.0103,0.00801,-0.00273,0.00491,0.0,0.0,0.00453,0.00709,0.02934,0.01009
B_FLH_665,-0.00328,0.00735,0.00228,0.00702,0.0,0.0,0.00666,0.00926,0.01488,0.01335
B_NDCI,-0.00625,0.01178,-0.00818,0.0049,0.0,0.0,0.01119,0.00585,0.01989,0.01175
B_rrs_665,-0.01174,0.00644,-0.01085,0.00606,0.0,0.0,0.0202,0.00755,0.01407,0.01259
B_rrs_682,-0.00434,0.00367,0.00054,0.00703,-0.00381,0.01143,0.00936,0.00516,0.00832,0.00884
B_NDWI,-0.011,0.00979,-0.00958,0.00473,0.0,0.0,0.00321,0.00567,0.02369,0.01115
B_RedEdge_Ratio,0.00148,0.00423,-0.00818,0.00532,0.0,0.0,0.00464,0.00448,0.00713,0.0091
B_rrs_709,-0.00433,0.00228,-0.01259,0.00584,0.0,0.0,0.00108,0.00491,0.02041,0.01266
B_Red_NIR_Ratio,0.00497,0.00714,-0.00213,0.00763,-0.02646,0.02687,0.00982,0.00955,0.01704,0.00994
B_rrs_865,-0.00642,0.0049,-0.00986,0.00561,0.0,0.0,0.00723,0.00722,0.00704,0.00808
B_rrs_673,-0.00457,0.00384,-0.01595,0.00349,0.0,0.0,-0.00208,0.00657,0.01439,0.0091
B_EBI,-0.00159,0.00261,-0.00326,0.00301,-0.02593,0.01697,0.00505,0.00116,0.01435,0.00572
