feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.20959,0.03588,0.02012,0.01461,0.0,0.0,0.29208,0.03939,0.10997,0.0448
doy_sin,0.1939,0.04362,0.043,0.02364,0.0,0.0,0.28824,0.03588,0.07536,0.02878
C_rrs_560,0.0091,0.01673,0.01347,0.02227,0.0,0.0,0.06413,0.03179,0.06467,0.03954
C_BlueGreen_Ratio,0.009,0.02308,0.02039,0.01839,0.0,0.0,0.14108,0.04545,-0.03945,0.03803
C_FLH_681,0.0298,0.01444,0.01467,0.00717,0.0,0.0,0.06335,0.02462,0.0,0.0
C_rrs_682,0.05078,0.01967,0.00533,0.00884,0.0,0.0,0.04599,0.02906,0.0,0.0
C_Blue_Red_Ratio,0.04239,0.02712,0.0121,0.01256,0.0,0.0,0.04755,0.0295,0.0,0.0
C_GLH,-0.01703,0.00968,0.04514,0.01185,0.0,0.0,0.07088,0.03459,0.0,0.0
C_Green_Red_Ratio,0.01027,0.01785,0.01077,0.00665,0.0,0.0,0.0739,0.02748,0.0,0.0
C_Fluorescence_Peak,0.00339,0.01756,0.01856,0.01195,0.0,0.0,0.0712,0.01756,0.0,0.0
C_rrs_673,0.04564,0.02458,0.01292,0.00826,0.0,0.0,0.02913,0.02808,0.0,0.0
C_FLH_665,0.03669,0.01806,-0.00611,0.00763,0.0,0.0,0.05183,0.01946,-0.00331,0.01441
C_GBI,-0.00256,0.01411,0.0167,0.00771,0.0,0.0,0.06468,0.02911,0.0,0.0
C_CI,0.01145,0.0147,0.00568,0.00787,0.0,0.0,0.06161,0.01997,0.0,0.0
C_FLHmax,0.02621,0.01189,-0.00161,0.01101,0.0,0.0,0.05722,0.02695,-0.00331,0.01441
C_Red_NIR_Ratio,0.01803,0.02004,0.00761,0.00963,0.0,0.0,0.02635,0.02629,0.02137,0.03264
C_rrs_412,-0.00037,0.02151,0.01982,0.0208,0.0,0.0,0.04874,0.04463,0.00458,0.04607
C_RBD,0.0118,0.03407,0.00074,0.00363,0.0,0.0,0.04749,0.0218,0.01068,0.02543
C_rrs_709,0.0335,0.0166,-0.0045,0.01139,0.0,0.0,0.03596,0.01475,0.0,0.0
C_KBBI,-0.00991,0.02752,0.03815,0.01167,0.0,0.0,0.0299,0.01513,0.00212,0.00259
C_NDCI,0.00979,0.01396,0.00654,0.01576,0.0,0.0,0.04263,0.03073,0.0,0.0
C_MCI,0.02803,0.0148,0.00453,0.00289,0.0,0.0,0.02544,0.01812,0.0,0.0
C_rrs_490,-0.01123,0.01878,0.01528,0.01452,0.0,0.0,0.04182,0.0314,0.0,0.0
C_rrs_754,0.03243,0.01655,0.00059,0.00982,0.0,0.0,0.0113,0.02628,0.0,0.0
C_RedEdge_Ratio,0.01025,0.01573,-0.02695,0.01286,0.0,0.0,0.05593,0.01718,0.0,0.0
C_rrs_865,-0.00301,0.01397,0.00643,0.01385,0.0,0.0,0.03446,0.02566,0.0,0.0
C_rrs_665,0.00734,0.02275,-0.00618,0.01284,0.0,0.0,0.02865,0.02778,0.0,0.0
C_NDNI,0.00305,0.01856,-0.00298,0.01218,0.0,0.0,0.02385,0.03535,0.0,0.0
C_NDWI,0.02441,0.02066,-0.0059,0.01613,0.0,0.0,-0.02722,0.02266,0.02493,0.03397
C_BLH,-0.00924,0.015,-0.00716,0.01575,0.0,0.0,0.00945,0.03155,0.0,0.0
C_EBI,-0.01903,0.00731,-0.00041,0.00153,0.0,0.0,0.0,0.0,0.0,0.0
C_DINI,-0.00553,0.0232,-0.00088,0.01355,0.0,0.0,-0.06781,0.0383,-0.08721,0.02941
