feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.14318,0.02797,0.12169,0.01569,0.01692,0.01288,0.28566,0.02759,0.08536,0.01944
doy_cos,0.1871,0.02439,0.01716,0.00805,-0.00423,0.0081,0.25341,0.01912,0.0639,0.01894
C_rrs_490,0.04347,0.01893,-0.00175,0.00791,0.03513,0.00949,0.04576,0.0145,0.01315,0.01144
C_KBBI,0.03154,0.01885,-0.00814,0.00813,0.03525,0.01022,0.04244,0.01128,0.00756,0.01144
C_rrs_560,0.03334,0.01532,0.00546,0.00788,0.02692,0.01955,0.01461,0.01505,0.01337,0.00946
C_RBD,0.03819,0.01719,-0.00467,0.00598,0.03821,0.00674,0.02303,0.00695,-0.00491,0.01266
C_rrs_412,0.03553,0.0248,-0.00107,0.00995,0.00062,0.0122,0.038,0.0092,0.00666,0.01249
C_BlueGreen_Ratio,0.03734,0.01335,0.00183,0.01065,0.00208,0.01095,0.02673,0.01068,0.00415,0.01764
C_MCI,0.04667,0.01197,-0.00342,0.0058,-0.00403,0.00142,0.02403,0.01004,0.00783,0.00816
C_CI,0.0522,0.01566,-0.00526,0.00483,-0.00395,0.00149,0.01724,0.01061,0.00576,0.01275
C_DINI,0.03526,0.01486,-0.00908,0.00913,0.00108,0.01243,0.02709,0.01219,0.00948,0.01158
C_FLHmax,0.03034,0.01011,-0.00271,0.0026,0.00487,0.01041,0.01893,0.00686,0.01001,0.00969
C_Green_Red_Ratio,0.03125,0.01148,-0.00418,0.0065,0.00106,0.01177,0.01245,0.00811,0.01823,0.01046
C_rrs_682,0.0342,0.016,-0.00158,0.00466,-0.00363,0.00171,0.02136,0.00767,0.00408,0.01247
C_rrs_709,0.03495,0.01083,-0.00093,0.00178,0.01401,0.01763,0.01321,0.00716,-0.00923,0.00973
C_GLH,0.02063,0.01298,-0.01046,0.00783,-0.00299,0.00167,0.01462,0.00757,0.02896,0.0137
C_rrs_865,0.02842,0.00911,-0.00322,0.00483,-0.00704,0.00204,0.02047,0.01143,0.00891,0.01001
C_NDNI,0.03319,0.00715,-0.0016,0.00499,-0.00772,0.00203,0.03292,0.00632,-0.01035,0.01116
C_GBI,0.02628,0.00794,-0.00706,0.00444,-0.00096,0.0023,0.00848,0.00816,0.01939,0.01071
C_Fluorescence_Peak,0.03336,0.01442,0.00705,0.00785,-0.0056,0.00193,0.00913,0.00609,0.00045,0.01047
C_rrs_665,0.03355,0.01369,0.00162,0.00804,-0.00322,0.00119,0.0042,0.00513,0.00644,0.01118
C_Blue_Red_Ratio,0.03621,0.01628,-0.01651,0.00452,-0.00144,0.00708,0.01459,0.00816,0.00804,0.01282
C_NDWI,0.01456,0.02174,-0.00621,0.00395,-0.00329,0.00958,0.01325,0.00617,0.02005,0.0101
C_BLH,0.02202,0.01679,0.01051,0.00713,0.00146,0.00235,0.00665,0.01145,-0.00608,0.01045
C_rrs_673,0.02206,0.0108,-0.01178,0.00577,-0.00134,0.00209,0.01803,0.00707,0.00669,0.01064
C_RedEdge_Ratio,0.00728,0.00949,-0.01021,0.00725,-0.00395,0.00168,0.02619,0.01028,0.01386,0.00656
C_FLH_665,0.02452,0.01499,-0.00396,0.00486,0.00085,0.01049,0.00831,0.00779,0.00178,0.00547
C_Red_NIR_Ratio,-0.02745,0.01756,-0.00864,0.00528,0.00597,0.0142,0.03781,0.0089,0.02222,0.0132
C_FLH_681,0.02964,0.01336,-0.00436,0.00542,-0.00661,0.00205,-0.00024,0.01084,0.01131,0.01026
C_rrs_754,0.01557,0.01267,-0.00513,0.00472,-0.00413,0.00218,0.0165,0.00929,0.00638,0.0089
C_NDCI,0.0182,0.01106,-0.01413,0.00706,-0.00729,0.00199,0.01717,0.00955,0.00171,0.00643
C_EBI,-0.00016,0.0007,0.00076,0.00244,-0.00046,0.00071,-0.00206,0.00576,-0.00173,0.00397
