feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.12469,0.02935,0.06395,0.03732,0.0,0.0,0.30455,0.03051,0.2465,0.06812
doy_cos,0.10211,0.02393,0.05737,0.02602,0.0,0.0,0.17598,0.03109,0.32255,0.04596
doy_sin,0.11626,0.03274,0.04858,0.02378,0.0,0.0,0.13763,0.04031,0.31794,0.06922
roms_temp_sur,0.07926,0.02341,0.0305,0.01388,0.0,0.0,0.10763,0.0359,0.3814,0.08291
roms_zeta,0.17137,0.04538,0.05812,0.02652,0.0,0.0,0.03192,0.02003,0.20458,0.09912
C_rrs_560,0.06392,0.02302,0.01395,0.01871,0.0,0.0,0.04975,0.02141,0.12242,0.05826
roms_v_sur,0.01877,0.01504,0.05513,0.0273,0.0,0.0,0.01433,0.01335,0.02318,0.02963
roms_current_speed,0.03167,0.01039,0.04645,0.02484,0.0,0.0,0.0,0.0,0.03109,0.02534
C_rrs_412,0.00265,0.01152,0.02355,0.01229,0.0,0.0,0.0,0.0,0.06989,0.06384
C_BlueGreen_Ratio,0.01978,0.01518,0.03494,0.01168,0.0,0.0,0.0,0.0,0.04132,0.04349
roms_Uwind,0.01252,0.01473,0.02481,0.00992,0.0,0.0,0.00464,0.00855,0.04699,0.03739
C_KBBI,0.0554,0.02382,0.01461,0.01504,0.0,0.0,-0.00075,0.00329,0.01895,0.03008
roms_current_dir,0.02028,0.01812,0.0275,0.02384,0.0,0.0,0.00501,0.01652,0.01914,0.02907
C_RBD,0.02908,0.02398,0.03028,0.01331,0.0,0.0,-0.00226,0.00539,0.01169,0.03042
C_rrs_665,0.00784,0.01179,0.03502,0.01914,0.0,0.0,-0.00214,0.00471,0.02178,0.02417
roms_Pair,0.00808,0.00978,0.02383,0.01031,0.0,0.0,0.01537,0.01029,0.01124,0.01953
roms_wind_dir,-0.00627,0.00799,0.0309,0.01739,0.0,0.0,0.00713,0.01323,0.02297,0.03349
roms_wind_speed,-0.00518,0.00881,0.03844,0.01594,0.0,0.0,0.01663,0.01039,0.0,0.0
roms_Vwind,0.00965,0.00998,0.01401,0.01503,0.0,0.0,0.00277,0.00647,0.0224,0.02497
C_Red_NIR_Ratio,0.01438,0.00954,0.03361,0.01333,0.0,0.0,0.00077,0.00336,0.0,0.0
C_Blue_Red_Ratio,0.02456,0.01485,0.01621,0.00406,0.0,0.0,0.0,0.0,0.00199,0.01273
roms_u_sur,0.00423,0.00971,0.02945,0.02038,0.0,0.0,-0.01279,0.00979,0.01799,0.02787
C_Fluorescence_Peak,0.0141,0.0101,0.02459,0.02016,0.0,0.0,-0.00071,0.00899,0.0,0.0
C_NDWI,0.01108,0.01207,0.02079,0.0158,0.0,0.0,0.0,0.0,0.0,0.0
C_CI,0.01017,0.00819,0.0206,0.0203,0.0,0.0,0.0,0.0,0.001,0.00905
C_BLH,0.00082,0.00877,0.03123,0.02376,0.0,0.0,-0.00075,0.00329,-0.00085,0.00372
C_GLH,0.004,0.00936,0.02642,0.0114,0.0,0.0,-0.00075,0.00329,0.0,0.0
C_rrs_490,-0.01063,0.00635,0.0274,0.01139,0.0,0.0,0.01181,0.01474,0.0,0.0
C_NDNI,0.01368,0.00879,0.02578,0.01708,0.0,0.0,-0.01427,0.01106,0.00284,0.01197
C_FLH_665,0.00982,0.00834,0.01951,0.00604,0.0,0.0,-0.00678,0.00886,0.0,0.0
C_rrs_682,-0.00182,0.01479,0.02374,0.01328,0.0,0.0,0.0,0.0,0.0,0.0
C_Green_Red_Ratio,0.00683,0.009,0.01316,0.01791,0.0,0.0,3e-05,0.00683,0.0,0.0
C_rrs_673,0.00869,0.01275,0.01321,0.01489,0.0,0.0,-0.00284,0.00314,0.0,0.0
C_FLHmax,-0.00713,0.00784,0.02577,0.01094,0.0,0.0,-0.00302,0.00604,0.0,0.0
C_GBI,0.00267,0.00667,0.0196,0.00763,0.0,0.0,-0.00679,0.00751,0.0,0.0
C_DINI,-0.00937,0.01173,0.0178,0.01793,0.0,0.0,-0.00486,0.00971,0.0112,0.02091
C_rrs_865,0.01177,0.0128,0.00626,0.01117,0.0,0.0,-0.00377,0.00654,0.0,0.0
C_rrs_709,-0.00082,0.00857,0.01726,0.00585,0.0,0.0,-0.00284,0.00314,0.0,0.0
C_FLH_681,-0.00363,0.00765,0.01811,0.00988,0.0,0.0,-0.00678,0.00894,0.0,0.0
C_rrs_754,0.00681,0.00989,-0.00158,0.0123,0.0,0.0,-0.00604,0.0074,0.0,0.0
C_EBI,-0.002,0.00272,0.00053,0.00579,0.0,0.0,0.0,0.0,0.0,0.0
C_NDCI,-0.00981,0.00856,-0.00017,0.00609,0.0,0.0,0.00154,0.00463,0.00654,0.01566
C_RedEdge_Ratio,-0.01079,0.00662,0.00184,0.0094,0.0,0.0,-0.00524,0.01106,0.00185,0.00806
C_MCI,-0.01484,0.00808,-0.00609,0.00574,0.0,0.0,-0.00302,0.00604,0.0,0.0
