feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.11992,0.0242,0.07974,0.01652,-0.0131,0.01142,0.09573,0.02371,0.07441,0.02059
doy_cos,0.13058,0.02341,0.01607,0.0066,0.00379,0.01393,0.03171,0.01303,0.11448,0.01798
roms_zeta,0.16278,0.03399,0.01715,0.01334,-0.03178,0.04781,0.03411,0.01147,0.06414,0.01851
roms_salt_sur,0.05531,0.01946,0.00062,0.01368,0.00549,0.01443,0.16011,0.0265,0.02302,0.01061
roms_temp_sur,0.06536,0.02162,0.02392,0.00909,-0.01328,0.01126,0.02923,0.01777,0.05048,0.01402
C_rrs_560,0.03861,0.01835,0.00184,0.00787,0.07108,0.01847,-0.00637,0.00677,0.01403,0.01656
C_MCI,0.02262,0.00928,0.00412,0.0044,0.07415,0.01385,0.00199,0.00303,0.01322,0.0043
C_RBD,0.04643,0.01953,-0.01492,0.00716,0.07594,0.01628,-0.00227,0.00483,0.00919,0.00729
C_KBBI,0.046,0.01813,0.00023,0.00795,0.06924,0.0219,-0.00317,0.00485,-0.00726,0.00804
C_Red_NIR_Ratio,0.02591,0.01189,0.00293,0.0037,0.06765,0.02214,-0.00315,0.00503,0.01165,0.00896
C_rrs_490,0.02732,0.01058,0.01266,0.00444,0.04271,0.0257,-0.00151,0.00776,0.01938,0.01418
C_NDWI,0.01119,0.01902,0.00195,0.00672,0.05361,0.02898,-0.00655,0.00432,0.03395,0.01242
roms_v_sur,0.04667,0.02289,-0.00085,0.00892,0.01423,0.02084,-0.00302,0.006,0.03634,0.01127
C_GLH,-0.00174,0.00466,0.00685,0.00832,0.0793,0.00778,-0.00085,0.00571,0.00552,0.00907
roms_Pair,0.02289,0.0143,0.00476,0.00821,0.00722,0.01535,0.01285,0.00661,0.03587,0.0151
C_rrs_412,0.01801,0.00715,0.00938,0.00542,0.01661,0.02988,-0.00037,0.00626,0.02037,0.01176
roms_current_dir,0.03675,0.01679,0.0049,0.00977,0.00262,0.0286,-0.00711,0.00667,0.02371,0.01082
C_FLH_665,0.04037,0.01509,0.00877,0.00499,-0.00203,0.00085,-0.00402,0.00459,0.01065,0.00622
roms_Uwind,0.01708,0.01083,0.00486,0.00755,-0.01355,0.01296,-0.00521,0.00816,0.05029,0.009
C_rrs_673,0.00971,0.01308,0.00868,0.0057,0.02531,0.02539,-0.00323,0.00499,0.01165,0.00821
C_rrs_665,0.01771,0.01113,0.0085,0.00607,0.00488,0.01273,-0.00355,0.00374,0.02145,0.00905
C_rrs_682,0.01565,0.01121,0.01294,0.00683,-0.00035,0.00819,0.00074,0.00436,0.01914,0.00906
roms_wind_speed,0.00595,0.01117,0.01377,0.00824,-0.00131,0.0213,0.00257,0.00631,0.0258,0.01147
C_DINI,0.04012,0.01376,0.01294,0.00447,-0.00226,0.00063,-0.00616,0.0085,0.00189,0.00731
C_FLH_681,0.02786,0.01234,0.00911,0.00783,-0.0022,0.00068,0.00034,0.00442,0.0073,0.00885
C_Blue_Red_Ratio,0.0257,0.01587,0.01516,0.00715,-0.00226,0.00082,-0.00306,0.00488,0.00669,0.00625
C_CI,0.01534,0.01079,0.00664,0.00847,-0.00074,0.00125,-0.00494,0.00247,0.02571,0.01073
C_rrs_754,0.03111,0.01155,0.00745,0.00373,0.00237,0.01186,-0.00275,0.00473,0.00033,0.00576
roms_wind_dir,0.0203,0.01354,0.00311,0.00689,-0.01017,0.01273,0.00907,0.00926,0.01507,0.01304
C_BlueGreen_Ratio,0.01698,0.0113,0.00813,0.00719,0.00394,0.01273,-0.00204,0.00692,0.00908,0.01255
roms_Vwind,0.01534,0.00857,0.01092,0.00863,-0.00423,0.00135,-0.00489,0.00579,0.01696,0.00972
roms_current_speed,0.02817,0.01162,0.00612,0.00776,0.00031,0.0011,-0.00934,0.00561,0.00714,0.00987
C_Fluorescence_Peak,0.0174,0.01357,0.00419,0.00623,-0.00163,0.00106,-0.0038,0.00265,0.01558,0.00754
C_rrs_865,0.01978,0.01238,-0.00041,0.00496,0.00269,0.01066,-0.00531,0.00396,0.0134,0.00952
C_rrs_709,0.01952,0.00885,0.0039,0.00407,-0.0022,0.00077,-0.00365,0.004,0.00697,0.00895
roms_u_sur,0.01926,0.00676,0.002,0.00855,-0.00172,0.00601,0.00136,0.00759,0.00338,0.01104
C_NDCI,0.01314,0.01009,0.01237,0.00695,-0.00087,0.00612,0.00141,0.00417,-0.00283,0.00497
C_Green_Red_Ratio,0.01864,0.00795,-0.00353,0.00627,-0.00084,0.00094,-0.00605,0.00406,0.01472,0.01242
C_BLH,0.01021,0.01045,0.01096,0.00685,-0.00115,0.00601,-0.00397,0.00683,0.00336,0.0099
C_GBI,0.00528,0.0112,0.00673,0.00614,-0.00314,0.00104,-0.00423,0.00509,0.01179,0.00982
C_RedEdge_Ratio,0.01176,0.00982,0.00295,0.00807,-0.00267,0.00076,-0.00271,0.00479,0.00574,0.00625
C_FLHmax,0.01213,0.0072,0.00193,0.00404,-0.0029,0.00069,-0.00313,0.00417,0.00355,0.00729
C_EBI,0.00192,0.00458,0.00729,0.00365,-0.0005,0.00055,0.0,0.0,0.0,0.0
C_NDNI,0.00124,0.00816,0.01368,0.00876,0.00086,0.01139,-0.00527,0.00493,-0.00193,0.00597
