feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.26472,0.05153,0.16186,0.07986,0.0,0.0,0.17985,0.05502,0.0,0.0
doy_cos,0.28967,0.05809,0.06437,0.05812,0.0,0.0,0.2325,0.04574,0.0,0.0
A_MCI,0.19902,0.06733,0.09644,0.04853,0.0,0.0,0.14747,0.04367,0.0,0.0
A_BlueGreen_Ratio,0.10122,0.03182,0.16147,0.07079,0.0,0.0,0.13084,0.05359,0.0,0.0
A_GLH,0.06575,0.03019,0.10559,0.07362,0.0,0.0,0.08249,0.0369,0.0,0.0
A_Red_NIR_Ratio,0.20752,0.06348,0.00263,0.02049,0.0,0.0,0.02922,0.01873,0.0,0.0
A_NDWI,0.04402,0.04075,0.00914,0.0269,0.0,0.0,0.09027,0.05145,0.0,0.0
A_rrs_412,0.03112,0.02299,0.08047,0.04405,0.0,0.0,0.03098,0.02169,0.0,0.0
A_rrs_560,0.03935,0.03622,0.07321,0.05755,0.0,0.0,0.0267,0.02067,0.0,0.0
A_KBBI,0.09073,0.03695,-0.00753,0.00493,0.0,0.0,0.04013,0.02801,0.0,0.0
A_NDCI,0.05208,0.04708,0.00398,0.01772,0.0,0.0,0.04018,0.01485,0.0,0.0
A_FLH_665,0.00245,0.01632,0.02248,0.00879,0.0,0.0,0.06461,0.02595,0.0,0.0
A_RedEdge_Ratio,0.02528,0.03253,0.02367,0.0521,0.0,0.0,0.04012,0.01524,0.0,0.0
A_BLH,0.05674,0.02272,0.00199,0.03073,0.0,0.0,0.02919,0.01952,0.0,0.0
A_Blue_Red_Ratio,0.02909,0.02081,0.05707,0.04229,0.0,0.0,-0.00084,0.00738,0.0,0.0
A_rrs_754,0.02084,0.02377,0.02183,0.03968,0.0,0.0,0.0387,0.02167,0.0,0.0
A_FLH_681,0.04124,0.02875,-0.00154,0.01461,0.0,0.0,0.0296,0.02213,0.0,0.0
A_DINI,0.03843,0.01841,-0.00515,0.02323,0.0,0.0,0.02733,0.01941,0.0,0.0
A_RBD,0.03584,0.02776,-0.01015,0.01699,0.0,0.0,0.0333,0.0194,0.0,0.0
A_rrs_865,0.0165,0.02071,0.00559,0.01677,0.0,0.0,0.02888,0.01733,0.0,0.0
A_rrs_682,0.03585,0.03508,-0.0109,0.00704,0.0,0.0,0.02447,0.02096,0.0,0.0
A_FLHmax,0.01684,0.02143,-0.00054,0.00234,0.0,0.0,0.03088,0.02119,0.0,0.0
A_GBI,-0.0031,0.01108,-0.0108,0.01213,0.0,0.0,0.05254,0.03489,0.0,0.0
A_Green_Red_Ratio,0.0336,0.03132,-0.00447,0.01722,0.0,0.0,0.0074,0.01316,0.0,0.0
A_Fluorescence_Peak,0.01398,0.03674,-0.00968,0.00323,0.0,0.0,0.00889,0.02065,0.0,0.0
A_rrs_665,0.00426,0.02022,0.00352,0.01644,0.0,0.0,0.00339,0.01084,0.0,0.0
A_NDNI,0.00447,0.01836,-0.00591,0.00535,0.0,0.0,0.00946,0.01968,0.0,0.0
A_CI,0.00139,0.01853,0.0155,0.02953,0.0,0.0,-0.00985,0.02171,0.0,0.0
A_rrs_490,-0.00551,0.02298,-0.00914,0.00384,0.0,0.0,0.01867,0.02197,0.0,0.0
A_EBI,0.0,0.0,-0.00269,0.00466,0.0,0.0,-0.0001,0.01251,0.0,0.0
A_rrs_709,0.01443,0.02125,-0.01255,0.00643,0.0,0.0,-0.00808,0.01865,0.0,0.0
