feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.20142,0.04023,0.11784,0.03686,0.04791,0.03218,0.29332,0.03,0.15057,0.03906
doy_cos,0.25798,0.05229,-0.00946,0.0128,0.05861,0.02466,0.32858,0.0337,0.12977,0.02348
A_MCI,0.04283,0.02365,0.0079,0.01884,0.04138,0.03379,0.09818,0.01978,0.05927,0.01732
A_FLH_665,0.04662,0.02383,-0.02206,0.01695,0.06207,0.02069,0.0764,0.01509,0.02031,0.01509
A_GLH,0.0319,0.03179,-0.0005,0.03036,0.02266,0.03398,0.06871,0.02587,0.04605,0.02315
A_NDWI,0.02029,0.02351,-0.01176,0.02058,0.06897,0.0,0.09486,0.0218,-0.00639,0.01702
A_rrs_560,0.02176,0.01676,0.00269,0.0141,0.05505,0.02784,0.02796,0.00761,0.03522,0.01761
A_BlueGreen_Ratio,0.02271,0.04266,-0.02411,0.02017,0.01281,0.0281,0.07969,0.02338,0.04918,0.02493
A_rrs_490,0.03412,0.02012,0.00103,0.015,0.0623,0.02,0.03527,0.00899,0.00637,0.01224
A_rrs_412,0.02571,0.01776,0.00974,0.02012,0.05135,0.03051,0.03794,0.01239,0.01429,0.01563
A_BLH,0.02899,0.0268,-0.03783,0.01425,0.0548,0.02833,0.05379,0.01362,0.03012,0.01754
A_RedEdge_Ratio,0.03943,0.02267,0.00055,0.01735,0.02759,0.03379,0.05604,0.01196,0.00615,0.01807
A_rrs_754,0.01762,0.01333,0.00084,0.01258,0.06897,0.0,0.03096,0.01231,0.00965,0.0124
A_KBBI,0.03692,0.025,0.0104,0.01855,0.03103,0.03431,0.03831,0.00998,0.00881,0.01525
A_NDCI,0.06015,0.0222,0.00317,0.02307,0.04483,0.03289,0.0076,0.00761,0.003,0.01799
A_Red_NIR_Ratio,0.01865,0.02647,0.00452,0.01597,0.06897,0.0,0.01184,0.00623,0.00519,0.01235
A_NDNI,0.01585,0.01532,0.00926,0.01104,0.05517,0.02759,0.02037,0.01108,0.00343,0.00967
A_Green_Red_Ratio,0.00757,0.0145,0.009,0.01361,0.06897,0.0,0.01889,0.00863,-0.00187,0.01066
A_rrs_665,0.00866,0.01474,0.0078,0.01228,0.06897,0.0,0.01491,0.00944,-0.00287,0.01448
A_FLH_681,0.03894,0.01634,0.012,0.01337,0.04161,0.03351,0.0142,0.00641,-0.00942,0.01099
A_rrs_709,0.01745,0.01978,-0.00552,0.01428,0.06897,0.0,0.00639,0.00805,0.00029,0.00921
A_CI,0.01657,0.02489,-0.00676,0.01404,0.06195,0.02106,0.02107,0.0096,-0.01259,0.01204
A_GBI,0.01631,0.0162,0.02337,0.01113,0.04494,0.03274,0.01173,0.00932,-0.02075,0.00826
A_rrs_865,0.03143,0.01588,-0.03053,0.01601,0.06897,0.0,0.00745,0.00792,-0.00685,0.01217
A_RBD,0.01262,0.01728,0.00793,0.0126,0.03448,0.03448,0.02792,0.01194,-0.01355,0.01323
A_DINI,0.01986,0.02032,-0.00061,0.01456,0.06207,0.02069,0.00113,0.01,-0.01383,0.01933
A_Fluorescence_Peak,0.00625,0.01169,-0.01748,0.01001,0.06897,0.0,0.00851,0.00765,-0.01547,0.00826
A_Blue_Red_Ratio,0.00047,0.01147,-0.01076,0.01144,0.05862,0.02463,0.00391,0.00785,-0.00639,0.00999
A_EBI,0.00494,0.00923,0.01285,0.01718,0.0,0.0,0.00498,0.00865,-0.00699,0.00537
A_rrs_682,-0.01513,0.01474,0.00823,0.01372,0.02414,0.03289,0.01172,0.00877,-0.01812,0.01447
A_FLHmax,0.00766,0.01377,-0.04371,0.0178,0.04138,0.03379,0.01063,0.00654,-0.01373,0.01139
