feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.20001,0.06069,0.08311,0.04773,0.0,0.0,0.16675,0.04812,0.0,0.0
A_BlueGreen_Ratio,0.13484,0.07251,0.14939,0.05208,0.0,0.0,0.13346,0.04963,0.0,0.0
doy_sin,0.15769,0.03608,0.05872,0.03763,0.0,0.0,0.17379,0.03528,0.0,0.0
roms_salt_sur,0.04366,0.03304,0.08661,0.06047,0.0,0.0,0.24022,0.05386,0.0,0.0
roms_zeta,0.20927,0.05109,0.09257,0.02735,0.0,0.0,0.0075,0.01313,0.0,0.0
A_GLH,0.1092,0.03753,0.15391,0.04,0.0,0.0,0.03435,0.02783,0.0,0.0
A_rrs_560,0.05757,0.05281,0.15439,0.03906,0.0,0.0,0.0757,0.03474,0.0,0.0
A_MCI,0.11354,0.03011,0.07885,0.01809,0.0,0.0,0.07803,0.04112,0.0,0.0
roms_temp_sur,0.11867,0.04994,0.0415,0.0415,0.0,0.0,0.10747,0.05098,0.0,0.0
A_CI,0.10682,0.03283,0.07917,0.06527,0.0,0.0,0.06254,0.01814,0.0,0.0
A_RBD,0.09317,0.04593,0.10487,0.05696,0.0,0.0,0.01332,0.02892,0.0,0.0
A_rrs_665,0.03102,0.03255,0.16915,0.02076,0.0,0.0,0.00679,0.01181,0.0,0.0
A_BLH,0.07575,0.03723,0.1185,0.06085,0.0,0.0,0.01091,0.01649,0.0,0.0
A_NDWI,0.08841,0.03659,0.07069,0.04899,0.0,0.0,0.04374,0.0364,0.0,0.0
A_Blue_Red_Ratio,0.06021,0.02965,0.07539,0.01736,0.0,0.0,0.06219,0.01552,0.0,0.0
A_DINI,0.10132,0.03853,0.07799,0.06675,0.0,0.0,0.01547,0.02138,0.0,0.0
A_NDNI,0.02371,0.02344,0.13812,0.05862,0.0,0.0,0.00952,0.02089,0.0,0.0
A_rrs_865,0.05658,0.03035,0.07976,0.0407,0.0,0.0,0.02831,0.02462,0.0,0.0
A_rrs_490,0.01035,0.0173,0.1501,0.04124,0.0,0.0,0.0018,0.00994,0.0,0.0
A_RedEdge_Ratio,0.02545,0.02292,0.0668,0.05196,0.0,0.0,0.06354,0.03083,0.0,0.0
A_Red_NIR_Ratio,0.05767,0.03897,0.0419,0.05013,0.0,0.0,0.04709,0.01658,0.0,0.0
roms_v_sur,0.05046,0.02953,0.06773,0.07139,0.0,0.0,0.02732,0.02485,0.0,0.0
roms_wind_dir,0.02816,0.01542,0.06909,0.05677,0.0,0.0,0.04528,0.02635,0.0,0.0
roms_wind_speed,0.01698,0.02289,0.02085,0.06391,0.0,0.0,0.09061,0.03711,0.0,0.0
A_NDCI,0.0209,0.02941,0.02476,0.03739,0.0,0.0,0.08042,0.03244,0.0,0.0
roms_Vwind,0.01923,0.0181,0.07608,0.04504,0.0,0.0,0.02729,0.0241,0.0,0.0
A_FLH_665,0.0393,0.03153,0.00435,0.00355,0.0,0.0,0.0782,0.03955,0.0,0.0
A_FLH_681,0.03537,0.01786,0.05395,0.03959,0.0,0.0,0.02541,0.02346,0.0,0.0
A_rrs_682,0.0601,0.03855,0.0419,0.05013,0.0,0.0,0.01251,0.01873,0.0,0.0
roms_current_dir,0.03084,0.03125,0.05943,0.05443,0.0,0.0,0.01801,0.01799,0.0,0.0
roms_Uwind,0.022,0.01972,0.06685,0.05102,0.0,0.0,0.01672,0.00878,0.0,0.0
A_rrs_754,0.01138,0.0144,0.09209,0.02727,0.0,0.0,-0.00103,0.00669,0.0,0.0
A_EBI,0.01817,0.01055,0.0832,0.00086,0.0,0.0,0.0,0.0,0.0,0.0
A_GBI,0.07768,0.03482,0.00069,0.00324,0.0,0.0,0.02257,0.02473,0.0,0.0
A_Fluorescence_Peak,0.0658,0.04494,0.00393,0.01715,0.0,0.0,0.02752,0.02663,0.0,0.0
roms_u_sur,0.01259,0.02363,0.08293,0.03898,0.0,0.0,0.0014,0.00242,0.0,0.0
A_rrs_709,0.02014,0.02576,0.00255,0.02629,0.0,0.0,0.06139,0.01386,0.0,0.0
roms_Pair,0.02377,0.01841,0.05191,0.04098,0.0,0.0,0.00515,0.02741,0.0,0.0
A_Green_Red_Ratio,0.03598,0.03931,0.0415,0.0415,0.0,0.0,0.00252,0.00278,0.0,0.0
A_KBBI,0.00122,0.01161,0.06904,0.06443,0.0,0.0,0.00414,0.01845,0.0,0.0
roms_current_speed,0.02166,0.02838,0.02798,0.04014,0.0,0.0,0.00352,0.00907,0.0,0.0
A_FLHmax,0.00394,0.01457,0.02075,0.03594,0.0,0.0,0.01338,0.02013,0.0,0.0
A_rrs_412,0.00118,0.02068,0.0,0.0,0.0,0.0,0.02201,0.01763,0.0,0.0
