feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.1387,0.03461,0.15934,0.03486,0.0,0.0,0.19141,0.0293,0.07207,0.02505
roms_salt_sur,0.02813,0.02232,-0.00171,0.01697,-0.00357,0.01557,0.26532,0.0225,0.08717,0.03345
doy_cos,0.15847,0.04596,0.00593,0.00724,0.0,0.0,0.11436,0.0207,0.09534,0.02633
roms_zeta,0.10812,0.05119,-0.00588,0.01801,0.0,0.0,0.05954,0.0105,0.11411,0.02417
roms_temp_sur,0.03686,0.02809,0.00643,0.01073,0.0,0.0,0.09787,0.0161,0.0587,0.02219
A_MCI,0.04484,0.02902,0.00271,0.01091,0.0,0.0,0.0308,0.01105,0.06747,0.01512
A_BlueGreen_Ratio,0.00558,0.02312,0.02887,0.02616,0.0,0.0,0.06047,0.01627,0.01915,0.01812
A_rrs_560,0.00938,0.01754,0.02197,0.01123,0.0,0.0,0.03811,0.00848,0.03809,0.01729
A_RedEdge_Ratio,0.03076,0.02017,0.01587,0.00947,0.0,0.0,0.01655,0.00623,0.03667,0.02073
roms_Vwind,0.03451,0.01431,-0.0219,0.01127,0.0,0.0,0.05933,0.01077,0.01673,0.01395
A_GLH,0.00359,0.0116,0.00208,0.0235,0.0,0.0,0.06182,0.0142,0.01987,0.01575
roms_Pair,0.01919,0.01807,-0.02167,0.01482,0.0,0.0,0.05255,0.01456,0.02982,0.01215
A_Green_Red_Ratio,-0.00635,0.01245,0.00903,0.01427,0.0,0.0,0.0308,0.00949,0.03935,0.01574
A_NDCI,-0.00165,0.00726,0.01528,0.01289,-0.00357,0.01557,0.0183,0.00845,0.03958,0.01853
A_rrs_412,-0.00825,0.0044,0.01984,0.01122,0.0,0.0,0.04357,0.01206,0.01012,0.01162
A_Blue_Red_Ratio,0.00341,0.01662,0.01076,0.01283,0.0,0.0,0.02601,0.01286,0.02264,0.0128
A_CI,-0.00057,0.0143,0.00149,0.01167,0.0,0.0,0.02756,0.01268,0.033,0.01003
A_NDNI,-0.00395,0.00808,0.00468,0.01027,0.0,0.0,0.04298,0.0079,0.01635,0.00988
A_GBI,-0.00262,0.00289,0.01279,0.01195,0.0,0.0,0.03653,0.01001,0.01112,0.01081
A_BLH,-0.02062,0.01035,-0.00254,0.01065,0.0,0.0,0.05584,0.00989,0.02299,0.0167
roms_wind_speed,0.00382,0.01622,-0.02818,0.0077,0.0,0.0,0.05783,0.01477,0.02094,0.01594
roms_Uwind,0.00597,0.01964,-0.02102,0.01319,0.0,0.0,0.039,0.00723,0.02759,0.01203
A_NDWI,-0.00371,0.00918,-0.0022,0.01125,0.0,0.0,0.05364,0.00952,0.00236,0.01137
roms_v_sur,-0.00122,0.01155,0.01179,0.0192,0.0,0.0,0.03512,0.00904,0.00427,0.01586
A_FLH_665,0.00451,0.00225,-0.00018,0.01062,0.0,0.0,0.05313,0.0097,-0.00801,0.0127
A_rrs_665,0.00137,0.00442,0.0017,0.01194,0.0,0.0,0.00824,0.00742,0.0319,0.01273
A_Red_NIR_Ratio,0.01869,0.01952,-0.00651,0.0111,0.0,0.0,0.02176,0.01381,0.0087,0.01264
A_rrs_490,0.00272,0.01167,-0.00226,0.01137,0.0,0.0,0.01114,0.00642,0.02735,0.01553
A_rrs_709,0.00158,0.00792,0.00489,0.00992,0.0,0.0,0.02073,0.01055,0.01142,0.00935
A_rrs_865,-0.00058,0.00175,-0.00453,0.01121,0.0,0.0,0.03615,0.0115,0.00451,0.00892
A_Fluorescence_Peak,-0.00512,0.00852,0.0087,0.00955,0.0,0.0,0.00455,0.00594,0.02539,0.01079
A_FLHmax,-0.00736,0.00454,-0.00012,0.00953,0.0,0.0,0.01728,0.00647,0.02283,0.012
roms_current_dir,-0.00203,0.0101,0.00758,0.01057,0.0,0.0,0.00905,0.00603,0.01549,0.01828
A_EBI,0.00338,0.00276,0.01107,0.00765,0.0,0.0,0.00803,0.00827,0.00471,0.01174
A_DINI,0.00459,0.01291,-0.00523,0.0098,0.0,0.0,0.01079,0.00918,0.01704,0.01529
A_rrs_754,-0.00522,0.01045,0.00864,0.00722,0.0,0.0,0.00793,0.00656,0.01395,0.0124
A_rrs_682,-0.00444,0.01467,-0.00517,0.00763,0.0,0.0,0.00665,0.00906,0.02823,0.01657
A_KBBI,-0.00265,0.00425,-0.00018,0.01279,0.0,0.0,0.0157,0.00817,0.01107,0.01198
A_RBD,-0.00108,0.01367,-0.00277,0.01574,0.0,0.0,0.01568,0.00792,0.0084,0.01308
A_FLH_681,-0.00176,0.00369,-0.00706,0.01099,0.0,0.0,0.02934,0.00872,-0.0064,0.01456
roms_wind_dir,0.00911,0.01353,-0.01645,0.01009,0.0,0.0,0.02434,0.00797,-0.00847,0.01724
roms_u_sur,-0.01426,0.01121,-0.00417,0.00996,0.0,0.0,0.0063,0.00646,0.00313,0.01264
roms_current_speed,-0.00407,0.00267,-0.01221,0.01325,-0.03461,0.03461,0.00858,0.00669,-0.00074,0.0114
