feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.17258,0.04316,-0.00039,0.00416,0.0,0.0,0.19196,0.0458,0.0,0.0
doy_sin,0.14503,0.04167,0.00525,0.004,0.0,0.0,0.14915,0.02828,0.0,0.0
B_GLH,-0.01188,0.03346,0.08615,0.02076,0.0,0.0,0.05763,0.03088,0.0,0.0
B_Green_Red_Ratio,0.02995,0.03199,0.03158,0.04356,0.0,0.0,0.06116,0.01907,0.0,0.0
B_BlueGreen_Ratio,0.02919,0.03082,-0.00807,0.01922,0.0,0.0,0.0921,0.02956,0.0,0.0
B_rrs_754,-0.00151,0.01975,-0.00051,0.00291,0.0,0.0,0.11393,0.042,0.0,0.0
B_NDWI,0.02139,0.0188,-0.00027,0.00245,0.0,0.0,0.06979,0.01631,0.0,0.0
B_FLHmax,0.08606,0.03942,0.00036,0.00221,0.0,0.0,0.00275,0.02205,0.0,0.0
B_RedEdge_Ratio,0.01375,0.02444,-0.00902,0.03342,0.0,0.0,0.06921,0.01442,0.0,0.0
B_Red_NIR_Ratio,-0.00816,0.02089,-0.00303,0.00198,0.0,0.0,0.08166,0.03052,0.0,0.0
B_rrs_673,0.02201,0.02033,-0.00137,0.00326,0.0,0.0,0.04337,0.02801,0.0,0.0
B_rrs_490,-0.01091,0.00433,-0.01277,0.02606,0.0,0.0,0.07749,0.03861,0.0,0.0
B_FLH_665,0.05274,0.02439,-0.02181,0.03633,0.0,0.0,0.02233,0.02617,0.0,0.0
B_EBI,0.01238,0.01809,-0.00303,0.00198,0.0,0.0,0.03896,0.03191,0.0,0.0
B_MCI,0.01262,0.02525,0.00129,0.00346,0.0,0.0,0.03334,0.01493,0.0,0.0
B_rrs_865,-0.00465,0.01099,0.00178,0.00197,0.0,0.0,0.04981,0.03392,0.0,0.0
B_BLH,0.04917,0.02267,-0.00292,0.0038,0.0,0.0,-0.0011,0.03065,0.0,0.0
B_rrs_412,0.02362,0.0207,-0.00411,0.00094,0.0,0.0,0.02517,0.02146,0.0,0.0
B_Blue_Red_Ratio,-0.04595,0.01483,-0.0039,0.0013,0.0,0.0,0.08828,0.03108,0.0,0.0
B_RBD,0.00566,0.01818,-0.00262,0.00247,0.0,0.0,0.0314,0.0306,0.0,0.0
B_rrs_709,-0.00641,0.02793,-0.0009,0.00252,0.0,0.0,0.0385,0.01393,0.0,0.0
B_GBI,-0.01153,0.0381,-0.00435,0.00144,0.0,0.0,0.03997,0.02753,0.0,0.0
B_rrs_682,0.01424,0.02413,-0.0024,0.0025,0.0,0.0,0.00572,0.02753,0.0,0.0
B_NDNI,-0.0055,0.01786,-0.04958,0.04103,0.0,0.0,0.06449,0.01123,0.0,0.0
B_NDCI,0.01496,0.02006,-0.04481,0.0424,0.0,0.0,0.02791,0.0064,0.0,0.0
B_CI,0.01678,0.0384,-0.00348,0.00214,0.0,0.0,-0.02069,0.0329,0.0,0.0
B_FLH_681,0.01517,0.0282,-0.01147,0.02034,0.0,0.0,-0.01542,0.03516,0.0,0.0
B_rrs_560,-0.0188,0.02418,-0.03408,0.0411,0.0,0.0,0.0388,0.02675,0.0,0.0
B_DINI,-0.02077,0.01318,-0.05847,0.04137,0.0,0.0,0.04242,0.03588,0.0,0.0
B_KBBI,0.01627,0.02252,-0.05094,0.04267,0.0,0.0,-0.00817,0.03953,0.0,0.0
B_rrs_665,0.00722,0.02393,-0.00962,0.02898,0.0,0.0,-0.05295,0.02081,0.0,0.0
B_Fluorescence_Peak,-0.01466,0.0252,-0.00173,0.00212,0.0,0.0,-0.04137,0.02683,0.0,0.0
