feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.27545,0.03328,0.04201,0.02643,0.0,0.0,0.20662,0.03005,0.12493,0.02499
doy_cos,0.25932,0.05043,0.00391,0.01283,0.0,0.0,0.14248,0.02292,0.1291,0.03447
B_FLH_681,0.16832,0.04017,-0.01562,0.00677,0.0,0.0,0.00894,0.00931,0.02811,0.02816
B_FLHmax,0.16585,0.04701,-0.03868,0.01255,0.0,0.0,0.018,0.01333,0.02793,0.03075
B_DINI,0.16355,0.03041,-0.02702,0.01848,0.0,0.0,0.015,0.0129,-0.04538,0.03258
B_BlueGreen_Ratio,0.02587,0.03424,-0.01074,0.01956,0.0,0.0,0.06857,0.01556,0.01636,0.01887
B_CI,0.07467,0.04022,-0.01464,0.01269,0.0,0.0,0.0179,0.00691,-0.00391,0.01589
B_RBD,0.03713,0.02268,0.00111,0.00681,0.0,0.0,0.00173,0.00946,0.01979,0.02065
B_Green_Red_Ratio,0.04984,0.03117,-0.00594,0.01043,0.0,0.0,0.00668,0.00701,0.00231,0.01425
B_BLH,0.01752,0.03075,-4e-05,0.00932,0.0,0.0,0.03653,0.01375,-0.00134,0.01396
B_rrs_490,0.02369,0.02185,-0.00564,0.01289,0.0,0.0,0.03254,0.01573,-0.0012,0.01656
B_NDNI,0.03771,0.02663,-0.01909,0.00931,0.0,0.0,0.01981,0.00871,0.00435,0.01481
B_NDCI,-0.01929,0.02883,0.00928,0.014,0.0,0.0,0.05195,0.0069,-0.00536,0.01522
B_RedEdge_Ratio,0.01298,0.03063,0.01331,0.00994,0.0,0.0,0.01564,0.00709,-0.01133,0.01193
B_MCI,0.01531,0.0214,-0.00427,0.01059,0.0,0.0,0.01907,0.00965,0.00046,0.01701
B_rrs_412,0.05001,0.03132,-0.02178,0.01039,0.0,0.0,0.01821,0.00795,-0.01859,0.01783
B_rrs_665,0.02905,0.01881,-0.01335,0.00941,0.0,0.0,0.00814,0.00464,-0.0,0.01303
B_Fluorescence_Peak,0.03697,0.02472,0.00286,0.00776,0.0,0.0,0.00192,0.01039,-0.01915,0.01625
B_GLH,0.01076,0.04916,-0.02317,0.02003,0.0,0.0,0.03454,0.00939,-0.00027,0.01596
B_rrs_560,0.02023,0.02307,-0.02007,0.01059,0.0,0.0,0.00974,0.01119,0.00598,0.01752
B_Blue_Red_Ratio,0.04265,0.03788,-0.02721,0.01407,0.0,0.0,0.0048,0.00352,-0.00497,0.0138
B_NDWI,0.03093,0.01768,-0.01761,0.00936,0.0,0.0,0.03392,0.00519,-0.03258,0.01655
B_KBBI,0.05512,0.01895,-0.01571,0.01307,0.0,0.0,-0.00156,0.00601,-0.03137,0.02183
B_GBI,0.00604,0.01627,-0.02661,0.01135,0.0,0.0,0.01562,0.00528,0.00898,0.01823
B_rrs_682,0.01341,0.01869,-0.00231,0.00894,0.0,0.0,0.00078,0.00768,-0.01426,0.00888
B_rrs_709,0.00471,0.02167,-0.00404,0.01087,0.0,0.0,0.00521,0.00813,-0.01019,0.00486
B_rrs_673,0.02858,0.01545,-0.01653,0.01424,0.0,0.0,0.00155,0.01002,-0.02028,0.01312
B_Red_NIR_Ratio,-0.06356,0.01486,-0.00448,0.00991,0.0,0.0,0.08167,0.01372,-0.02383,0.01828
B_EBI,0.00996,0.0163,-0.01635,0.01001,0.0,0.0,0.01264,0.00715,-0.01837,0.0082
B_FLH_665,0.02651,0.02208,-0.04566,0.01449,0.0,0.0,0.00127,0.00995,0.00433,0.01594
B_rrs_865,-0.0021,0.01143,-0.01231,0.00902,0.0,0.0,-0.01088,0.0074,-0.01673,0.01377
B_rrs_754,-0.04702,0.0223,-0.0048,0.01187,0.0,0.0,0.00557,0.00734,-0.02339,0.01027
