feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.28293,0.04865,0.03556,0.04455,0.0,0.0,0.14483,0.02256,0.0,0.0
roms_salt_sur,0.14862,0.05131,0.05015,0.05801,0.0,0.0,0.22775,0.05788,0.0,0.0
doy_sin,0.22035,0.04607,0.05292,0.0392,0.0,0.0,0.0699,0.0245,0.0,0.0
roms_zeta,0.23557,0.05182,0.06768,0.02677,0.0,0.0,0.0167,0.00572,0.0,0.0
B_Red_NIR_Ratio,0.0778,0.03407,0.0083,0.0249,0.0,0.0,0.23247,0.02619,0.0,0.0
roms_temp_sur,0.16731,0.03747,0.06294,0.03349,0.0,0.0,0.07459,0.04765,0.0,0.0
roms_Vwind,0.10926,0.01945,0.06177,0.03297,0.0,0.0,0.13028,0.04599,0.0,0.0
B_FLHmax,0.2144,0.05529,0.041,0.04195,0.0,0.0,0.0073,0.01406,0.0,0.0
B_DINI,0.13513,0.05431,0.07327,0.01706,0.0,0.0,0.03368,0.01943,0.0,0.0
B_NDWI,0.02954,0.02208,0.00036,0.00158,0.0,0.0,0.19589,0.02378,0.0,0.0
B_rrs_490,0.02071,0.02052,0.04194,0.04202,0.0,0.0,0.11994,0.04259,0.0,0.0
B_GLH,0.029,0.02491,0.09955,0.03737,0.0,0.0,0.02166,0.02406,0.0,0.0
B_BlueGreen_Ratio,0.06023,0.02612,0.03872,0.04043,0.0,0.0,0.04441,0.03634,0.0,0.0
roms_wind_dir,0.09332,0.02706,0.04321,0.04237,0.0,0.0,-0.00306,0.01577,0.0,0.0
B_GBI,0.02475,0.02913,0.08785,0.0289,0.0,0.0,0.01372,0.01292,0.0,0.0
B_FLH_681,0.08395,0.0404,0.04575,0.04077,0.0,0.0,-0.00568,0.01492,0.0,0.0
roms_wind_speed,0.04834,0.03732,0.037,0.04263,0.0,0.0,0.03622,0.01763,0.0,0.0
B_rrs_560,0.03799,0.02662,0.02782,0.04176,0.0,0.0,0.05335,0.01837,0.0,0.0
roms_v_sur,0.05358,0.04329,0.03927,0.05135,0.0,0.0,0.00891,0.01702,0.0,0.0
B_MCI,0.04385,0.03605,0.01929,0.0399,0.0,0.0,0.02867,0.01919,0.0,0.0
B_Fluorescence_Peak,0.01346,0.02793,0.06219,0.03412,0.0,0.0,0.01592,0.0163,0.0,0.0
B_rrs_682,0.04536,0.02387,0.02075,0.03594,0.0,0.0,0.02281,0.01866,0.0,0.0
B_rrs_709,0.0218,0.04482,0.02621,0.04,0.0,0.0,0.03146,0.01917,0.0,0.0
B_BLH,0.05893,0.03404,0.0,0.0,0.0,0.0,0.01889,0.02484,0.0,0.0
B_rrs_665,0.01547,0.01573,0.03014,0.04108,0.0,0.0,0.03125,0.01546,0.0,0.0
B_RBD,0.0845,0.03545,0.00487,0.01805,0.0,0.0,-0.01804,0.01259,0.0,0.0
B_RedEdge_Ratio,0.00278,0.0339,0.0,0.0,0.0,0.0,0.06711,0.01224,0.0,0.0
roms_Uwind,0.03934,0.02594,0.04009,0.04315,0.0,0.0,-0.01243,0.00853,0.0,0.0
B_KBBI,0.05612,0.03304,-0.00063,0.01968,0.0,0.0,0.00987,0.01263,0.0,0.0
B_Green_Red_Ratio,0.02366,0.02753,0.00296,0.01858,0.0,0.0,0.0345,0.01874,0.0,0.0
B_rrs_412,0.05667,0.03464,-0.0004,0.00172,0.0,0.0,0.00266,0.00971,0.0,0.0
roms_Pair,0.02974,0.02906,0.0242,0.04055,0.0,0.0,-0.01043,0.01902,0.0,0.0
B_NDNI,0.02564,0.03795,0.01245,0.02964,0.0,0.0,0.00264,0.01676,0.0,0.0
B_FLH_665,0.02664,0.02293,0.01716,0.03346,0.0,0.0,-0.00677,0.00343,0.0,0.0
B_EBI,0.03643,0.02744,0.0,0.0,0.0,0.0,-0.00084,0.002,0.0,0.0
B_CI,0.00951,0.03463,0.03249,0.05004,0.0,0.0,-0.00829,0.01785,0.0,0.0
B_rrs_754,0.01331,0.01607,0.00181,0.00314,0.0,0.0,0.01581,0.02262,0.0,0.0
roms_current_dir,0.01261,0.04452,0.01004,0.02964,0.0,0.0,-0.01513,0.01124,0.0,0.0
roms_u_sur,-0.00158,0.02644,0.00036,0.00158,0.0,0.0,0.00252,0.00755,0.0,0.0
roms_current_speed,-0.01156,0.02173,0.01031,0.02509,0.0,0.0,0.00201,0.01555,0.0,0.0
B_Blue_Red_Ratio,-0.01778,0.03761,0.0,0.0,0.0,0.0,0.01683,0.01901,0.0,0.0
B_rrs_865,-0.02165,0.02599,0.00254,0.00346,0.0,0.0,0.01636,0.01201,0.0,0.0
B_NDCI,-0.00165,0.04517,0.00958,0.02527,0.0,0.0,-0.01081,0.01262,0.0,0.0
B_rrs_673,-0.00543,0.02552,0.0,0.0,0.0,0.0,-0.00515,0.00535,0.0,0.0
