feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.19073,0.0455,0.0453,0.01635,0.0,0.0,0.16186,0.02043,0.15102,0.02703
roms_salt_sur,0.09726,0.05062,0.04212,0.02281,0.0,0.0,0.14751,0.02731,0.15932,0.03097
doy_cos,0.28335,0.04791,-0.00817,0.01074,0.0,0.0,0.04728,0.01503,0.11618,0.04291
roms_zeta,0.19359,0.04195,-0.00928,0.00672,0.0,0.0,0.03295,0.01419,0.1549,0.02781
roms_temp_sur,0.1414,0.04373,0.01212,0.01255,0.0,0.0,0.0713,0.02309,0.10123,0.02655
B_DINI,0.10457,0.02791,0.00523,0.0076,0.0,0.0,0.01477,0.00657,0.05545,0.02356
roms_Pair,0.06333,0.03379,0.00107,0.01198,0.0,0.0,0.01768,0.011,0.05604,0.01705
roms_wind_dir,0.10194,0.0309,0.00079,0.00527,0.0,0.0,0.00695,0.00745,0.02197,0.02028
B_RBD,0.05611,0.02366,-0.00158,0.01111,0.0,0.0,0.01181,0.00366,0.06387,0.02028
B_FLHmax,0.09713,0.02207,-0.00077,0.00808,0.0,0.0,0.01397,0.00738,0.0127,0.02671
B_BlueGreen_Ratio,0.05146,0.02899,0.00231,0.01562,0.0,0.0,0.03049,0.00861,0.03531,0.02951
B_KBBI,0.03917,0.01877,0.01148,0.00445,0.0,0.0,0.00977,0.00753,0.05282,0.02174
B_GLH,0.05022,0.03174,0.00361,0.01229,0.0,0.0,0.01273,0.00867,0.04566,0.02371
roms_Vwind,0.07642,0.03381,0.01446,0.01054,0.0,0.0,0.00666,0.00548,0.01442,0.01484
B_FLH_665,0.06627,0.03493,0.00925,0.01179,0.0,0.0,0.00891,0.00791,0.01996,0.01222
B_FLH_681,0.06114,0.03115,0.01449,0.00922,0.0,0.0,6e-05,0.00817,0.02356,0.02497
roms_v_sur,0.05734,0.02183,0.01942,0.00925,0.0,0.0,-0.00327,0.00779,0.02516,0.0266
roms_wind_speed,0.03149,0.01969,0.00743,0.01046,0.0,0.0,0.01468,0.00877,0.04214,0.0156
B_rrs_560,0.00704,0.01955,0.00482,0.00993,0.0,0.0,0.00465,0.00587,0.07723,0.02515
B_BLH,0.01097,0.01571,0.00106,0.01207,0.0,0.0,0.02728,0.01331,0.04779,0.0203
B_NDWI,0.04223,0.0266,0.01289,0.00735,0.0,0.0,0.0057,0.00527,0.02276,0.01372
B_rrs_673,0.07262,0.02985,-0.00472,0.00767,0.0,0.0,0.00286,0.00546,0.0043,0.01264
roms_Uwind,-0.01086,0.01701,0.01239,0.01373,0.0,0.0,0.01449,0.00674,0.04504,0.02526
B_rrs_490,0.06147,0.02845,0.00054,0.00843,0.0,0.0,0.00054,0.01103,-0.00559,0.01339
roms_current_speed,0.02697,0.02046,0.01268,0.01019,0.0,0.0,0.00574,0.00427,0.00802,0.01499
B_NDCI,0.00987,0.0107,-0.00436,0.00716,0.0,0.0,0.00553,0.00666,0.04143,0.0165
B_rrs_412,0.05154,0.02843,0.00317,0.00809,0.0,0.0,-0.0044,0.00636,0.00194,0.01794
B_GBI,0.02649,0.02569,-0.0137,0.01252,0.0,0.0,0.0134,0.00548,0.02588,0.0195
roms_current_dir,0.01668,0.02186,0.01375,0.01037,0.0,0.0,-0.00052,0.0078,0.01532,0.01329
B_MCI,0.01378,0.02313,-0.00784,0.00833,0.0,0.0,0.00955,0.00835,0.02779,0.01292
B_rrs_865,0.04027,0.01215,-0.00332,0.00834,0.0,0.0,0.00224,0.00639,0.00345,0.00716
B_RedEdge_Ratio,0.00248,0.01466,-0.00154,0.00578,0.0,0.0,0.00666,0.00617,0.02601,0.02025
B_Blue_Red_Ratio,0.00281,0.01708,-0.00734,0.0071,0.0,0.0,0.01234,0.00992,0.0241,0.01455
B_rrs_709,0.01707,0.01779,0.0014,0.00866,0.0,0.0,-0.00623,0.00483,0.01684,0.00795
B_Fluorescence_Peak,0.02719,0.0168,0.0053,0.00862,0.0,0.0,-0.01292,0.00748,0.00604,0.01233
B_rrs_665,-0.0049,0.01599,0.00266,0.01156,0.0,0.0,-0.00427,0.00598,0.03055,0.01583
B_Green_Red_Ratio,0.01036,0.01459,-0.01109,0.00821,0.0,0.0,-0.00263,0.00809,0.02591,0.01562
B_NDNI,0.02303,0.01568,-0.0089,0.00576,0.0,0.0,0.01017,0.0068,-0.00197,0.01371
B_EBI,0.01073,0.01255,-0.00209,0.00482,0.0,0.0,0.00096,0.00497,0.00686,0.01062
B_rrs_682,0.00974,0.01711,0.00123,0.00515,0.0,0.0,-0.00931,0.00692,0.01238,0.01259
B_Red_NIR_Ratio,0.0002,0.0179,0.01073,0.01069,0.0,0.0,0.02152,0.01111,-0.01899,0.01153
B_rrs_754,0.01125,0.01669,-0.00183,0.01358,0.0,0.0,0.01112,0.00602,-0.01596,0.01297
roms_u_sur,-0.00502,0.01162,0.00612,0.0069,0.0,0.0,-0.01015,0.00724,-0.00406,0.01579
B_CI,-0.0063,0.01023,-0.00785,0.00823,0.0,0.0,-0.00026,0.00804,0.00058,0.01155
