feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.03777,0.03035,0.03564,0.03967,0.0,0.0,0.18527,0.04724,0.03439,0.04294
doy_sin,0.05658,0.0364,0.02342,0.00948,0.0,0.0,0.17424,0.04764,0.01265,0.03124
C_RBD,0.00323,0.03652,0.02885,0.04094,0.0,0.0,0.02014,0.00507,0.08696,0.0
C_KBBI,0.04059,0.03199,-0.00467,0.00834,0.0,0.0,0.00036,0.01092,0.08261,0.01895
C_rrs_490,0.03557,0.03549,-0.00638,0.00669,0.0,0.0,0.08592,0.04245,0.0,0.0
C_Red_NIR_Ratio,0.02983,0.02072,-0.00048,0.00467,0.0,0.0,0.02535,0.02635,0.05652,0.04148
C_BlueGreen_Ratio,0.02766,0.02592,-0.00101,0.00743,0.0,0.0,0.06724,0.02409,-0.0002,0.00086
C_rrs_665,0.04369,0.03131,0.02472,0.03233,0.0,0.0,0.0073,0.01996,0.0,0.0
C_FLH_665,0.06565,0.03332,0.00569,0.0073,0.0,0.0,0.00256,0.0138,0.0,0.0
C_DINI,0.01346,0.01606,-0.01798,0.0075,0.0,0.0,0.04075,0.02922,0.03478,0.0426
C_FLHmax,0.0456,0.02108,-0.01481,0.00938,0.0,0.0,0.00125,0.01212,0.03696,0.04523
C_NDWI,0.02718,0.03053,0.00323,0.00529,0.0,0.0,-0.00414,0.00266,0.03913,0.04326
C_BLH,0.01501,0.01632,0.02947,0.00788,0.0,0.0,0.01441,0.02544,0.00415,0.01902
C_rrs_560,-0.01185,0.0273,0.00679,0.00556,0.0,0.0,0.01921,0.02139,0.04348,0.04348
C_rrs_754,0.04065,0.01775,0.00559,0.00423,0.0,0.0,-0.00255,0.00225,0.0,0.0
C_rrs_682,0.04229,0.02479,-0.00227,0.00528,0.0,0.0,-0.00419,0.01344,0.0,0.0
C_rrs_412,0.01612,0.01486,0.00291,0.00894,0.0,0.0,0.01654,0.01961,0.0,0.0
C_FLH_681,0.03866,0.02386,-0.00565,0.00677,0.0,0.0,0.00236,0.01447,0.0,0.0
C_RedEdge_Ratio,0.03414,0.01636,0.00802,0.00921,0.0,0.0,-0.00713,0.00161,0.0,0.0
C_Fluorescence_Peak,0.03525,0.02608,-0.0012,0.00508,0.0,0.0,-0.00372,0.00085,0.0,0.0
C_GLH,0.00065,0.00637,0.01269,0.00451,0.0,0.0,0.01396,0.01553,0.0,0.0
C_rrs_865,0.02562,0.01799,-0.00144,0.00812,0.0,0.0,0.0,0.0,0.0,0.0
C_MCI,0.0309,0.019,-0.00524,0.01303,0.0,0.0,-0.00177,0.00232,0.0,0.0
C_NDNI,0.02084,0.01502,-0.00257,0.00424,0.0,0.0,-0.00216,0.00264,0.0,0.0
C_GBI,-0.00894,0.01728,-0.00305,0.00622,0.0,0.0,0.02545,0.02092,0.0,0.0
C_CI,0.02873,0.01952,-0.00893,0.00519,0.0,0.0,-0.00834,0.00568,0.0,0.0
C_Blue_Red_Ratio,0.01272,0.01981,-0.00141,0.00774,0.0,0.0,-0.00473,0.00239,0.0,0.0
C_rrs_673,0.02249,0.01947,-0.00935,0.00585,0.0,0.0,-0.00679,0.01653,0.0,0.0
C_Green_Red_Ratio,0.01213,0.01937,-0.007,0.0096,0.0,0.0,-0.00485,0.00739,0.0,0.0
C_rrs_709,-0.00109,0.00273,0.0037,0.00801,0.0,0.0,-0.00553,0.00265,0.0,0.0
C_EBI,0.0,0.0,-0.00072,0.00217,0.0,0.0,-0.00391,0.0,0.0,0.0
C_NDCI,-0.00341,0.00751,0.00518,0.00572,0.0,0.0,-0.00693,0.00174,0.0,0.0
