feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.03183,0.02026,0.07797,0.02881,0.0,0.0,0.31624,0.03448,0.11279,0.03748
doy_cos,0.00328,0.05107,-0.0485,0.01798,0.0,0.0,0.31045,0.04124,0.00868,0.01702
C_FLH_665,-0.0164,0.00852,-0.02462,0.01397,0.0,0.0,0.05935,0.01389,0.06433,0.01669
C_rrs_490,0.0091,0.01201,0.00404,0.01013,0.0,0.0,0.02624,0.01307,0.03421,0.01993
C_BlueGreen_Ratio,-0.00156,0.01867,0.00665,0.02388,0.0,0.0,0.0344,0.01997,0.01824,0.01129
C_Fluorescence_Peak,-0.00757,0.0042,0.00184,0.01465,0.0,0.0,0.02896,0.01545,0.01913,0.01643
C_rrs_754,0.01819,0.01061,-0.0074,0.01554,0.0,0.0,0.03498,0.0143,-0.00525,0.01442
C_rrs_560,0.00555,0.01589,-0.01643,0.01454,0.0,0.0,0.02925,0.01631,0.01149,0.01483
C_Green_Red_Ratio,0.01693,0.01163,-0.03148,0.01523,0.0,0.0,0.00696,0.01056,0.03351,0.01382
C_KBBI,0.01693,0.02588,-0.01968,0.01832,0.0,0.0,0.02071,0.01488,0.00633,0.01856
C_NDNI,0.00357,0.00956,0.00547,0.01475,0.0,0.0,0.00707,0.00896,0.00355,0.01426
C_Blue_Red_Ratio,-0.00936,0.00277,-0.00724,0.00997,0.0,0.0,0.01277,0.01041,0.0222,0.0091
C_RedEdge_Ratio,-0.01354,0.0122,-0.0106,0.01915,0.0,0.0,0.02826,0.01193,0.01272,0.01217
C_MCI,0.0214,0.02146,-0.03308,0.01293,0.0,0.0,0.02505,0.01193,0.00318,0.00672
C_RBD,0.0172,0.02582,-0.0224,0.01596,0.0,0.0,-0.00345,0.01206,0.02365,0.01763
C_FLH_681,0.01809,0.00967,-0.01315,0.01792,0.0,0.0,-0.01812,0.00825,0.0262,0.00964
C_CI,-0.00573,0.00267,-0.00717,0.01601,0.0,0.0,0.01374,0.0119,0.00823,0.00919
C_Red_NIR_Ratio,0.00407,0.01013,-0.02176,0.01474,0.0,0.0,0.02224,0.01305,-0.00075,0.01022
C_rrs_709,-0.00733,0.0155,-0.00683,0.01501,0.0,0.0,0.0031,0.01168,0.01063,0.01315
C_DINI,0.00075,0.0139,-0.0185,0.0127,0.0,0.0,-0.01106,0.01737,0.02812,0.00943
C_NDWI,-0.00237,0.00243,-0.01801,0.01305,0.0,0.0,0.00579,0.00972,0.01362,0.00977
C_rrs_682,-0.00753,0.00259,-0.01829,0.01151,0.0,0.0,0.01477,0.00978,0.00543,0.00779
C_rrs_865,-0.00012,0.01022,-0.03751,0.01114,0.0,0.0,0.03838,0.01198,-0.0078,0.00933
C_GLH,-0.0215,0.01513,-0.01232,0.02037,0.0,0.0,0.01512,0.01028,0.0038,0.01137
C_rrs_665,-0.01045,0.01064,-0.01226,0.01981,0.0,0.0,0.00089,0.01261,0.00591,0.01434
C_FLHmax,-0.01414,0.01143,0.00134,0.01178,0.0,0.0,0.00479,0.01143,-0.00873,0.01055
C_rrs_412,-0.01284,0.00969,-0.04409,0.02176,0.0,0.0,0.04077,0.01157,-0.00213,0.0146
C_NDCI,0.00934,0.01205,-0.01088,0.01898,0.0,0.0,-0.00281,0.00945,-0.01507,0.01683
C_GBI,-0.00095,0.00199,-0.02918,0.01732,0.0,0.0,0.00839,0.00917,-0.00213,0.00936
C_rrs_673,-0.00822,0.0037,-0.01474,0.01737,0.0,0.0,0.00504,0.01116,-0.00693,0.01526
C_EBI,-0.0207,0.0087,-0.01067,0.00599,0.0,0.0,0.00083,0.00248,0.00233,0.00261
C_BLH,-0.02688,0.01266,-0.02228,0.01962,0.0,0.0,0.00882,0.01252,-0.01993,0.01408
