feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.16164,0.03564,-0.00242,0.00501,0.0,0.0,0.10957,0.03501,0.0,0.0
roms_zeta,0.08688,0.04698,0.0372,0.05342,0.0,0.0,0.02323,0.00988,0.0,0.0
doy_sin,0.02203,0.02299,-0.00333,0.00454,0.0,0.0,0.12572,0.03036,0.0,0.0
roms_salt_sur,0.02129,0.02649,0.01245,0.02816,0.0,0.0,0.08286,0.05232,0.0,0.0
roms_temp_sur,0.00972,0.02375,0.00043,0.00189,0.0,0.0,0.08227,0.04362,0.0,0.0
roms_Vwind,-0.00049,0.00972,0.0,0.0,0.0,0.0,0.07472,0.0304,0.0,0.0
roms_wind_speed,-0.00019,0.00083,-0.00429,0.00474,0.0,0.0,0.07585,0.04024,0.0,0.0
C_BlueGreen_Ratio,0.00197,0.01165,-0.00238,0.00412,0.0,0.0,0.0571,0.03501,0.0,0.0
C_KBBI,0.02979,0.03097,-0.00143,0.0034,0.0,0.0,0.02185,0.01432,0.0,0.0
roms_v_sur,0.00745,0.02397,0.05221,0.05492,0.0,0.0,-0.01871,0.03741,0.0,0.0
C_rrs_673,0.0076,0.01485,-0.00288,0.02056,0.0,0.0,0.02586,0.03577,0.0,0.0
C_RBD,0.03395,0.03136,-0.00333,0.00454,0.0,0.0,-0.00092,0.00768,0.0,0.0
C_FLHmax,0.03925,0.01504,-0.00857,0.00286,0.0,0.0,-0.00191,0.02491,0.0,0.0
C_Fluorescence_Peak,0.02004,0.01743,0.0,0.0,0.0,0.0,0.00825,0.01426,0.0,0.0
C_rrs_560,0.01,0.02093,0.00346,0.00424,0.0,0.0,0.01406,0.0293,0.0,0.0
C_CI,0.02699,0.01722,-0.00048,0.00208,0.0,0.0,0.00026,0.02047,0.0,0.0
C_Red_NIR_Ratio,0.02889,0.02416,-0.00095,0.00286,0.0,0.0,-0.00118,0.00943,0.0,0.0
C_NDWI,0.0157,0.01276,0.0,0.0,0.0,0.0,0.00942,0.01504,0.0,0.0
roms_wind_dir,0.00462,0.01636,-0.00048,0.00208,0.0,0.0,0.02081,0.01177,0.0,0.0
C_rrs_490,0.00197,0.01586,0.0,0.0,0.0,0.0,0.01693,0.03215,0.0,0.0
C_DINI,0.0062,0.01528,-0.00071,0.02142,0.0,0.0,0.0101,0.02992,0.0,0.0
C_Green_Red_Ratio,0.01518,0.01805,-0.00238,0.00412,0.0,0.0,-0.00394,0.02586,0.0,0.0
C_FLH_665,0.03111,0.01839,0.0,0.0,0.0,0.0,-0.02261,0.0195,0.0,0.0
C_RedEdge_Ratio,-0.00115,0.00175,0.0,0.0,0.0,0.0,0.00804,0.01722,0.0,0.0
C_rrs_682,0.00952,0.01195,-0.0019,0.00381,0.0,0.0,-0.00132,0.00145,0.0,0.0
C_rrs_709,0.00831,0.01976,-0.00524,0.00474,0.0,0.0,0.0,0.0,0.0,0.0
C_rrs_412,0.01092,0.01592,-0.00143,0.0034,0.0,0.0,-0.01056,0.02563,0.0,0.0
roms_Uwind,0.01159,0.01678,0.0,0.0,0.0,0.0,-0.01471,0.02339,0.0,0.0
C_rrs_665,0.00305,0.01535,-0.00333,0.00454,0.0,0.0,-0.00471,0.02951,0.0,0.0
roms_Pair,0.00036,0.01647,-0.00714,0.00412,0.0,0.0,0.00105,0.02154,0.0,0.0
C_Blue_Red_Ratio,0.01075,0.01529,-0.0005,0.0202,0.0,0.0,-0.01813,0.01512,0.0,0.0
C_rrs_865,0.00925,0.01432,-0.00048,0.00208,0.0,0.0,-0.01776,0.01518,0.0,0.0
C_EBI,-0.01033,0.00672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roms_current_dir,0.00925,0.01573,-0.00113,0.0064,0.0,0.0,-0.02381,0.02934,0.0,0.0
C_rrs_754,0.01159,0.01194,-0.00524,0.00474,0.0,0.0,-0.02337,0.02188,0.0,0.0
C_MCI,0.02397,0.01887,-0.00048,0.00208,0.0,0.0,-0.04144,0.02998,0.0,0.0
C_GLH,0.00443,0.01054,0.0,0.0,0.0,0.0,-0.02546,0.02327,0.0,0.0
roms_current_speed,0.00956,0.0147,-0.00143,0.0034,0.0,0.0,-0.03108,0.02761,0.0,0.0
C_FLH_681,-0.00661,0.00256,0.0,0.0,0.0,0.0,-0.0173,0.02075,0.0,0.0
C_NDNI,0.01265,0.02227,-0.00857,0.00286,0.0,0.0,-0.0335,0.02816,0.0,0.0
C_NDCI,0.01778,0.01768,-0.00857,0.00286,0.0,0.0,-0.04119,0.02512,0.0,0.0
roms_u_sur,0.02457,0.01045,-0.00095,0.00286,0.0,0.0,-0.07736,0.02796,0.0,0.0
C_BLH,0.0029,0.01286,0.0,0.0,0.0,0.0,-0.06133,0.01957,0.0,0.0
C_GBI,-0.01252,0.00239,-0.00143,0.0034,0.0,0.0,-0.0515,0.03511,0.0,0.0
