feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.07206,0.02,0.06246,0.02619,0.0,0.0,0.245,0.02738,0.11542,0.03156
roms_zeta,0.12853,0.04392,-0.00113,0.01459,0.0,0.0,0.04122,0.00933,0.10258,0.02962
doy_cos,0.0846,0.03016,-0.00962,0.01044,0.0,0.0,0.11938,0.02569,0.06292,0.02441
roms_salt_sur,-0.01274,0.0258,0.00209,0.01859,0.0,0.0,0.24506,0.03325,0.02023,0.01792
roms_temp_sur,0.03157,0.02379,0.00132,0.01181,0.0,0.0,0.1071,0.01898,0.01509,0.02696
C_rrs_490,0.04423,0.01714,-0.01215,0.00861,0.0,0.0,0.02869,0.01425,0.02083,0.01728
C_RBD,0.07625,0.02685,-0.0035,0.00819,0.0,0.0,0.00318,0.00594,0.0005,0.00792
roms_Vwind,0.03348,0.01921,-0.00828,0.00959,0.0,0.0,0.00593,0.00607,0.04205,0.02094
roms_wind_speed,0.03986,0.02163,-0.01335,0.00714,0.0,0.0,0.01627,0.00884,0.02021,0.02067
roms_Pair,0.03706,0.02407,-0.0214,0.00725,0.0,0.0,0.03274,0.01297,0.01282,0.01622
roms_Uwind,0.0026,0.02398,0.00402,0.00752,0.0,0.0,0.02435,0.00703,0.0169,0.01249
roms_wind_dir,0.04125,0.01996,-0.0084,0.01022,0.0,0.0,-0.0004,0.00589,0.00988,0.02063
roms_u_sur,0.03146,0.02306,-0.01887,0.00861,0.0,0.0,0.0078,0.00656,0.01122,0.01231
C_FLH_681,0.03247,0.02422,-0.00608,0.00684,0.0,0.0,0.00155,0.00286,0.00355,0.00854
C_FLHmax,0.02634,0.01932,-0.00055,0.00351,0.0,0.0,0.00482,0.00519,-0.00084,0.01321
C_GLH,0.00902,0.02578,-0.01214,0.00573,0.0,0.0,0.01517,0.00653,0.01495,0.01115
C_Red_NIR_Ratio,0.04578,0.01693,-0.00562,0.00559,0.0,0.0,-0.0049,0.00472,-0.01017,0.00958
C_rrs_709,0.03714,0.02306,-0.0007,0.00177,0.0,0.0,-0.00346,0.00655,-0.0084,0.01212
roms_current_speed,0.04889,0.01945,-0.01609,0.01075,0.0,0.0,-0.00985,0.00706,0.00135,0.00666
C_KBBI,0.04781,0.03154,-0.01142,0.00873,0.0,0.0,0.00553,0.00762,-0.02107,0.01992
C_Blue_Red_Ratio,0.02676,0.02486,-0.00937,0.00826,0.0,0.0,0.00512,0.00555,-0.00298,0.01116
C_rrs_412,0.01269,0.02707,-0.00696,0.00534,0.0,0.0,0.00469,0.0118,0.00895,0.01887
C_FLH_665,0.04754,0.01779,-0.01357,0.00642,0.0,0.0,-0.0137,0.00759,-0.00774,0.00497
C_rrs_673,0.03204,0.02508,-0.00379,0.00594,0.0,0.0,-0.01634,0.00794,-0.0006,0.00791
C_Green_Red_Ratio,0.0112,0.01565,-0.00734,0.00725,0.0,0.0,-0.0023,0.00541,0.00583,0.01049
C_NDNI,0.02372,0.02245,-0.00542,0.007,0.0,0.0,0.00116,0.00502,-0.01273,0.00819
C_RedEdge_Ratio,-0.00568,0.01625,-0.01244,0.00856,0.0,0.0,0.01158,0.00447,0.0129,0.01518
C_CI,0.00304,0.01516,-0.01734,0.00746,0.0,0.0,0.00827,0.00485,0.01224,0.01314
C_BLH,0.02002,0.02276,-0.00681,0.00654,0.0,0.0,0.00478,0.00846,-0.01309,0.01249
C_rrs_560,-0.00077,0.02477,-0.01297,0.0085,0.0,0.0,0.0155,0.00926,0.00296,0.01408
C_EBI,0.00231,0.01083,0.0,0.0,0.0,0.0,0.0,0.0,0.00187,0.00223
C_rrs_665,0.02679,0.02435,-0.00159,0.00339,0.0,0.0,-0.00928,0.00714,-0.01201,0.01235
C_DINI,0.02861,0.02784,-0.01286,0.00757,0.0,0.0,-0.009,0.00592,-0.00439,0.0137
C_BlueGreen_Ratio,0.03666,0.02286,-0.00397,0.00588,0.0,0.0,0.00041,0.01087,-0.03283,0.0187
C_NDCI,-0.02019,0.00973,-0.00481,0.0071,0.0,0.0,0.01472,0.00872,0.01007,0.01795
C_rrs_754,0.0013,0.01338,-0.00231,0.00376,0.0,0.0,0.00398,0.00484,-0.00358,0.01014
C_GBI,0.01339,0.0175,-0.00947,0.00481,0.0,0.0,-0.00119,0.00561,-0.00414,0.0079
C_MCI,0.02296,0.02331,0.00169,0.004,0.0,0.0,-0.00752,0.00627,-0.02283,0.00871
C_rrs_865,-0.00376,0.00971,-0.00292,0.00547,0.0,0.0,-0.00109,0.005,-0.00668,0.01462
C_rrs_682,-0.00941,0.00962,-0.00611,0.00594,0.0,0.0,-0.00092,0.0042,-0.00795,0.01574
roms_v_sur,-0.02581,0.01863,-0.02689,0.00701,0.0,0.0,0.01203,0.0101,0.00369,0.01859
C_Fluorescence_Peak,-0.0183,0.01333,-0.01146,0.00515,0.0,0.0,-0.00512,0.00613,-0.00467,0.00704
roms_current_dir,-0.00639,0.02451,-0.02253,0.0137,0.0,0.0,0.01062,0.00459,-0.05836,0.0263
C_NDWI,-0.014,0.01499,-0.00692,0.00391,0.0,0.0,-0.00719,0.00499,-0.05173,0.01119
