blocking,ac,tier,species,n_positive,threshold,cv_f1_mean_only,cv_f1_std_only,cv_f1_mean_roms,cv_f1_std_roms,delta_f1,cv_prauc_mean_only,cv_prauc_std_only,cv_prauc_mean_roms,cv_prauc_std_roms,delta_prauc
clustering,ACOLITE,closure,Karenia,1212,5000,0.50975,0.19201,0.60289,0.23959,0.09314,0.66603,0.19435,0.70823,0.15535,0.0422
clustering,ACOLITE,closure,Pseudo-nitzschia,381,13000,0.29975,0.1981,0.36744,0.21786,0.06769,0.4011,0.17597,0.51746,0.22029,0.11636
clustering,ACOLITE,closure,Alexandrium_catenella,1310,300,0.43495,0.19147,0.49923,0.22216,0.06428,0.50902,0.14226,0.60141,0.18187,0.09239
clustering,ACOLITE,closure,Dinophysis_acuminata,2095,500,0.39594,0.24723,0.40205,0.14466,0.00611,0.38565,0.26239,0.46848,0.24009,0.08283
clustering,ACOLITE,closure,Dinophysis_norvegica,255,500,0.0,0.0,0.0,0.0,0.0,0.05412,0.06666,0.04962,0.04683,-0.0045
clustering,Baseline,closure,Alexandrium_catenella,1310,300,0.39565,0.16933,0.47173,0.21434,0.07608,0.49889,0.1456,0.60389,0.18463,0.105
clustering,Baseline,closure,Pseudo-nitzschia,381,13000,0.28265,0.17644,0.34312,0.19085,0.06047,0.34305,0.16297,0.47435,0.17917,0.1313
clustering,Baseline,closure,Karenia,1212,5000,0.38102,0.22489,0.41705,0.27297,0.03603,0.54982,0.2435,0.61031,0.20619,0.06049
clustering,Baseline,closure,Dinophysis_norvegica,255,500,0.0,0.0,0.0,0.0,0.0,0.08073,0.08068,0.05942,0.05898,-0.02131
clustering,Baseline,closure,Dinophysis_acuminata,2095,500,0.35543,0.26514,0.34342,0.16666,-0.01201,0.39344,0.26621,0.4424,0.23164,0.04896
clustering,C2RCC,closure,Alexandrium_catenella,1310,300,0.36997,0.17903,0.48997,0.2256,0.12,0.43706,0.17617,0.59148,0.1818,0.15442
clustering,C2RCC,closure,Pseudo-nitzschia,381,13000,0.13508,0.17628,0.24319,0.2056,0.10811,0.32545,0.22497,0.45389,0.23321,0.12844
clustering,C2RCC,closure,Dinophysis_acuminata,2095,500,0.29899,0.22518,0.33132,0.10295,0.03233,0.32436,0.27677,0.40857,0.22954,0.08421
clustering,C2RCC,closure,Karenia,1212,5000,0.43862,0.22664,0.45563,0.29585,0.01701,0.5757,0.17782,0.62671,0.23416,0.05101
clustering,C2RCC,closure,Dinophysis_norvegica,255,500,0.0,0.0,0.0,0.0,0.0,0.02457,0.0337,0.03564,0.043,0.01107
clustering,ACOLITE,warning,Pseudo-nitzschia,2132,2000,0.48135,0.08597,0.54944,0.10217,0.06809,0.54649,0.08747,0.63773,0.08779,0.09124
clustering,ACOLITE,warning,Alexandrium_catenella,1706,100,0.43708,0.17273,0.48388,0.20017,0.0468,0.52426,0.12782,0.60001,0.14662,0.07575
clustering,ACOLITE,warning,Dinophysis_norvegica,1276,200,0.03151,0.02899,0.04549,0.03122,0.01398,0.15883,0.10669,0.17367,0.10961,0.01484
clustering,ACOLITE,warning,Dinophysis_acuminata,3897,200,0.55817,0.23372,0.57011,0.21989,0.01194,0.56938,0.23334,0.60225,0.2102,0.03287
clustering,ACOLITE,warning,Karenia,2518,1000,0.51925,0.20873,0.52123,0.23179,0.00198,0.68499,0.1701,0.73248,0.16328,0.04749
clustering,Baseline,warning,Pseudo-nitzschia,2132,2000,0.4461,0.07715,0.54328,0.09389,0.09718,0.48885,0.07573,0.61697,0.08552,0.12812
clustering,Baseline,warning,Alexandrium_catenella,1706,100,0.39409,0.17956,0.45265,0.18677,0.05856,0.5084,0.13812,0.5885,0.13867,0.0801
clustering,Baseline,warning,Karenia,2518,1000,0.45237,0.18264,0.48621,0.23035,0.03384,0.64219,0.17108,0.70851,0.1786,0.06632
clustering,Baseline,warning,Dinophysis_acuminata,3897,200,0.54965,0.21285,0.55737,0.22481,0.00772,0.57731,0.23311,0.60422,0.20685,0.02691
clustering,Baseline,warning,Dinophysis_norvegica,1276,200,0.02828,0.02916,0.02665,0.03735,-0.00163,0.16296,0.12278,0.18112,0.12203,0.01816
clustering,C2RCC,warning,Alexandrium_catenella,1706,100,0.34195,0.16448,0.45304,0.18175,0.11109,0.40831,0.16912,0.56852,0.13188,0.16021
clustering,C2RCC,warning,Pseudo-nitzschia,2132,2000,0.43227,0.10911,0.54034,0.09374,0.10807,0.48929,0.13464,0.62302,0.09547,0.13373
clustering,C2RCC,warning,Dinophysis_acuminata,3897,200,0.51541,0.21845,0.55024,0.19059,0.03483,0.53152,0.24456,0.5862,0.19902,0.05468
clustering,C2RCC,warning,Dinophysis_norvegica,1276,200,0.05151,0.05179,0.05855,0.05,0.00704,0.13132,0.11276,0.16755,0.11758,0.03623
clustering,C2RCC,warning,Karenia,2518,1000,0.48849,0.18882,0.47864,0.25383,-0.00985,0.63627,0.16148,0.71048,0.17674,0.07421
grid,ACOLITE,closure,Pseudo-nitzschia,378,13000,0.34868,0.18757,0.46101,0.20572,0.11233,0.47452,0.20171,0.54922,0.22975,0.0747
grid,ACOLITE,closure,Karenia,1212,5000,0.59373,0.13413,0.65292,0.19042,0.05919,0.68596,0.11129,0.71776,0.12312,0.0318
grid,ACOLITE,closure,Alexandrium_catenella,1303,300,0.45938,0.18972,0.51018,0.21564,0.0508,0.53167,0.12653,0.60415,0.17429,0.07248
grid,ACOLITE,closure,Dinophysis_acuminata,2091,500,0.36222,0.26469,0.40165,0.14631,0.03943,0.38784,0.26864,0.47477,0.23381,0.08693
grid,ACOLITE,closure,Dinophysis_norvegica,255,500,0.0,0.0,0.0,0.0,0.0,0.05691,0.07038,0.05515,0.04107,-0.00176
grid,Baseline,closure,Pseudo-nitzschia,378,13000,0.25508,0.17443,0.40709,0.2125,0.15201,0.43773,0.21685,0.55141,0.22652,0.11368
grid,Baseline,closure,Alexandrium_catenella,1303,300,0.39514,0.16479,0.49934,0.22041,0.1042,0.51522,0.12299,0.60399,0.18883,0.08877
grid,Baseline,closure,Karenia,1212,5000,0.50462,0.12665,0.60788,0.1427,0.10326,0.61977,0.12289,0.69478,0.11131,0.07501
grid,Baseline,closure,Dinophysis_norvegica,255,500,0.0,0.0,0.0,0.0,0.0,0.05521,0.05533,0.04617,0.04281,-0.00904
grid,Baseline,closure,Dinophysis_acuminata,2091,500,0.34895,0.26423,0.33758,0.14477,-0.01137,0.38673,0.27417,0.4426,0.23289,0.05587
grid,C2RCC,closure,Pseudo-nitzschia,378,13000,0.2459,0.10474,0.41929,0.19133,0.17339,0.41764,0.21876,0.54544,0.24898,0.1278
grid,C2RCC,closure,Alexandrium_catenella,1303,300,0.36709,0.14766,0.51016,0.21654,0.14307,0.46808,0.1262,0.59968,0.17119,0.1316
grid,C2RCC,closure,Karenia,1212,5000,0.52634,0.14987,0.65418,0.11685,0.12784,0.60449,0.12196,0.69394,0.11268,0.08945
grid,C2RCC,closure,Dinophysis_acuminata,2091,500,0.30554,0.20385,0.32892,0.14558,0.02338,0.34504,0.27457,0.44099,0.24479,0.09595
grid,C2RCC,closure,Dinophysis_norvegica,255,500,0.0,0.0,0.0,0.0,0.0,0.03442,0.03795,0.03099,0.03919,-0.00343
grid,ACOLITE,warning,Pseudo-nitzschia,2121,2000,0.51542,0.13864,0.56704,0.14452,0.05162,0.61054,0.13614,0.67268,0.1347,0.06214
grid,ACOLITE,warning,Karenia,2481,1000,0.5939,0.19341,0.63886,0.22543,0.04496,0.71011,0.17812,0.76219,0.16684,0.05208
grid,ACOLITE,warning,Alexandrium_catenella,1694,100,0.44915,0.16592,0.47691,0.18787,0.02776,0.53174,0.11614,0.60851,0.13629,0.07677
grid,ACOLITE,warning,Dinophysis_norvegica,1271,200,0.05964,0.04583,0.07477,0.0385,0.01513,0.17277,0.11679,0.17795,0.11821,0.00518
grid,ACOLITE,warning,Dinophysis_acuminata,3881,200,0.56342,0.2331,0.5684,0.22664,0.00498,0.59257,0.21764,0.61343,0.20557,0.02086
grid,Baseline,warning,Pseudo-nitzschia,2121,2000,0.47634,0.07741,0.55776,0.11083,0.08142,0.54309,0.12644,0.65797,0.11119,0.11488
grid,Baseline,warning,Alexandrium_catenella,1694,100,0.3629,0.13596,0.43858,0.17171,0.07568,0.48276,0.11479,0.58852,0.13113,0.10576
grid,Baseline,warning,Karenia,2481,1000,0.61482,0.18455,0.64744,0.19729,0.03262,0.70406,0.18215,0.76102,0.16345,0.05696
grid,Baseline,warning,Dinophysis_norvegica,1271,200,0.0275,0.03348,0.05102,0.04242,0.02352,0.16475,0.11944,0.18774,0.11937,0.02299
grid,Baseline,warning,Dinophysis_acuminata,3881,200,0.53272,0.24433,0.54206,0.23646,0.00934,0.57282,0.24288,0.59943,0.22004,0.02661
grid,C2RCC,warning,Alexandrium_catenella,1694,100,0.35057,0.15399,0.47028,0.17509,0.11971,0.44635,0.12714,0.57688,0.11917,0.13053
grid,C2RCC,warning,Pseudo-nitzschia,2121,2000,0.44012,0.15113,0.555,0.12428,0.11488,0.52307,0.15598,0.65402,0.13167,0.13095
grid,C2RCC,warning,Karenia,2481,1000,0.56985,0.1862,0.62158,0.20233,0.05173,0.68716,0.16616,0.75084,0.16174,0.06368
grid,C2RCC,warning,Dinophysis_norvegica,1271,200,0.04743,0.03769,0.06305,0.04933,0.01562,0.15161,0.11368,0.1772,0.12084,0.02559
grid,C2RCC,warning,Dinophysis_acuminata,3881,200,0.54399,0.21069,0.54067,0.21174,-0.00332,0.54915,0.23634,0.59649,0.21723,0.04734
quadtree_adaptive,ACOLITE,closure,Pseudo-nitzschia,381,13000,0.32424,0.19951,0.44866,0.17497,0.12442,0.47043,0.17166,0.58432,0.2072,0.11389
quadtree_adaptive,ACOLITE,closure,Karenia,1210,5000,0.58266,0.13207,0.66047,0.16827,0.07781,0.6889,0.14583,0.73463,0.13443,0.04573
quadtree_adaptive,ACOLITE,closure,Alexandrium_catenella,1301,300,0.4384,0.21465,0.50058,0.23108,0.06218,0.52858,0.17601,0.59837,0.19345,0.06979
quadtree_adaptive,ACOLITE,closure,Dinophysis_acuminata,2093,500,0.38392,0.24317,0.40524,0.13135,0.02132,0.39677,0.2509,0.51492,0.21273,0.11815
quadtree_adaptive,ACOLITE,closure,Dinophysis_norvegica,255,500,0.0,0.0,0.0,0.0,0.0,0.04034,0.04697,0.05282,0.04792,0.01248
quadtree_adaptive,Baseline,closure,Pseudo-nitzschia,381,13000,0.25423,0.12586,0.45094,0.18993,0.19671,0.43028,0.19473,0.54138,0.23021,0.1111
quadtree_adaptive,Baseline,closure,Karenia,1210,5000,0.45661,0.12861,0.54055,0.15874,0.08394,0.63474,0.16399,0.70402,0.15376,0.06928
quadtree_adaptive,Baseline,closure,Alexandrium_catenella,1301,300,0.42064,0.2159,0.48097,0.23105,0.06033,0.51372,0.17238,0.60097,0.20849,0.08725
quadtree_adaptive,Baseline,closure,Dinophysis_acuminata,2093,500,0.37481,0.26081,0.41265,0.15649,0.03784,0.40979,0.26434,0.48941,0.20891,0.07962
quadtree_adaptive,Baseline,closure,Dinophysis_norvegica,255,500,0.0,0.0,0.0,0.0,0.0,0.04725,0.06396,0.0346,0.04408,-0.01265
quadtree_adaptive,C2RCC,closure,Pseudo-nitzschia,381,13000,0.21931,0.11832,0.48171,0.19625,0.2624,0.44945,0.18127,0.58805,0.24132,0.1386
quadtree_adaptive,C2RCC,closure,Alexandrium_catenella,1301,300,0.38256,0.19051,0.49294,0.23134,0.11038,0.47009,0.17096,0.59462,0.19411,0.12453
quadtree_adaptive,C2RCC,closure,Karenia,1210,5000,0.53333,0.18439,0.599,0.1653,0.06567,0.61833,0.17272,0.69688,0.16139,0.07855
quadtree_adaptive,C2RCC,closure,Dinophysis_acuminata,2093,500,0.31126,0.20556,0.3608,0.1552,0.04954,0.34382,0.26529,0.46075,0.21905,0.11693
quadtree_adaptive,C2RCC,closure,Dinophysis_norvegica,255,500,0.0,0.0,0.0,0.0,0.0,0.02231,0.0363,0.03174,0.04776,0.00943
quadtree_adaptive,ACOLITE,warning,Pseudo-nitzschia,2120,2000,0.4999,0.12329,0.57091,0.13336,0.07101,0.58753,0.10686,0.66747,0.11257,0.07994
quadtree_adaptive,ACOLITE,warning,Alexandrium_catenella,1696,100,0.43929,0.17245,0.48556,0.19751,0.04627,0.53231,0.10881,0.61748,0.14512,0.08517
quadtree_adaptive,ACOLITE,warning,Dinophysis_norvegica,1275,200,0.03814,0.04315,0.04859,0.03649,0.01045,0.15784,0.1131,0.17724,0.11776,0.0194
quadtree_adaptive,ACOLITE,warning,Dinophysis_acuminata,3887,200,0.55861,0.22422,0.5621,0.21213,0.00349,0.56911,0.22237,0.60374,0.18923,0.03463
quadtree_adaptive,ACOLITE,warning,Karenia,2512,1000,0.60419,0.20542,0.59581,0.25941,-0.00838,0.72428,0.18723,0.74424,0.19293,0.01996
quadtree_adaptive,Baseline,warning,Pseudo-nitzschia,2120,2000,0.46033,0.08357,0.57253,0.10472,0.1122,0.54625,0.11367,0.66692,0.09965,0.12067
quadtree_adaptive,Baseline,warning,Alexandrium_catenella,1696,100,0.41101,0.17181,0.47094,0.19491,0.05993,0.52731,0.11044,0.60192,0.14976,0.07461
quadtree_adaptive,Baseline,warning,Karenia,2512,1000,0.56022,0.21667,0.59504,0.26874,0.03482,0.67076,0.22862,0.74094,0.19777,0.07018
quadtree_adaptive,Baseline,warning,Dinophysis_norvegica,1275,200,0.03577,0.03635,0.05608,0.06387,0.02031,0.16197,0.11535,0.19161,0.11878,0.02964
quadtree_adaptive,Baseline,warning,Dinophysis_acuminata,3887,200,0.54646,0.21596,0.5495,0.21132,0.00304,0.55795,0.23529,0.59037,0.20415,0.03242
quadtree_adaptive,C2RCC,warning,Alexandrium_catenella,1696,100,0.34504,0.12026,0.47526,0.1931,0.13022,0.43489,0.09624,0.58109,0.13206,0.1462
