blocking,ac,track,tier,species,threshold,n_positive,n_spatial_groups,cv_f1_mean,cv_f1_median,cv_f1_std,cv_prauc_mean,cv_prauc_median,cv_prauc_std
clustering,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,300,1310,363,0.43495,0.47596,0.19147,0.50902,0.5128,0.14226
clustering,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,300,1310,363,0.49923,0.51287,0.22216,0.60141,0.63037,0.18187
clustering,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,500,2095,363,0.39594,0.33915,0.24723,0.38565,0.30357,0.26239
clustering,ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,500,2095,363,0.40205,0.42311,0.14466,0.46848,0.42961,0.24009
clustering,ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,500,255,363,0.0,0.0,0.0,0.05412,0.0302,0.06666
clustering,ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,500,255,363,0.0,0.0,0.0,0.04962,0.03816,0.04683
clustering,ACOLITE,ACOLITE_only,closure,Karenia,5000,1212,363,0.50975,0.53157,0.19201,0.66603,0.74829,0.19435
clustering,ACOLITE,ACOLITE_roms,closure,Karenia,5000,1212,363,0.60289,0.69605,0.23959,0.70823,0.7513,0.15535
clustering,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,13000,381,363,0.29975,0.30536,0.1981,0.4011,0.39856,0.17597
clustering,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,13000,381,363,0.36744,0.3877,0.21786,0.51746,0.57243,0.22029
clustering,Baseline,Baseline_only,closure,Alexandrium_catenella,300,1310,363,0.39565,0.41193,0.16933,0.49889,0.46312,0.1456
clustering,Baseline,Baseline_roms,closure,Alexandrium_catenella,300,1310,363,0.47173,0.51191,0.21434,0.60389,0.61589,0.18463
clustering,Baseline,Baseline_only,closure,Dinophysis_acuminata,500,2095,363,0.35543,0.21781,0.26514,0.39344,0.32331,0.26621
clustering,Baseline,Baseline_roms,closure,Dinophysis_acuminata,500,2095,363,0.34342,0.33982,0.16666,0.4424,0.37492,0.23164
clustering,Baseline,Baseline_only,closure,Dinophysis_norvegica,500,255,363,0.0,0.0,0.0,0.08073,0.02625,0.08068
clustering,Baseline,Baseline_roms,closure,Dinophysis_norvegica,500,255,363,0.0,0.0,0.0,0.05942,0.02733,0.05898
clustering,Baseline,Baseline_only,closure,Karenia,5000,1212,363,0.38102,0.42864,0.22489,0.54982,0.65523,0.2435
clustering,Baseline,Baseline_roms,closure,Karenia,5000,1212,363,0.41705,0.47143,0.27297,0.61031,0.68711,0.20619
clustering,Baseline,Baseline_only,closure,Pseudo-nitzschia,13000,381,363,0.28265,0.29643,0.17644,0.34305,0.39089,0.16297
clustering,Baseline,Baseline_roms,closure,Pseudo-nitzschia,13000,381,363,0.34312,0.3877,0.19085,0.47435,0.51939,0.17917
clustering,C2RCC,C2RCC_only,closure,Alexandrium_catenella,300,1310,363,0.36997,0.3894,0.17903,0.43706,0.44407,0.17617
clustering,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,300,1310,363,0.48997,0.52818,0.2256,0.59148,0.6213,0.1818
clustering,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,500,2095,363,0.29899,0.24134,0.22518,0.32436,0.24298,0.27677
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,500,2095,363,0.33132,0.31764,0.10295,0.40857,0.37422,0.22954
clustering,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,500,255,363,0.0,0.0,0.0,0.02457,0.01265,0.0337
clustering,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,500,255,363,0.0,0.0,0.0,0.03564,0.01751,0.043
clustering,C2RCC,C2RCC_only,closure,Karenia,5000,1212,363,0.43862,0.49138,0.22664,0.5757,0.59768,0.17782
clustering,C2RCC,C2RCC_roms,closure,Karenia,5000,1212,363,0.45563,0.61686,0.29585,0.62671,0.70727,0.23416
clustering,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,13000,381,363,0.13508,0.0437,0.17628,0.32545,0.30818,0.22497
clustering,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,13000,381,363,0.24319,0.17812,0.2056,0.45389,0.51195,0.23321
clustering,ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,100,1706,363,0.43708,0.48355,0.17273,0.52426,0.53288,0.12782
clustering,ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,100,1706,363,0.48388,0.55379,0.20017,0.60001,0.62755,0.14662
clustering,ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,200,3897,363,0.55817,0.48773,0.23372,0.56938,0.49159,0.23334
clustering,ACOLITE,ACOLITE_roms,warning,Dinophysis_acuminata,200,3897,363,0.57011,0.52642,0.21989,0.60225,0.54173,0.2102
clustering,ACOLITE,ACOLITE_only,warning,Dinophysis_norvegica,200,1276,363,0.03151,0.03043,0.02899,0.15883,0.12912,0.10669
clustering,ACOLITE,ACOLITE_roms,warning,Dinophysis_norvegica,200,1276,363,0.04549,0.06002,0.03122,0.17367,0.15664,0.10961
clustering,ACOLITE,ACOLITE_only,warning,Karenia,1000,2518,363,0.51925,0.63778,0.20873,0.68499,0.75716,0.1701
clustering,ACOLITE,ACOLITE_roms,warning,Karenia,1000,2518,363,0.52123,0.57864,0.23179,0.73248,0.75536,0.16328
clustering,ACOLITE,ACOLITE_only,warning,Pseudo-nitzschia,2000,2132,363,0.48135,0.47183,0.08597,0.54649,0.55704,0.08747
clustering,ACOLITE,ACOLITE_roms,warning,Pseudo-nitzschia,2000,2132,363,0.54944,0.58282,0.10217,0.63773,0.65291,0.08779
clustering,Baseline,Baseline_only,warning,Alexandrium_catenella,100,1706,363,0.39409,0.40681,0.17956,0.5084,0.47796,0.13812
clustering,Baseline,Baseline_roms,warning,Alexandrium_catenella,100,1706,363,0.45265,0.51306,0.18677,0.5885,0.58871,0.13867
clustering,Baseline,Baseline_only,warning,Dinophysis_acuminata,200,3897,363,0.54965,0.47491,0.21285,0.57731,0.4563,0.23311
clustering,Baseline,Baseline_roms,warning,Dinophysis_acuminata,200,3897,363,0.55737,0.52604,0.22481,0.60422,0.53295,0.20685
clustering,Baseline,Baseline_only,warning,Dinophysis_norvegica,200,1276,363,0.02828,0.02055,0.02916,0.16296,0.14964,0.12278
clustering,Baseline,Baseline_roms,warning,Dinophysis_norvegica,200,1276,363,0.02665,0.00132,0.03735,0.18112,0.15862,0.12203
clustering,Baseline,Baseline_only,warning,Karenia,1000,2518,363,0.45237,0.45876,0.18264,0.64219,0.67646,0.17108
clustering,Baseline,Baseline_roms,warning,Karenia,1000,2518,363,0.48621,0.55347,0.23035,0.70851,0.75458,0.1786
clustering,Baseline,Baseline_only,warning,Pseudo-nitzschia,2000,2132,363,0.4461,0.43353,0.07715,0.48885,0.48358,0.07573
clustering,Baseline,Baseline_roms,warning,Pseudo-nitzschia,2000,2132,363,0.54328,0.58858,0.09389,0.61697,0.61401,0.08552
clustering,C2RCC,C2RCC_only,warning,Alexandrium_catenella,100,1706,363,0.34195,0.35818,0.16448,0.40831,0.38372,0.16912
clustering,C2RCC,C2RCC_roms,warning,Alexandrium_catenella,100,1706,363,0.45304,0.51021,0.18175,0.56852,0.57774,0.13188
clustering,C2RCC,C2RCC_only,warning,Dinophysis_acuminata,200,3897,363,0.51541,0.4829,0.21845,0.53152,0.46572,0.24456
